writing to logs/trust-constr/Brazil/2021_7_19_14_43
| niter |f evals|CG iter|  obj func   |tr radius |   opt    |  c viol  |
|-------|-------|-------|-------------|----------|----------|----------|
|   1   |   8   |   0   | -4.4019e+02 | 1.00e+00 | 8.72e+02 | 0.00e+00 |
|   2   |  16   |   1   | -4.4019e+02 | 5.00e-01 | 8.72e+02 | 0.00e+00 |
|   3   |  24   |   2   | -4.4019e+02 | 2.50e-01 | 8.72e+02 | 0.00e+00 |
|   4   |  32   |   3   | -4.4019e+02 | 1.25e-01 | 8.72e+02 | 0.00e+00 |
|   5   |  40   |   4   | -4.4019e+02 | 6.25e-02 | 8.72e+02 | 0.00e+00 |
|   6   |  48   |   5   | -4.5045e+02 | 6.25e-02 | 2.34e+02 | 0.00e+00 |
|   7   |  56   |   6   | -4.5045e+02 | 3.12e-02 | 2.34e+02 | 0.00e+00 |
|   8   |  64   |   8   | -4.5777e+02 | 2.19e-01 | 1.65e+02 | 0.00e+00 |
|   9   |  72   |  12   | -4.5989e+02 | 3.59e-01 | 1.47e+02 | 0.00e+00 |
|  10   |  80   |  15   | -4.5989e+02 | 3.59e-02 | 1.47e+02 | 0.00e+00 |
|  11   |  88   |  17   | -4.5989e+02 | 1.80e-02 | 1.47e+02 | 0.00e+00 |
|  12   |  96   |  19   | -4.6164e+02 | 3.59e-02 | 1.42e+02 | 0.00e+00 |
|  13   |  104  |  21   | -4.6164e+02 | 1.80e-02 | 1.42e+02 | 0.00e+00 |
|  14   |  112  |  23   | -4.6164e+02 | 7.83e-03 | 1.42e+02 | 0.00e+00 |
|  15   |  120  |  25   | -4.6213e+02 | 1.57e-02 | 1.41e+02 | 0.00e+00 |
|  16   |  128  |  27   | -4.6213e+02 | 6.39e-03 | 1.41e+02 | 0.00e+00 |
|  17   |  136  |  29   | -4.6277e+02 | 1.28e-02 | 1.39e+02 | 0.00e+00 |
|  18   |  144  |  31   | -4.6277e+02 | 4.28e-03 | 1.39e+02 | 0.00e+00 |
|  19   |  152  |  33   | -4.6277e+02 | 5.04e-04 | 1.39e+02 | 0.00e+00 |
|  20   |  160  |  35   | -4.6283e+02 | 3.53e-03 | 1.39e+02 | 0.00e+00 |
|  21   |  168  |  37   | -4.6283e+02 | 3.53e-04 | 1.39e+02 | 0.00e+00 |
|  22   |  176  |  39   | -4.6287e+02 | 2.47e-03 | 1.39e+02 | 0.00e+00 |
|  23   |  184  |  41   | -4.6287e+02 | 2.47e-04 | 1.39e+02 | 0.00e+00 |
|  24   |  192  |  43   | -4.6290e+02 | 1.73e-03 | 1.39e+02 | 0.00e+00 |
|  25   |  200  |  45   | -4.6301e+02 | 3.46e-03 | 1.39e+02 | 0.00e+00 |
|  26   |  208  |  47   | -4.6301e+02 | 3.46e-04 | 1.39e+02 | 0.00e+00 |
|  27   |  216  |  49   | -4.6301e+02 | 3.46e-05 | 1.39e+02 | 0.00e+00 |
|  28   |  224  |  51   | -4.6301e+02 | 3.46e-06 | 1.39e+02 | 0.00e+00 |
|  29   |  232  |  52   | -4.6301e+02 | 2.42e-05 | 1.39e+02 | 0.00e+00 |
|  30   |  240  |  54   | -4.6301e+02 | 2.42e-06 | 1.39e+02 | 0.00e+00 |
|  31   |  248  |  55   | -4.6301e+02 | 1.69e-05 | 1.39e+02 | 0.00e+00 |
|  32   |  256  |  57   | -4.6301e+02 | 1.19e-04 | 1.39e+02 | 0.00e+00 |
|  33   |  264  |  59   | -4.6301e+02 | 1.19e-05 | 1.39e+02 | 0.00e+00 |
|  34   |  272  |  61   | -4.6301e+02 | 1.19e-06 | 1.39e+02 | 0.00e+00 |
|  35   |  280  |  62   | -4.6301e+02 | 8.30e-06 | 1.39e+02 | 0.00e+00 |
|  36   |  288  |  64   | -4.6301e+02 | 8.30e-07 | 1.39e+02 | 0.00e+00 |
|  37   |  296  |  65   | -4.6301e+02 | 5.81e-06 | 1.39e+02 | 0.00e+00 |
|  38   |  304  |  67   | -4.6301e+02 | 5.81e-07 | 1.39e+02 | 0.00e+00 |
|  39   |  312  |  68   | -4.6301e+02 | 4.07e-06 | 1.39e+02 | 0.00e+00 |
|  40   |  320  |  70   | -4.6301e+02 | 4.07e-07 | 1.39e+02 | 0.00e+00 |
|  41   |  328  |  71   | -4.6301e+02 | 2.85e-06 | 1.39e+02 | 0.00e+00 |
|  42   |  336  |  72   | -4.6301e+02 | 1.99e-05 | 1.39e+02 | 0.00e+00 |
|  43   |  344  |  73   | -4.6301e+02 | 1.99e-06 | 1.39e+02 | 0.00e+00 |
|  44   |  352  |  74   | -4.6301e+02 | 1.99e-07 | 1.39e+02 | 0.00e+00 |
|  45   |  360  |  75   | -4.6301e+02 | 1.99e-08 | 1.39e+02 | 0.00e+00 |
|  46   |  368  |  76   | -4.6301e+02 | 1.39e-07 | 1.39e+02 | 0.00e+00 |
|  47   |  376  |  77   | -4.6301e+02 | 1.39e-08 | 1.39e+02 | 0.00e+00 |
|  48   |  384  |  78   | -4.6301e+02 | 9.76e-08 | 1.39e+02 | 0.00e+00 |
|  49   |  392  |  79   | -4.6301e+02 | 9.76e-09 | 1.39e+02 | 0.00e+00 |
|  50   |  400  |  79   | -4.6301e+02 | 1.00e+00 | 1.39e+02 | 0.00e+00 |
|  51   |  408  |  85   | -4.6301e+02 | 4.04e-01 | 1.39e+02 | 0.00e+00 |
|  52   |  416  |  88   | -4.6301e+02 | 1.12e-01 | 1.39e+02 | 0.00e+00 |
|  53   |  424  |  90   | -4.6301e+02 | 5.62e-02 | 1.39e+02 | 0.00e+00 |
|  54   |  432  |  92   | -4.6301e+02 | 2.57e-02 | 1.39e+02 | 0.00e+00 |
|  55   |  440  |  94   | -4.6301e+02 | 1.28e-02 | 1.39e+02 | 0.00e+00 |
|  56   |  448  |  96   | -4.6301e+02 | 3.77e-03 | 1.39e+02 | 0.00e+00 |
|  57   |  456  |  97   | -4.6301e+02 | 4.70e-04 | 1.39e+02 | 0.00e+00 |
|  58   |  464  |  98   | -4.6301e+02 | 4.70e-05 | 1.39e+02 | 0.00e+00 |
|  59   |  472  |  99   | -4.6301e+02 | 4.70e-06 | 1.39e+02 | 0.00e+00 |
|  60   |  480  |  100  | -4.6301e+02 | 4.70e-07 | 1.39e+02 | 0.00e+00 |
