writing to logs/trust-constr/Bulgaria/2021_7_19_14_43
| niter |f evals|CG iter|  obj func   |tr radius |   opt    |  c viol  |
|-------|-------|-------|-------------|----------|----------|----------|
|   1   |   8   |   0   | -5.4997e+02 | 1.00e+00 | 7.95e+02 | 0.00e+00 |
|   2   |  16   |   1   | -5.4997e+02 | 1.00e-01 | 7.95e+02 | 0.00e+00 |
|   3   |  24   |   8   | -5.4997e+02 | 5.60e-01 | 7.94e+02 | 0.00e+00 |
|   4   |  32   |  15   | -5.4997e+02 | 3.14e+00 | 7.88e+02 | 0.00e+00 |
|   5   |  40   |  21   | -5.4996e+02 | 8.00e+00 | 2.64e+02 | 0.00e+00 |
|   6   |  48   |  27   | -5.4995e+02 | 8.00e+00 | 1.96e+02 | 0.00e+00 |
|   7   |  56   |  33   | -5.4995e+02 | 8.00e+00 | 1.85e+02 | 0.00e+00 |
|   8   |  64   |  39   | -5.4995e+02 | 8.00e+00 | 1.79e+02 | 0.00e+00 |
|   9   |  72   |  45   | -5.4995e+02 | 8.00e+00 | 1.77e+02 | 0.00e+00 |
|  10   |  80   |  51   | -5.4995e+02 | 8.00e+00 | 1.76e+02 | 0.00e+00 |
|  11   |  96   |  58   | -5.4995e+02 | 1.12e+00 | 1.76e+02 | 0.00e+00 |
|  12   |  104  |  65   | -5.5645e+02 | 1.12e+00 | 1.72e+02 | 0.00e+00 |
|  13   |  112  |  72   | -5.6472e+02 | 1.13e+00 | 1.66e+02 | 0.00e+00 |
|  14   |  128  |  78   | -5.6472e+02 | 1.27e-01 | 1.66e+02 | 0.00e+00 |
|  15   |  136  |  85   | -5.6580e+02 | 1.73e-01 | 1.65e+02 | 0.00e+00 |
|  16   |  144  |  92   | -5.6687e+02 | 1.73e-01 | 1.63e+02 | 0.00e+00 |
|  17   |  152  |  99   | -5.7413e+02 | 1.21e+00 | 1.54e+02 | 0.00e+00 |
|  18   |  160  |  106  | -5.7528e+02 | 1.21e+00 | 9.48e+01 | 0.00e+00 |
|  19   |  168  |  113  | -5.8024e+02 | 1.21e+00 | 1.32e+02 | 0.00e+00 |
|  20   |  176  |  120  | -5.8028e+02 | 1.21e+00 | 1.32e+02 | 0.00e+00 |
