writing to logs/trust-constr/Malaysia/2021_7_19_14_43
| niter |f evals|CG iter|  obj func   |tr radius |   opt    |  c viol  |
|-------|-------|-------|-------------|----------|----------|----------|
|   1   |   8   |   0   | -5.6590e+02 | 1.00e+00 | 9.38e+02 | 0.00e+00 |
|   2   |  16   |   1   | -5.6590e+02 | 1.00e-01 | 9.38e+02 | 0.00e+00 |
|   3   |  24   |   8   | -5.6590e+02 | 5.60e-01 | 9.37e+02 | 0.00e+00 |
|   4   |  32   |  15   | -5.6590e+02 | 3.14e+00 | 9.30e+02 | 0.00e+00 |
|   5   |  40   |  21   | -5.6589e+02 | 8.00e+00 | 3.12e+02 | 0.00e+00 |
|   6   |  48   |  27   | -5.6588e+02 | 8.00e+00 | 2.42e+02 | 0.00e+00 |
|   7   |  56   |  33   | -5.6587e+02 | 8.00e+00 | 2.29e+02 | 0.00e+00 |
|   8   |  64   |  39   | -5.6587e+02 | 8.00e+00 | 2.22e+02 | 0.00e+00 |
|   9   |  72   |  45   | -5.6587e+02 | 8.00e+00 | 2.19e+02 | 0.00e+00 |
|  10   |  80   |  51   | -5.6587e+02 | 8.00e+00 | 2.18e+02 | 0.00e+00 |
|  11   |  88   |  58   | -6.3947e+02 | 8.00e+00 | 1.59e+02 | 0.00e+00 |
|  12   |  104  |  65   | -6.3947e+02 | 8.00e-01 | 1.59e+02 | 0.00e+00 |
|  13   |  112  |  72   | -6.3959e+02 | 8.00e-01 | 1.58e+02 | 0.00e+00 |
|  14   |  120  |  79   | -6.3970e+02 | 8.00e-01 | 1.58e+02 | 0.00e+00 |
|  15   |  128  |  86   | -6.4383e+02 | 8.00e-01 | 1.01e+02 | 0.00e+00 |
|  16   |  136  |  93   | -6.4476e+02 | 8.00e-01 | 1.31e+02 | 0.00e+00 |
|  17   |  144  |  100  | -6.4504e+02 | 8.00e-01 | 1.24e+02 | 0.00e+00 |
|  18   |  152  |  107  | -6.4506e+02 | 8.00e-01 | 1.21e+02 | 0.00e+00 |
|  19   |  168  |  110  | -6.4506e+02 | 8.00e-02 | 1.21e+02 | 0.00e+00 |
|  20   |  184  |  113  | -6.4506e+02 | 8.00e-03 | 1.21e+02 | 0.00e+00 |
|  21   |  192  |  118  | -6.4506e+02 | 8.00e-03 | 1.21e+02 | 0.00e+00 |
|  22   |  200  |  123  | -6.4506e+02 | 8.00e-03 | 1.21e+02 | 0.00e+00 |
|  23   |  208  |  128  | -6.4506e+02 | 8.00e-03 | 1.22e+02 | 0.00e+00 |
|  24   |  216  |  133  | -6.4506e+02 | 8.00e-03 | 1.21e+02 | 0.00e+00 |
|  25   |  224  |  138  | -6.4506e+02 | 8.00e-03 | 1.21e+02 | 0.00e+00 |
|  26   |  232  |  143  | -6.4506e+02 | 8.00e-03 | 1.22e+02 | 0.00e+00 |
|  27   |  248  |  148  | -6.4506e+02 | 8.00e-04 | 1.22e+02 | 0.00e+00 |
|  28   |  264  |  153  | -6.4506e+02 | 4.00e-04 | 1.22e+02 | 0.00e+00 |
|  29   |  272  |  158  | -6.4511e+02 | 8.00e-04 | 1.21e+02 | 0.00e+00 |
|  30   |  288  |  163  | -6.4511e+02 | 4.00e-04 | 1.21e+02 | 0.00e+00 |
|  31   |  296  |  168  | -6.4511e+02 | 1.64e-04 | 1.21e+02 | 0.00e+00 |
|  32   |  304  |  173  | -6.4511e+02 | 5.35e-05 | 1.21e+02 | 0.00e+00 |
|  33   |  312  |  178  | -6.4511e+02 | 3.75e-04 | 1.21e+02 | 0.00e+00 |
|  34   |  328  |  183  | -6.4511e+02 | 1.44e-04 | 1.21e+02 | 0.00e+00 |
|  35   |  336  |  188  | -6.4511e+02 | 4.11e-05 | 1.21e+02 | 0.00e+00 |
|  36   |  344  |  193  | -6.4511e+02 | 5.17e-06 | 1.21e+02 | 0.00e+00 |
|  37   |  360  |  198  | -6.4511e+02 | 5.17e-07 | 1.21e+02 | 0.00e+00 |
|  38   |  368  |  203  | -6.4511e+02 | 3.62e-06 | 1.21e+02 | 0.00e+00 |
|  39   |  376  |  208  | -6.4512e+02 | 2.54e-05 | 1.21e+02 | 0.00e+00 |
|  40   |  392  |  213  | -6.4512e+02 | 4.49e-06 | 1.21e+02 | 0.00e+00 |
|  41   |  408  |  218  | -6.4512e+02 | 4.49e-07 | 1.21e+02 | 0.00e+00 |
