writing to logs/trust-constr/Mexico/2021_7_19_14_43
| niter |f evals|CG iter|  obj func   |tr radius |   opt    |  c viol  |
|-------|-------|-------|-------------|----------|----------|----------|
|   1   |   8   |   0   | -5.7217e+02 | 1.00e+00 | 8.37e+02 | 0.00e+00 |
|   2   |  16   |   1   | -5.7217e+02 | 1.00e-01 | 8.37e+02 | 0.00e+00 |
|   3   |  24   |   8   | -5.7217e+02 | 5.60e-01 | 8.36e+02 | 0.00e+00 |
|   4   |  32   |  15   | -5.7217e+02 | 3.14e+00 | 8.30e+02 | 0.00e+00 |
|   5   |  40   |  22   | -5.7217e+02 | 8.00e+00 | 2.79e+02 | 0.00e+00 |
|   6   |  48   |  28   | -5.7215e+02 | 8.00e+00 | 1.93e+02 | 0.00e+00 |
|   7   |  56   |  34   | -5.7215e+02 | 8.00e+00 | 1.83e+02 | 0.00e+00 |
|   8   |  64   |  40   | -5.7215e+02 | 8.00e+00 | 1.77e+02 | 0.00e+00 |
|   9   |  72   |  46   | -5.7215e+02 | 8.00e+00 | 1.74e+02 | 0.00e+00 |
|  10   |  80   |  52   | -5.7215e+02 | 8.00e+00 | 1.74e+02 | 0.00e+00 |
|  11   |  96   |  59   | -5.7215e+02 | 8.00e-01 | 1.74e+02 | 0.00e+00 |
|  12   |  104  |  66   | -5.7295e+02 | 8.00e-01 | 1.74e+02 | 0.00e+00 |
|  13   |  112  |  73   | -5.7374e+02 | 8.00e-01 | 1.73e+02 | 0.00e+00 |
|  14   |  120  |  80   | -5.7451e+02 | 8.00e-01 | 1.73e+02 | 0.00e+00 |
|  15   |  128  |  87   | -5.7531e+02 | 8.00e-01 | 1.72e+02 | 0.00e+00 |
|  16   |  136  |  94   | -6.1077e+02 | 1.60e+00 | 1.15e+02 | 0.00e+00 |
|  17   |  144  |  101  | -6.1077e+02 | 1.60e-01 | 1.15e+02 | 0.00e+00 |
|  18   |  152  |  108  | -6.1078e+02 | 1.60e-01 | 1.14e+02 | 0.00e+00 |
|  19   |  160  |  114  | -6.1078e+02 | 1.60e-01 | 1.14e+02 | 0.00e+00 |
|  20   |  168  |  120  | -6.1078e+02 | 1.60e-01 | 1.14e+02 | 0.00e+00 |
|  21   |  176  |  126  | -6.1078e+02 | 1.60e-01 | 1.14e+02 | 0.00e+00 |
|  22   |  184  |  132  | -6.1079e+02 | 1.60e-01 | 1.14e+02 | 0.00e+00 |
|  23   |  192  |  138  | -6.1159e+02 | 2.79e-01 | 1.11e+02 | 0.00e+00 |
|  24   |  200  |  144  | -6.1166e+02 | 2.79e-01 | 1.14e+02 | 0.00e+00 |
|  25   |  216  |  150  | -6.1166e+02 | 2.79e-02 | 1.14e+02 | 0.00e+00 |
|  26   |  224  |  156  | -6.1166e+02 | 2.79e-03 | 1.14e+02 | 0.00e+00 |
|  27   |  240  |  162  | -6.1166e+02 | 2.79e-04 | 1.14e+02 | 0.00e+00 |
|  28   |  248  |  168  | -6.1166e+02 | 1.96e-03 | 1.15e+02 | 0.00e+00 |
|  29   |  264  |  174  | -6.1166e+02 | 1.96e-04 | 1.15e+02 | 0.00e+00 |
|  30   |  272  |  180  | -6.1166e+02 | 1.37e-03 | 1.14e+02 | 0.00e+00 |
|  31   |  280  |  186  | -6.1168e+02 | 9.58e-03 | 1.15e+02 | 0.00e+00 |
|  32   |  288  |  192  | -6.1176e+02 | 6.71e-02 | 1.14e+02 | 0.00e+00 |
