writing to logs/trust-constr/Philippines/2021_7_19_14_43
| niter |f evals|CG iter|  obj func   |tr radius |   opt    |  c viol  |
|-------|-------|-------|-------------|----------|----------|----------|
|   1   |   8   |   0   | -5.1106e+02 | 1.00e+00 | 1.21e+03 | 0.00e+00 |
|   2   |  16   |   1   | -5.1106e+02 | 1.00e-01 | 1.21e+03 | 0.00e+00 |
|   3   |  24   |   8   | -5.1106e+02 | 5.60e-01 | 1.21e+03 | 0.00e+00 |
|   4   |  32   |  15   | -5.1106e+02 | 3.14e+00 | 1.20e+03 | 0.00e+00 |
|   5   |  40   |  20   | -5.1107e+02 | 8.00e+00 | 4.02e+02 | 0.00e+00 |
|   6   |  48   |  26   | -5.1107e+02 | 8.00e+00 | 1.11e+02 | 0.00e+00 |
|   7   |  56   |  32   | -5.1107e+02 | 8.00e+00 | 7.63e+01 | 0.00e+00 |
|   8   |  64   |  38   | -5.1107e+02 | 8.00e+00 | 7.41e+01 | 0.00e+00 |
|   9   |  72   |  44   | -5.1107e+02 | 8.00e+00 | 7.30e+01 | 0.00e+00 |
|  10   |  80   |  50   | -5.1107e+02 | 8.00e+00 | 7.28e+01 | 0.00e+00 |
|  11   |  88   |  57   | -5.2529e+02 | 8.00e+00 | 8.52e+01 | 0.00e+00 |
|  12   |  96   |  64   | -5.2711e+02 | 8.00e+00 | 8.75e+01 | 0.00e+00 |
|  13   |  104  |  71   | -5.2789e+02 | 8.00e+00 | 8.88e+01 | 0.00e+00 |
|  14   |  112  |  78   | -5.2799e+02 | 8.00e+00 | 8.91e+01 | 0.00e+00 |
|  15   |  120  |  84   | -5.2799e+02 | 8.00e+00 | 8.91e+01 | 0.00e+00 |
|  16   |  136  |  90   | -5.2799e+02 | 8.00e-01 | 8.91e+01 | 0.00e+00 |
|  17   |  152  |  96   | -5.2799e+02 | 8.00e-02 | 8.91e+01 | 0.00e+00 |
|  18   |  168  |  102  | -5.2799e+02 | 8.00e-03 | 8.91e+01 | 0.00e+00 |
|  19   |  184  |  108  | -5.2799e+02 | 8.00e-04 | 8.91e+01 | 0.00e+00 |
|  20   |  200  |  114  | -5.2799e+02 | 8.00e-05 | 8.91e+01 | 0.00e+00 |
|  21   |  216  |  120  | -5.2799e+02 | 8.00e-06 | 8.91e+01 | 0.00e+00 |
|  22   |  232  |  126  | -5.2799e+02 | 8.00e-07 | 8.91e+01 | 0.00e+00 |
|  23   |  248  |  132  | -5.2799e+02 | 8.00e-08 | 8.91e+01 | 0.00e+00 |
|  24   |  264  |  138  | -5.2799e+02 | 8.00e-09 | 8.91e+01 | 0.00e+00 |
|  25   |  272  |  138  | -5.2799e+02 | 1.00e+00 | 8.91e+01 | 0.00e+00 |
|  26   |  288  |  144  | -5.2799e+02 | 1.00e-01 | 8.91e+01 | 0.00e+00 |
|  27   |  304  |  150  | -5.2799e+02 | 1.00e-02 | 8.91e+01 | 0.00e+00 |
|  28   |  320  |  156  | -5.2799e+02 | 1.00e-03 | 8.91e+01 | 0.00e+00 |
|  29   |  336  |  162  | -5.2799e+02 | 1.00e-04 | 8.91e+01 | 0.00e+00 |
|  30   |  352  |  168  | -5.2799e+02 | 1.00e-05 | 8.91e+01 | 0.00e+00 |
|  31   |  368  |  174  | -5.2799e+02 | 1.00e-06 | 8.91e+01 | 0.00e+00 |
|  32   |  384  |  180  | -5.2799e+02 | 1.00e-07 | 8.91e+01 | 0.00e+00 |
|  33   |  400  |  186  | -5.2799e+02 | 1.00e-08 | 8.91e+01 | 0.00e+00 |
|  34   |  416  |  192  | -5.2799e+02 | 1.00e-09 | 8.91e+01 | 0.00e+00 |
|  35   |  424  |  192  | -5.2799e+02 | 1.00e+00 | 8.91e+01 | 0.00e+00 |
|  36   |  440  |  198  | -5.2799e+02 | 1.00e-01 | 8.91e+01 | 0.00e+00 |
|  37   |  456  |  204  | -5.2799e+02 | 1.00e-02 | 8.91e+01 | 0.00e+00 |
|  38   |  472  |  210  | -5.2799e+02 | 1.00e-03 | 8.91e+01 | 0.00e+00 |
|  39   |  488  |  216  | -5.2799e+02 | 1.00e-04 | 8.91e+01 | 0.00e+00 |
|  40   |  504  |  222  | -5.2799e+02 | 1.00e-05 | 8.91e+01 | 0.00e+00 |
|  41   |  520  |  228  | -5.2799e+02 | 1.00e-06 | 8.91e+01 | 0.00e+00 |
|  42   |  536  |  234  | -5.2799e+02 | 1.00e-07 | 8.91e+01 | 0.00e+00 |
|  43   |  552  |  240  | -5.2799e+02 | 1.00e-08 | 8.91e+01 | 0.00e+00 |
|  44   |  568  |  246  | -5.2799e+02 | 1.00e-09 | 8.91e+01 | 0.00e+00 |
|  45   |  576  |  246  | -5.2799e+02 | 1.00e+00 | 8.91e+01 | 0.00e+00 |
|  46   |  592  |  252  | -5.2799e+02 | 1.00e-01 | 8.91e+01 | 0.00e+00 |
|  47   |  608  |  258  | -5.2799e+02 | 1.00e-02 | 8.91e+01 | 0.00e+00 |
|  48   |  624  |  264  | -5.2799e+02 | 1.00e-03 | 8.91e+01 | 0.00e+00 |
|  49   |  640  |  270  | -5.2799e+02 | 1.00e-04 | 8.91e+01 | 0.00e+00 |
|  50   |  656  |  276  | -5.2799e+02 | 1.00e-05 | 8.91e+01 | 0.00e+00 |
|  51   |  672  |  282  | -5.2799e+02 | 1.00e-06 | 8.91e+01 | 0.00e+00 |
|  52   |  688  |  288  | -5.2799e+02 | 1.00e-07 | 8.91e+01 | 0.00e+00 |
|  53   |  704  |  294  | -5.2799e+02 | 1.00e-08 | 8.91e+01 | 0.00e+00 |
|  54   |  720  |  300  | -5.2799e+02 | 1.00e-09 | 8.91e+01 | 0.00e+00 |
|  55   |  728  |  300  | -5.2799e+02 | 1.00e+00 | 8.91e+01 | 0.00e+00 |
|  56   |  744  |  306  | -5.2799e+02 | 1.00e-01 | 8.91e+01 | 0.00e+00 |
|  57   |  760  |  312  | -5.2799e+02 | 1.00e-02 | 8.91e+01 | 0.00e+00 |
|  58   |  776  |  318  | -5.2799e+02 | 1.00e-03 | 8.91e+01 | 0.00e+00 |
|  59   |  792  |  324  | -5.2799e+02 | 1.00e-04 | 8.91e+01 | 0.00e+00 |
|  60   |  808  |  330  | -5.2799e+02 | 1.00e-05 | 8.91e+01 | 0.00e+00 |
|  61   |  824  |  336  | -5.2799e+02 | 1.00e-06 | 8.91e+01 | 0.00e+00 |
|  62   |  840  |  342  | -5.2799e+02 | 1.00e-07 | 8.91e+01 | 0.00e+00 |
|  63   |  856  |  348  | -5.2799e+02 | 1.00e-08 | 8.91e+01 | 0.00e+00 |
|  64   |  872  |  354  | -5.2799e+02 | 1.00e-09 | 8.91e+01 | 0.00e+00 |
|  65   |  880  |  354  | -5.2799e+02 | 1.00e+00 | 8.91e+01 | 0.00e+00 |
