writing to logs/trust-constr/SAfrica/2021_7_19_14_43
| niter |f evals|CG iter|  obj func   |tr radius |   opt    |  c viol  |
|-------|-------|-------|-------------|----------|----------|----------|
|   1   |   8   |   0   | -5.6035e+02 | 1.00e+00 | 8.57e+02 | 0.00e+00 |
|   2   |  16   |   1   | -5.6035e+02 | 1.00e-01 | 8.57e+02 | 0.00e+00 |
|   3   |  24   |   8   | -5.6035e+02 | 5.60e-01 | 8.56e+02 | 0.00e+00 |
|   4   |  32   |  15   | -5.6035e+02 | 3.14e+00 | 8.50e+02 | 0.00e+00 |
|   5   |  40   |  22   | -5.6035e+02 | 8.00e+00 | 2.85e+02 | 0.00e+00 |
|   6   |  48   |  28   | -5.6033e+02 | 8.00e+00 | 1.98e+02 | 0.00e+00 |
|   7   |  56   |  34   | -5.6033e+02 | 8.00e+00 | 1.87e+02 | 0.00e+00 |
|   8   |  64   |  40   | -5.6032e+02 | 8.00e+00 | 1.81e+02 | 0.00e+00 |
|   9   |  72   |  46   | -5.6032e+02 | 8.00e+00 | 1.79e+02 | 0.00e+00 |
|  10   |  80   |  52   | -5.6032e+02 | 8.00e+00 | 1.78e+02 | 0.00e+00 |
|  11   |  88   |  59   | -5.6032e+02 | 8.00e-01 | 1.78e+02 | 0.00e+00 |
|  12   |  96   |  66   | -5.6032e+02 | 8.00e-01 | 1.78e+02 | 0.00e+00 |
|  13   |  104  |  73   | -5.6032e+02 | 8.00e-01 | 1.78e+02 | 0.00e+00 |
|  14   |  112  |  80   | -5.6032e+02 | 8.00e-01 | 1.78e+02 | 0.00e+00 |
|  15   |  120  |  87   | -5.7460e+02 | 1.77e+00 | 1.71e+02 | 0.00e+00 |
|  16   |  136  |  94   | -5.7460e+02 | 1.77e-01 | 1.71e+02 | 0.00e+00 |
|  17   |  144  |  101  | -5.7460e+02 | 1.77e-01 | 1.71e+02 | 0.00e+00 |
|  18   |  152  |  108  | -5.7460e+02 | 1.77e-01 | 1.71e+02 | 0.00e+00 |
|  19   |  160  |  115  | -5.8378e+02 | 1.24e+00 | 1.63e+02 | 0.00e+00 |
|  20   |  176  |  122  | -5.8378e+02 | 1.24e-01 | 1.63e+02 | 0.00e+00 |
|  21   |  184  |  129  | -5.8472e+02 | 1.39e-01 | 1.63e+02 | 0.00e+00 |
|  22   |  192  |  136  | -5.8562e+02 | 1.39e-01 | 1.62e+02 | 0.00e+00 |
|  23   |  200  |  143  | -5.9149e+02 | 9.74e-01 | 1.54e+02 | 0.00e+00 |
|  24   |  216  |  150  | -5.9149e+02 | 4.15e-01 | 1.54e+02 | 0.00e+00 |
|  25   |  224  |  157  | -5.9579e+02 | 9.76e-01 | 1.44e+02 | 0.00e+00 |
|  26   |  232  |  164  | -5.9747e+02 | 9.76e-01 | 1.37e+02 | 0.00e+00 |
|  27   |  240  |  171  | -5.9810e+02 | 9.76e-01 | 1.25e+02 | 0.00e+00 |
|  28   |  248  |  178  | -5.9817e+02 | 9.76e-01 | 1.28e+02 | 0.00e+00 |
|  29   |  256  |  184  | -5.9817e+02 | 9.76e-01 | 1.28e+02 | 0.00e+00 |
|  30   |  264  |  190  | -5.9817e+02 | 9.76e-01 | 1.28e+02 | 0.00e+00 |
|  31   |  272  |  196  | -5.9817e+02 | 9.76e-01 | 1.28e+02 | 0.00e+00 |
|  32   |  280  |  202  | -5.9871e+02 | 9.76e-01 | 1.26e+02 | 0.00e+00 |
|  33   |  288  |  205  | -5.9871e+02 | 9.76e-01 | 1.25e+02 | 0.00e+00 |
|  34   |  296  |  212  | -5.9877e+02 | 9.76e-01 | 1.27e+02 | 0.00e+00 |
|  35   |  304  |  217  | -5.9877e+02 | 9.76e-01 | 1.27e+02 | 0.00e+00 |
|  36   |  312  |  222  | -5.9877e+02 | 9.76e-01 | 1.27e+02 | 0.00e+00 |
|  37   |  320  |  227  | -5.9877e+02 | 9.76e-01 | 1.27e+02 | 0.00e+00 |
|  38   |  328  |  232  | -5.9877e+02 | 9.76e-01 | 1.27e+02 | 0.00e+00 |
|  39   |  336  |  237  | -5.9877e+02 | 9.76e-01 | 1.27e+02 | 0.00e+00 |
|  40   |  344  |  242  | -5.9877e+02 | 9.76e-01 | 1.27e+02 | 0.00e+00 |
|  41   |  352  |  247  | -5.9904e+02 | 9.76e-01 | 1.26e+02 | 0.00e+00 |
|  42   |  360  |  254  | -6.0135e+02 | 9.76e-01 | 6.35e+01 | 0.00e+00 |
|  43   |  368  |  261  | -6.1267e+02 | 1.85e+00 | 7.27e+01 | 0.00e+00 |
|  44   |  384  |  268  | -6.1267e+02 | 1.85e-01 | 7.27e+01 | 0.00e+00 |
|  45   |  400  |  275  | -6.1267e+02 | 7.90e-02 | 7.27e+01 | 0.00e+00 |
|  46   |  416  |  280  | -6.1267e+02 | 3.95e-02 | 7.27e+01 | 0.00e+00 |
|  47   |  424  |  285  | -6.1278e+02 | 3.95e-02 | 6.61e+01 | 0.00e+00 |
|  48   |  440  |  290  | -6.1278e+02 | 1.97e-02 | 6.61e+01 | 0.00e+00 |
