writing to logs/trust-constr/Thailand/2021_7_19_14_43
| niter |f evals|CG iter|  obj func   |tr radius |   opt    |  c viol  |
|-------|-------|-------|-------------|----------|----------|----------|
|   1   |   8   |   0   | -5.7141e+02 | 1.00e+00 | 9.40e+02 | 0.00e+00 |
|   2   |  16   |   1   | -5.7141e+02 | 1.00e-01 | 9.40e+02 | 0.00e+00 |
|   3   |  24   |   8   | -5.7141e+02 | 5.60e-01 | 9.39e+02 | 0.00e+00 |
|   4   |  32   |  15   | -5.7141e+02 | 3.14e+00 | 9.33e+02 | 0.00e+00 |
|   5   |  40   |  21   | -5.7140e+02 | 8.00e+00 | 3.13e+02 | 0.00e+00 |
|   6   |  48   |  27   | -5.7139e+02 | 8.00e+00 | 2.32e+02 | 0.00e+00 |
|   7   |  56   |  33   | -5.7139e+02 | 8.00e+00 | 2.19e+02 | 0.00e+00 |
|   8   |  64   |  39   | -5.7139e+02 | 8.00e+00 | 2.12e+02 | 0.00e+00 |
|   9   |  72   |  45   | -5.7139e+02 | 8.00e+00 | 2.09e+02 | 0.00e+00 |
|  10   |  80   |  51   | -5.7139e+02 | 8.00e+00 | 2.09e+02 | 0.00e+00 |
|  11   |  88   |  58   | -6.4576e+02 | 8.00e+00 | 1.33e+02 | 0.00e+00 |
|  12   |  104  |  65   | -6.4576e+02 | 8.00e-01 | 1.33e+02 | 0.00e+00 |
|  13   |  112  |  72   | -6.4625e+02 | 8.00e-01 | 1.30e+02 | 0.00e+00 |
|  14   |  120  |  79   | -6.4659e+02 | 8.00e-01 | 1.27e+02 | 0.00e+00 |
|  15   |  128  |  86   | -6.4724e+02 | 8.00e-01 | 1.10e+02 | 0.00e+00 |
|  16   |  136  |  93   | -6.4726e+02 | 8.00e-01 | 1.13e+02 | 0.00e+00 |
|  17   |  144  |  99   | -6.4726e+02 | 8.00e-01 | 1.13e+02 | 0.00e+00 |
|  18   |  152  |  105  | -6.4726e+02 | 8.00e-01 | 1.13e+02 | 0.00e+00 |
|  19   |  160  |  111  | -6.4727e+02 | 8.00e-01 | 1.13e+02 | 0.00e+00 |
|  20   |  168  |  117  | -6.4739e+02 | 8.00e-01 | 1.13e+02 | 0.00e+00 |
|  21   |  176  |  121  | -6.4739e+02 | 8.00e-02 | 1.13e+02 | 0.00e+00 |
|  22   |  176  |  125  | -6.4739e+02 | 8.00e-03 | 1.13e+02 | 0.00e+00 |
|  23   |  176  |  129  | -6.4739e+02 | 8.00e-04 | 1.13e+02 | 0.00e+00 |
|  24   |  176  |  133  | -6.4739e+02 | 8.00e-05 | 1.13e+02 | 0.00e+00 |
|  25   |  176  |  137  | -6.4739e+02 | 8.00e-06 | 1.13e+02 | 0.00e+00 |
|  26   |  176  |  141  | -6.4739e+02 | 8.00e-07 | 1.13e+02 | 0.00e+00 |
|  27   |  176  |  145  | -6.4739e+02 | 8.00e-08 | 1.13e+02 | 0.00e+00 |
|  28   |  176  |  149  | -6.4739e+02 | 8.00e-09 | 1.13e+02 | 0.00e+00 |
|  29   |  184  |  149  | -6.4739e+02 | 1.00e+00 | 1.13e+02 | 0.00e+00 |
|  30   |  192  |  153  | -6.4739e+02 | 1.00e-01 | 1.13e+02 | 0.00e+00 |
|  31   |  192  |  157  | -6.4739e+02 | 1.00e-02 | 1.13e+02 | 0.00e+00 |
|  32   |  192  |  161  | -6.4739e+02 | 1.00e-03 | 1.13e+02 | 0.00e+00 |
|  33   |  192  |  165  | -6.4739e+02 | 1.00e-04 | 1.13e+02 | 0.00e+00 |
|  34   |  192  |  169  | -6.4739e+02 | 1.00e-05 | 1.13e+02 | 0.00e+00 |
|  35   |  192  |  173  | -6.4739e+02 | 1.00e-06 | 1.13e+02 | 0.00e+00 |
|  36   |  192  |  177  | -6.4739e+02 | 1.00e-07 | 1.13e+02 | 0.00e+00 |
|  37   |  192  |  181  | -6.4739e+02 | 1.00e-08 | 1.13e+02 | 0.00e+00 |
|  38   |  192  |  185  | -6.4739e+02 | 1.00e-09 | 1.13e+02 | 0.00e+00 |
|  39   |  200  |  185  | -6.4739e+02 | 1.00e+00 | 1.13e+02 | 0.00e+00 |
|  40   |  208  |  189  | -6.4739e+02 | 1.00e-01 | 1.13e+02 | 0.00e+00 |
|  41   |  208  |  193  | -6.4739e+02 | 1.00e-02 | 1.13e+02 | 0.00e+00 |
|  42   |  208  |  197  | -6.4739e+02 | 1.00e-03 | 1.13e+02 | 0.00e+00 |
|  43   |  208  |  201  | -6.4739e+02 | 1.00e-04 | 1.13e+02 | 0.00e+00 |
|  44   |  208  |  205  | -6.4739e+02 | 1.00e-05 | 1.13e+02 | 0.00e+00 |
|  45   |  208  |  209  | -6.4739e+02 | 1.00e-06 | 1.13e+02 | 0.00e+00 |
|  46   |  208  |  213  | -6.4739e+02 | 1.00e-07 | 1.13e+02 | 0.00e+00 |
|  47   |  208  |  217  | -6.4739e+02 | 1.00e-08 | 1.13e+02 | 0.00e+00 |
|  48   |  208  |  221  | -6.4739e+02 | 1.00e-09 | 1.13e+02 | 0.00e+00 |
|  49   |  216  |  221  | -6.4739e+02 | 1.00e+00 | 1.13e+02 | 0.00e+00 |
|  50   |  224  |  225  | -6.4739e+02 | 1.00e-01 | 1.13e+02 | 0.00e+00 |
|  51   |  224  |  229  | -6.4739e+02 | 1.00e-02 | 1.13e+02 | 0.00e+00 |
|  52   |  224  |  233  | -6.4739e+02 | 1.00e-03 | 1.13e+02 | 0.00e+00 |
|  53   |  224  |  237  | -6.4739e+02 | 1.00e-04 | 1.13e+02 | 0.00e+00 |
|  54   |  224  |  241  | -6.4739e+02 | 1.00e-05 | 1.13e+02 | 0.00e+00 |
|  55   |  224  |  245  | -6.4739e+02 | 1.00e-06 | 1.13e+02 | 0.00e+00 |
|  56   |  224  |  249  | -6.4739e+02 | 1.00e-07 | 1.13e+02 | 0.00e+00 |
|  57   |  224  |  253  | -6.4739e+02 | 1.00e-08 | 1.13e+02 | 0.00e+00 |
|  58   |  224  |  257  | -6.4739e+02 | 1.00e-09 | 1.13e+02 | 0.00e+00 |
|  59   |  232  |  257  | -6.4739e+02 | 1.00e+00 | 1.13e+02 | 0.00e+00 |
|  60   |  240  |  261  | -6.4739e+02 | 1.00e-01 | 1.13e+02 | 0.00e+00 |
|  61   |  240  |  265  | -6.4739e+02 | 1.00e-02 | 1.13e+02 | 0.00e+00 |
|  62   |  240  |  269  | -6.4739e+02 | 1.00e-03 | 1.13e+02 | 0.00e+00 |
|  63   |  240  |  273  | -6.4739e+02 | 1.00e-04 | 1.13e+02 | 0.00e+00 |
|  64   |  240  |  277  | -6.4739e+02 | 1.00e-05 | 1.13e+02 | 0.00e+00 |
|  65   |  240  |  281  | -6.4739e+02 | 1.00e-06 | 1.13e+02 | 0.00e+00 |
|  66   |  240  |  285  | -6.4739e+02 | 1.00e-07 | 1.13e+02 | 0.00e+00 |
|  67   |  240  |  289  | -6.4739e+02 | 1.00e-08 | 1.13e+02 | 0.00e+00 |
|  68   |  240  |  293  | -6.4739e+02 | 1.00e-09 | 1.13e+02 | 0.00e+00 |
|  69   |  248  |  293  | -6.4739e+02 | 1.00e+00 | 1.13e+02 | 0.00e+00 |
|  70   |  256  |  297  | -6.4739e+02 | 1.00e-01 | 1.13e+02 | 0.00e+00 |
|  71   |  256  |  301  | -6.4739e+02 | 1.00e-02 | 1.13e+02 | 0.00e+00 |
|  72   |  256  |  305  | -6.4739e+02 | 1.00e-03 | 1.13e+02 | 0.00e+00 |
|  73   |  256  |  309  | -6.4739e+02 | 1.00e-04 | 1.13e+02 | 0.00e+00 |
|  74   |  256  |  313  | -6.4739e+02 | 1.00e-05 | 1.13e+02 | 0.00e+00 |
|  75   |  256  |  317  | -6.4739e+02 | 1.00e-06 | 1.13e+02 | 0.00e+00 |
|  76   |  256  |  321  | -6.4739e+02 | 1.00e-07 | 1.13e+02 | 0.00e+00 |
|  77   |  256  |  325  | -6.4739e+02 | 1.00e-08 | 1.13e+02 | 0.00e+00 |
|  78   |  256  |  329  | -6.4739e+02 | 1.00e-09 | 1.13e+02 | 0.00e+00 |
|  79   |  264  |  329  | -6.4739e+02 | 1.00e+00 | 1.13e+02 | 0.00e+00 |
|  80   |  272  |  333  | -6.4739e+02 | 1.00e-01 | 1.13e+02 | 0.00e+00 |
|  81   |  272  |  337  | -6.4739e+02 | 1.00e-02 | 1.13e+02 | 0.00e+00 |
|  82   |  272  |  341  | -6.4739e+02 | 1.00e-03 | 1.13e+02 | 0.00e+00 |
|  83   |  272  |  345  | -6.4739e+02 | 1.00e-04 | 1.13e+02 | 0.00e+00 |
|  84   |  272  |  349  | -6.4739e+02 | 1.00e-05 | 1.13e+02 | 0.00e+00 |
|  85   |  272  |  353  | -6.4739e+02 | 1.00e-06 | 1.13e+02 | 0.00e+00 |
|  86   |  272  |  357  | -6.4739e+02 | 1.00e-07 | 1.13e+02 | 0.00e+00 |
|  87   |  272  |  361  | -6.4739e+02 | 1.00e-08 | 1.13e+02 | 0.00e+00 |
|  88   |  272  |  365  | -6.4739e+02 | 1.00e-09 | 1.13e+02 | 0.00e+00 |
|  89   |  280  |  365  | -6.4739e+02 | 1.00e+00 | 1.13e+02 | 0.00e+00 |
|  90   |  288  |  369  | -6.4739e+02 | 1.00e-01 | 1.13e+02 | 0.00e+00 |
|  91   |  288  |  373  | -6.4739e+02 | 1.00e-02 | 1.13e+02 | 0.00e+00 |
|  92   |  288  |  377  | -6.4739e+02 | 1.00e-03 | 1.13e+02 | 0.00e+00 |
|  93   |  288  |  381  | -6.4739e+02 | 1.00e-04 | 1.13e+02 | 0.00e+00 |
|  94   |  288  |  385  | -6.4739e+02 | 1.00e-05 | 1.13e+02 | 0.00e+00 |
|  95   |  288  |  389  | -6.4739e+02 | 1.00e-06 | 1.13e+02 | 0.00e+00 |
|  96   |  288  |  393  | -6.4739e+02 | 1.00e-07 | 1.13e+02 | 0.00e+00 |
|  97   |  288  |  397  | -6.4739e+02 | 1.00e-08 | 1.13e+02 | 0.00e+00 |
|  98   |  288  |  401  | -6.4739e+02 | 1.00e-09 | 1.13e+02 | 0.00e+00 |
|  99   |  296  |  401  | -6.4739e+02 | 1.00e+00 | 1.13e+02 | 0.00e+00 |
|  100  |  304  |  405  | -6.4739e+02 | 1.00e-01 | 1.13e+02 | 0.00e+00 |
|  101  |  304  |  409  | -6.4739e+02 | 1.00e-02 | 1.13e+02 | 0.00e+00 |
|  102  |  304  |  413  | -6.4739e+02 | 1.00e-03 | 1.13e+02 | 0.00e+00 |
|  103  |  304  |  417  | -6.4739e+02 | 1.00e-04 | 1.13e+02 | 0.00e+00 |
|  104  |  304  |  421  | -6.4739e+02 | 1.00e-05 | 1.13e+02 | 0.00e+00 |
|  105  |  304  |  425  | -6.4739e+02 | 1.00e-06 | 1.13e+02 | 0.00e+00 |
|  106  |  304  |  429  | -6.4739e+02 | 1.00e-07 | 1.13e+02 | 0.00e+00 |
|  107  |  304  |  433  | -6.4739e+02 | 1.00e-08 | 1.13e+02 | 0.00e+00 |
|  108  |  304  |  437  | -6.4739e+02 | 1.00e-09 | 1.13e+02 | 0.00e+00 |
|  109  |  312  |  437  | -6.4739e+02 | 1.00e+00 | 1.13e+02 | 0.00e+00 |
|  110  |  320  |  441  | -6.4739e+02 | 1.00e-01 | 1.13e+02 | 0.00e+00 |
|  111  |  320  |  445  | -6.4739e+02 | 1.00e-02 | 1.13e+02 | 0.00e+00 |
|  112  |  320  |  449  | -6.4739e+02 | 1.00e-03 | 1.13e+02 | 0.00e+00 |
|  113  |  320  |  453  | -6.4739e+02 | 1.00e-04 | 1.13e+02 | 0.00e+00 |
|  114  |  320  |  457  | -6.4739e+02 | 1.00e-05 | 1.13e+02 | 0.00e+00 |
|  115  |  320  |  461  | -6.4739e+02 | 1.00e-06 | 1.13e+02 | 0.00e+00 |
|  116  |  320  |  465  | -6.4739e+02 | 1.00e-07 | 1.13e+02 | 0.00e+00 |
|  117  |  320  |  469  | -6.4739e+02 | 1.00e-08 | 1.13e+02 | 0.00e+00 |
|  118  |  320  |  473  | -6.4739e+02 | 1.00e-09 | 1.13e+02 | 0.00e+00 |
|  119  |  328  |  473  | -6.4739e+02 | 1.00e+00 | 1.13e+02 | 0.00e+00 |
|  120  |  336  |  477  | -6.4739e+02 | 1.00e-01 | 1.13e+02 | 0.00e+00 |
|  121  |  336  |  481  | -6.4739e+02 | 1.00e-02 | 1.13e+02 | 0.00e+00 |
|  122  |  336  |  485  | -6.4739e+02 | 1.00e-03 | 1.13e+02 | 0.00e+00 |
|  123  |  336  |  489  | -6.4739e+02 | 1.00e-04 | 1.13e+02 | 0.00e+00 |
|  124  |  336  |  493  | -6.4739e+02 | 1.00e-05 | 1.13e+02 | 0.00e+00 |
|  125  |  336  |  497  | -6.4739e+02 | 1.00e-06 | 1.13e+02 | 0.00e+00 |
|  126  |  336  |  501  | -6.4739e+02 | 1.00e-07 | 1.13e+02 | 0.00e+00 |
|  127  |  336  |  505  | -6.4739e+02 | 1.00e-08 | 1.13e+02 | 0.00e+00 |
|  128  |  336  |  509  | -6.4739e+02 | 1.00e-09 | 1.13e+02 | 0.00e+00 |
|  129  |  344  |  509  | -6.4739e+02 | 1.00e+00 | 1.13e+02 | 0.00e+00 |
|  130  |  352  |  513  | -6.4739e+02 | 1.00e-01 | 1.13e+02 | 0.00e+00 |
|  131  |  352  |  517  | -6.4739e+02 | 1.00e-02 | 1.13e+02 | 0.00e+00 |
|  132  |  352  |  521  | -6.4739e+02 | 1.00e-03 | 1.13e+02 | 0.00e+00 |
|  133  |  352  |  525  | -6.4739e+02 | 1.00e-04 | 1.13e+02 | 0.00e+00 |
|  134  |  352  |  529  | -6.4739e+02 | 1.00e-05 | 1.13e+02 | 0.00e+00 |
|  135  |  352  |  533  | -6.4739e+02 | 1.00e-06 | 1.13e+02 | 0.00e+00 |
|  136  |  352  |  537  | -6.4739e+02 | 1.00e-07 | 1.13e+02 | 0.00e+00 |
|  137  |  352  |  541  | -6.4739e+02 | 1.00e-08 | 1.13e+02 | 0.00e+00 |
|  138  |  352  |  545  | -6.4739e+02 | 1.00e-09 | 1.13e+02 | 0.00e+00 |

`xtol` termination condition is satisfied.
Number of iterations: 138, function evaluations: 352, CG iterations: 545, optimality: 1.13e+02, constraint violation: 0.00e+00, execution time: 3.4e+04 s.
