date,Brazil,Bulgaria,Chile,China,Colombia,Croatia,Korea,Malaysia,Mexico,Philippines,Poland,Russia,SAfrica,Thailand,Turkey
2000-01-31,,,,,,,,,,,,,,,
2000-02-29,,,,,,,,,,,,,,,
2000-03-31,,,,,,,,,,,,,,,
2000-04-30,,,,,,,,,,,,,,,
2000-05-31,,,,,,,,,,,,,,,
2000-06-30,,,,,,,,,,,,,,,
2000-07-31,,,,,,,,,,,,,,,
2000-08-31,,,,,,,,,,,,,,,
2000-09-30,,,,,,,,,,,,,,,
2000-10-31,,,,,,,,,,,,772.5,,,
2000-11-30,,,,,,,,,,,,806.25,,,
2000-12-31,,,,,,,,,,,,835.0,,,
2001-01-31,,,,,,,,,,,,800.0,,,
2001-02-28,,,,,,,,,,,,755.912,,,
2001-03-31,,,,,,,,,,,,789.294,,,
2001-04-30,,,,,,,,,,,,725.0,,,
2001-05-31,,,,,,,,,,,,647.5,,,
2001-06-30,,,,,,,,,,,,562.5,,,
2001-07-31,,,,,,,,,,,,640.0,,,
2001-08-31,,,,,,,,,,,,527.5,,,
2001-09-30,,,,,,,,,,,,620.0,,,
2001-10-31,,,,,,,,,,,,595.0,,,
2001-11-30,393.75,,,,,,,,115.0,,,477.5,115.0,,
2001-12-31,322.5,,,,,177.5,,,95.0,,,460.0,117.5,,
2002-01-31,345.0,,,,,177.5,,102.5,97.5,,,328.333,111.25,,
2002-02-28,337.5,,,,,161.25,31.25,102.5,88.75,,,288.333,118.75,,
2002-03-29,302.5,,,,,77.5,30.0,87.5,75.5,,19.25,274.833,95.0,,336.25
2002-04-30,372.5,,,,,65.0,27.5,91.25,66.25,,22.0,262.0,85.0,,318.75
2002-05-31,722.5,,,,,70.0,30.0,97.5,67.5,,25.0,288.333,82.5,,402.5
2002-06-28,2331.25,,,,,85.0,31.25,98.75,110.0,,29.0,420.0,97.5,,997.5
2002-07-31,3737.5,,,,,97.5,35.0,101.25,125.0,,38.5,445.0,92.5,,1275.0
2002-08-30,3230.0,,,,,90.0,40.0,100.0,130.0,,36.0,415.167,100.0,,1075.0
2002-09-30,4565.0,,,,,100.0,35.0,97.5,133.75,,36.0,398.333,105.0,,1070.0
2002-10-31,3697.5,,,,,90.0,40.0,102.5,107.5,,32.0,327.5,115.0,,842.5
2002-11-29,3050.0,,,,,77.5,36.05,102.5,90.0,,22.0,350.0,102.5,,520.0
2002-12-31,2520.0,,,,,70.0,36.05,100.0,60.0,,24.5,321.667,93.5,,565.0
2003-01-31,1063.333,80.0,40.0,35.0,332.5,58.333,35.933,45.067,65.0,212.5,22.333,226.25,74.167,72.5,561.667
2003-02-28,848.333,72.5,39.0,37.5,331.25,55.0,66.033,49.167,60.0,230.0,20.333,201.875,67.5,80.0,478.333
2003-03-31,688.333,87.5,40.0,37.5,247.5,80.0,123.333,57.5,52.0,260.0,27.167,213.75,65.0,80.0,1266.667
2003-04-30,475.0,82.5,35.0,19.0,187.5,70.0,61.667,44.333,41.667,182.5,22.0,178.75,61.667,38.75,670.0
2003-05-30,360.0,70.0,34.0,19.0,180.0,70.0,51.167,41.833,50.0,168.5,22.333,157.625,56.667,35.0,581.667
2003-06-30,336.667,77.333,35.0,15.5,132.5,54.25,55.733,35.833,42.333,152.7,20.625,112.333,59.667,29.0,540.0
2003-07-31,288.333,67.0,33.5,12.25,135.0,54.375,54.267,32.567,33.333,134.2,17.25,107.833,59.167,25.45,399.0
2003-08-29,256.549,75.0,23.48,11.25,137.398,60.25,38.133,20.6,33.333,123.35,11.5,149.25,56.333,19.0,366.667
2003-09-30,219.923,84.0,22.982,12.25,147.409,56.333,36.65,24.55,30.833,140.85,14.667,109.5,47.5,16.5,305.0
2003-10-31,144.938,66.5,22.982,8.0,137.403,52.5,38.4,21.95,27.917,150.667,17.0,99.0,38.75,11.6,197.5
2003-11-28,87.451,100.833,14.237,10.0,129.904,70.25,39.84,18.23,42.5,215.0,29.833,101.833,76.667,10.665,244.875
2003-12-31,108.282,66.5,14.988,9.25,113.28,47.5,20.5,11.27,41.5,196.32,16.5,103.875,35.0,11.225,136.833
2004-01-30,188.261,71.5,14.991,11.29,169.888,42.5,31.653,17.425,45.0,213.987,11.75,102.833,37.5,15.22,179.167
2004-02-27,209.924,59.5,14.991,10.69,117.423,46.667,26.57,17.26,28.5,255.2,14.0,96.25,40.0,15.935,178.333
2004-03-31,184.947,53.5,17.491,13.5,84.962,41.25,25.083,18.25,28.333,287.5,16.5,85.833,35.0,16.5,118.333
2004-04-30,308.333,41.5,13.989,16.387,151.195,40.0,32.0,20.215,45.362,274.197,11.5,122.5,34.375,17.19,203.0
2004-05-31,367.395,51.127,14.987,15.5,202.411,40.23,27.0,18.0,42.359,283.75,13.845,126.23,54.125,16.0,361.5
2004-06-30,254.876,27.5,14.987,16.15,139.911,31.667,27.0,16.413,34.312,241.0,18.0,109.5,34.583,19.215,251.25
2004-07-30,164.167,22.987,11.485,11.337,117.45,27.5,23.563,11.678,32.484,194.475,6.75,96.125,32.0,12.937,163.875
2004-08-31,88.75,22.74,11.486,8.5,130.0,18.06,14.0,10.0,27.0,158.0,5.71,89.5,22.167,9.5,121.833
2004-09-30,93.75,14.987,9.0,11.0,108.333,16.817,16.0,10.75,24.333,173.0,5.545,86.0,20.333,12.25,122.75
2004-10-29,88.0,15.57,9.0,9.0,95.0,14.325,13.25,10.75,27.0,227.5,5.555,71.4,14.333,9.75,116.25
2004-11-30,78.75,13.167,9.0,8.5,92.5,13.313,12.167,10.0,24.375,205.25,5.25,80.321,14.563,12.75,100.375
2004-12-31,72.167,13.2,12.0,10.0,78.75,13.087,11.5,9.333,23.0,180.0,6.217,82.25,11.5,11.25,94.286
2005-01-31,80.0,13.821,12.0,10.0,72.5,11.863,16.0,10.25,26.833,124.75,6.452,62.417,18.417,10.167,95.688
2005-02-28,61.667,10.282,13.0,9.5,57.5,11.535,15.5,13.417,25.625,100.5,5.648,51.933,15.375,11.125,57.625
2005-03-31,95.0,12.058,9.083,12.0,90.125,14.33,19.25,16.875,31.0,136.375,5.352,57.714,30.125,13.0,95.5
2005-04-29,87.167,17.683,12.5,12.125,75.0,12.955,17.667,16.167,34.875,145.833,6.452,55.167,27.0,13.625,135.125
2005-05-31,61.667,12.808,6.5,12.667,58.75,14.58,16.0,14.0,27.25,115.875,5.9399999999999995,54.583,21.833,12.167,90.125
2005-06-30,60.25,12.546,7.333,12.625,53.125,11.864,16.25,14.0,24.167,134.358,5.864,47.673,13.167,15.625,85.2
2005-07-29,66.75,10.833,8.5,10.333,46.0,13.75,14.5,13.5,23.333,146.13,6.125,39.378,12.25,12.75,66.26
2005-08-31,67.2,12.333,17.083,9.5,46.0,12.75,14.167,13.167,22.1,133.096,5.667,36.573,11.875,16.5,67.4
2005-09-30,49.875,9.0,17.167,8.5,40.8,11.5,10.375,11.25,21.0,78.008,5.333,30.75,16.25,12.625,46.28
2005-10-31,55.0,14.5,8.0,8.5,48.875,13.167,11.375,11.375,23.75,94.208,5.667,46.45,14.333,14.125,45.0
2005-11-30,42.8,13.3,7.667,6.125,35.7,12.0,7.0,10.0,19.9,60.667,6.0,35.429,13.377,13.875,38.429
2005-12-30,37.125,12.75,8.5,6.75,35.0,12.5,7.0,10.75,19.667,59.0,7.25,34.917,12.5,16.5,37.5
2006-01-31,31.1,13.833,8.0,6.0,31.5,12.5,6.75,7.5,18.417,40.625,5.667,31.35,10.834,9.833,36.625
2006-02-28,19.833,11.25,8.167,6.5,19.7,11.5,7.167,7.125,14.417,43.5,6.333,20.6,10.668,11.25,23.75
2006-03-31,27.625,11.5,6.875,7.5,26.714,11.3,7.167,8.375,19.0,52.5,7.5,26.929,12.501,15.0,36.333
2006-04-28,21.571,11.833,7.833,6.5,22.3,11.625,6.833,7.625,19.571,53.583,8.0,30.375,13.002,11.333,38.083
2006-05-31,27.786,11.8,6.625,7.0,28.333,11.1,7.125,8.333,24.0,61.458,8.5,46.714,20.876,13.5,68.667
2006-06-30,25.833,15.25,6.5,8.0,26.917,14.625,10.333,11.333,22.083,81.333,10.667,38.75,32.168,15.5,113.75
2006-07-31,23.7,11.9,6.0,6.5,25.375,12.0,8.0,9.0,15.167,57.0,11.5,33.583,18.501,12.667,74.95
2006-08-31,22.0,11.875,7.0,6.5,22.625,11.75,9.333,9.333,14.4,53.563,8.0,28.083,15.751,13.5,50.333
2006-09-29,27.5,12.0,6.875,7.0,30.214,13.0,9.0,8.75,16.75,51.167,8.75,28.833,18.502,16.667,50.429
2006-10-31,27.701999999999998,8.167,8.168,6.0,29.431,9.376,13.335,9.005,14.083,37.665,8.126,30.714,14.075,11.325,41.179
2006-11-30,22.964,8.525,7.25,5.0,27.707,9.001,9.5,6.0,13.941,36.625,6.376,29.375,14.35,10.005,42.293
2006-12-29,21.667,5.833,7.167,4.0,25.083,7.169,8.675,6.495,13.571,33.0,4.876,25.5,11.333,10.835,40.25
2007-01-31,23.047,5.0,6.667,3.5,26.964,6.334,8.505,6.954,15.643,31.168,4.835,25.229,10.167,13.345,38.401
2007-02-28,22.357,5.667,6.0,3.5,26.321,6.334,8.025,6.918,17.179,30.891,5.167,25.903,10.875,15.17,43.1
2007-03-30,22.643,5.833,6.0,3.5,23.826999999999998,6.0,9.084,7.356,17.857,32.109,4.667,24.774,9.5,16.593,40.55
2007-04-30,21.063,4.5,6.14,3.167,22.667,5.334,8.8,4.75,16.533,28.5,2.834,24.429,8.747,13.576,42.001
2007-05-31,21.188,4.003,6.0,4.0,21.9,4.751,8.7,5.9,14.883,31.3,2.877,24.17,6.75,15.33,32.901
2007-06-29,24.164,4.931,6.15,5.0,23.583,4.001,8.5,6.95,15.4,32.75,3.126,26.1,9.282,15.825,34.167
2007-07-31,43.114,9.135,9.225,11.0,51.95,7.251,14.33,17.048,23.583,70.941,4.002,38.3,18.868,23.406,51.377
2007-08-31,46.148,8.712,10.741,13.0,54.411,8.335,20.335,20.401,24.498,74.722,5.668,57.068,13.719,25.144,64.168
2007-09-28,35.665,9.531,7.612,15.667,44.33,9.836,19.551,20.289,21.406,108.408,5.001,51.173,13.559,33.484,59.003
2007-10-31,38.0,10.163,9.092,18.333,44.838,10.168,19.645,12.817,19.196,57.33,5.169,49.401,11.655,20.376,51.825
2007-11-30,50.625,25.493,16.176,13.0,69.2,23.835,28.285,28.22,26.175,54.383,9.003,69.853,27.445,23.399,69.145
2007-12-31,46.777,42.726,17.265,24.25,56.127,30.253,45.655,34.25,26.439,77.986,11.252,62.475,35.838,43.755,54.592
2008-01-31,51.2,40.345,33.008,35.025,76.4,33.504,49.917,52.832,36.495,98.935,12.753,71.005,53.729,38.884,70.67
2008-02-29,48.222,51.54,20.154,45.116,76.375,39.502,70.631,60.92,32.25,170.518,26.503,71.061,71.173,70.534,86.352
2008-03-31,58.667,63.806,25.834,56.225,98.625,43.001,54.356,45.962,30.0,95.66,30.002,72.797,71.562,45.828,132.838
2008-04-30,32.333,31.901,17.309,26.627,57.703,22.836,34.008,28.282,22.368,82.282,11.503,53.949,40.52,38.992,78.659
2008-05-30,29.005,52.355,15.746,32.242,47.393,16.003,43.898,54.177,28.392,95.154,12.003,40.33,61.167,33.338,80.062
2008-06-30,37.015,72.421,19.307,45.74,62.881,26.439,42.701,61.473,31.833,116.04,13.002,57.35,70.965,46.856,103.836
2008-07-31,40.825,55.525,18.571,25.579,64.75,22.835,40.589,46.642,30.975,99.188,18.002,49.241,52.503,36.028,82.479
2008-08-29,42.175,71.105,18.802,32.208,66.657,30.001,53.995,63.5,34.335,105.85,28.002,76.03,57.838,60.563,85.323
2008-09-30,93.3,79.01,43.599,39.713,101.553,59.501,144.02,72.581,62.689,132.443,30.359,230.99,83.809,84.281,95.338
2008-10-31,306.831,358.829,112.695,107.104,292.56,234.501,372.107,173.939,270.565,500.0,144.169,655.931,285.039,174.17,457.832
2008-11-28,264.305,446.009,164.478,140.646,271.211,363.001,363.038,218.74,264.305,379.794,160.252,983.884,369.118,228.738,427.605
2008-12-31,227.102,505.932,124.138,152.503,238.059,412.378,311.058,166.518,227.62,401.667,193.42,1101.82,357.995,223.346,419.651
2009-01-30,227.287,479.525,166.312,171.801,263.125,417.383,331.501,190.621,249.425,397.863,234.128,1053.672,398.806,201.519,424.563
2009-02-27,260.346,610.174,190.359,198.954,346.007,521.202,427.623,232.951,391.01,444.188,336.668,984.468,436.85,234.316,477.826
2009-03-31,178.108,504.956,137.5,95.024,292.003,388.889,326.919,180.487,311.913,362.383,220.502,546.444,327.248,171.141,368.572
2009-04-30,119.64,403.406,75.0,108.438,192.235,289.343,235.908,148.656,204.926,282.06,148.667,344.858,205.74,173.812,240.037
2009-05-29,91.158,294.198,84.634,39.981,123.754,195.668,125.976,64.716,129.089,188.595,135.335,226.365,168.081,72.866,191.266
2009-06-30,105.1,382.47,55.003,53.551,113.875,247.335,170.556,70.77,135.048,197.034,101.253,238.489,145.192,80.175,174.533
2009-07-31,82.163,249.545,33.529,21.158,98.68,211.127,104.889,36.727,106.325,139.748,74.709,157.702,76.248,42.53,109.138
2009-08-31,82.739,218.178,29.578,38.342,96.166,191.085,115.279,37.518,122.551,142.836,75.5,153.675,79.627,42.709,115.099
