writing to logs/AEJ_data/1/trust-constr/Colombia/2021_8_11_13_17
| niter |f evals|CG iter|  obj func   |tr radius |   opt    |  c viol  |
|-------|-------|-------|-------------|----------|----------|----------|
|   1   |   8   |   0   | -8.5451e+02 | 1.00e+00 | 8.50e+03 | 0.00e+00 |
|   2   |  16   |   1   | -8.5451e+02 | 5.00e-01 | 8.50e+03 | 0.00e+00 |
|   3   |  24   |   2   | -8.5451e+02 | 2.50e-01 | 8.50e+03 | 0.00e+00 |
|   4   |  32   |   3   | -8.5451e+02 | 1.25e-01 | 8.50e+03 | 0.00e+00 |
|   5   |  40   |   4   | -8.5451e+02 | 6.25e-02 | 8.50e+03 | 0.00e+00 |
|   6   |  48   |   5   | -8.5451e+02 | 3.12e-02 | 8.50e+03 | 0.00e+00 |
|   7   |  56   |   6   | -8.6321e+02 | 3.12e-02 | 1.34e+03 | 0.00e+00 |
|   8   |  64   |   7   | -8.6321e+02 | 1.23e-02 | 1.34e+03 | 0.00e+00 |
|   9   |  72   |   9   | -8.7946e+02 | 8.58e-02 | 1.28e+03 | 0.00e+00 |
|  10   |  80   |  11   | -8.7946e+02 | 8.58e-03 | 1.28e+03 | 0.00e+00 |
|  11   |  88   |  12   | -8.7942e+02 | 4.81e-02 | 1.29e+03 | 0.00e+00 |
|  12   |  96   |  13   | -8.7985e+02 | 2.69e-01 | 1.29e+03 | 0.00e+00 |
|  13   |  104  |  14   | -8.8008e+02 | 1.51e+00 | 1.32e+03 | 0.00e+00 |
|  14   |  112  |  15   | -8.4973e+02 | 8.05e+00 | 4.96e+02 | 0.00e+00 |
|  15   |  120  |  16   | -8.0259e+02 | 8.05e+00 | 1.37e+02 | 0.00e+00 |
|  16   |  128  |  17   | -7.8014e+02 | 8.05e+00 | 1.28e+02 | 0.00e+00 |
|  17   |  136  |  18   | -7.7065e+02 | 8.05e+00 | 1.19e+02 | 0.00e+00 |
|  18   |  144  |  19   | -7.6714e+02 | 8.05e+00 | 1.16e+02 | 0.00e+00 |
|  19   |  152  |  20   | -7.6603e+02 | 8.05e+00 | 1.15e+02 | 0.00e+00 |
|  20   |  160  |  27   | -7.7786e+02 | 8.05e+00 | 1.07e+02 | 0.00e+00 |
|  21   |  168  |  34   | -7.8061e+02 | 8.05e+00 | 1.09e+02 | 0.00e+00 |
|  22   |  176  |  41   | -7.8239e+02 | 8.05e+00 | 1.10e+02 | 0.00e+00 |
|  23   |  184  |  48   | -7.8361e+02 | 8.05e+00 | 1.11e+02 | 0.00e+00 |
