writing to logs/1/trust-constr/Croatia/2021_8_4_19_20
| niter |f evals|CG iter|  obj func   |tr radius |   opt    |  c viol  |
|-------|-------|-------|-------------|----------|----------|----------|
|   1   |   8   |   0   | +1.2993e+07 | 1.00e+00 | 8.60e+10 | 0.00e+00 |
|   2   |  16   |   1   | -8.0974e+02 | 1.00e+00 | 2.87e+03 | 3.01e-01 |
|   3   |  24   |   8   | -8.0974e+02 | 6.63e+00 | 1.40e+03 | 3.01e-01 |
|   4   |  32   |  15   | -8.0974e+02 | 6.63e-01 | 1.40e+03 | 3.01e-01 |
|   5   |  40   |  20   | -8.0974e+02 | 6.63e-02 | 1.40e+03 | 3.01e-01 |
|   6   |  48   |  27   | -8.0974e+02 | 3.75e-01 | 1.40e+03 | 3.01e-01 |
|   7   |  56   |  33   | -8.0974e+02 | 3.75e-02 | 1.40e+03 | 3.01e-01 |
|   8   |  64   |  40   | -8.0975e+02 | 2.15e-01 | 1.39e+03 | 3.01e-01 |
|   9   |  72   |  47   | -8.0975e+02 | 1.39e+00 | 1.29e+03 | 3.01e-01 |
|  10   |  80   |  54   | -8.0975e+02 | 1.39e-01 | 1.29e+03 | 3.01e-01 |
|  11   |  88   |  60   | -8.0975e+02 | 1.39e-02 | 1.29e+03 | 3.01e-01 |
|  12   |  96   |  67   | -8.0978e+02 | 7.90e-02 | 1.29e+03 | 3.01e-01 |
|  13   |  104  |  74   | -8.6970e+02 | 5.53e-01 | 2.37e+03 | 2.95e-01 |
|  14   |  112  |  81   | -8.6970e+02 | 5.53e-02 | 2.37e+03 | 2.95e-01 |
|  15   |  120  |  88   | -9.5661e+02 | 3.87e-01 | 9.19e+02 | 2.91e-01 |
|  16   |  128  |  95   | -9.5661e+02 | 3.87e-02 | 9.19e+02 | 2.91e-01 |
|  17   |  136  |  102  | -9.5661e+02 | 3.87e-03 | 9.19e+02 | 2.91e-01 |
|  18   |  144  |  109  | -9.5652e+02 | 2.32e-02 | 1.21e+03 | 2.91e-01 |
|  19   |  152  |  116  | -9.5482e+02 | 1.42e-01 | 4.09e+03 | 2.90e-01 |
|  20   |  160  |  123  | -9.5482e+02 | 1.42e-02 | 4.09e+03 | 2.90e-01 |
|  21   |  168  |  130  | -9.5180e+02 | 8.45e-02 | 7.46e+03 | 2.90e-01 |
|  22   |  176  |  137  | -9.5180e+02 | 8.45e-03 | 7.46e+03 | 2.90e-01 |
|  23   |  184  |  143  | -9.4752e+02 | 5.20e-02 | 1.15e+04 | 2.90e-01 |
|  24   |  192  |  150  | -4.7629e+02 | 3.35e-01 | 5.59e+05 | 2.90e-01 |
|  25   |  200  |  157  | -4.7629e+02 | 3.35e-02 | 5.59e+05 | 2.90e-01 |
|  26   |  208  |  164  | -4.7629e+02 | 3.35e-03 | 5.59e+05 | 2.90e-01 |
|  27   |  216  |  171  | -3.8735e+02 | 2.02e-02 | 6.94e+05 | 2.89e-01 |
|  28   |  224  |  178  | -3.8735e+02 | 2.02e-03 | 6.94e+05 | 2.89e-01 |
|  29   |  232  |  185  | -3.4279e+02 | 1.28e-02 | 7.65e+05 | 2.89e-01 |
|  30   |  240  |  192  | +1.2276e+04 | 8.37e-02 | 5.79e+07 | 2.89e-01 |
|  31   |  248  |  198  | +2.4173e+04 | 5.86e-01 | 1.40e+08 | 2.81e-01 |
|  32   |  256  |  204  | +1.4278e+04 | 3.38e+00 | 3.84e+07 | 1.84e-01 |
|  33   |  264  |  210  | +9.6089e+03 | 5.84e+00 | 7.08e+06 | 6.03e-02 |
|  34   |  272  |  216  | +7.6748e+03 | 5.84e+00 | 1.62e+06 | 3.51e-03 |
|  35   |  280  |  222  | +6.1052e+03 | 6.16e+00 | 2.79e+05 | 0.00e+00 |
|  36   |  288  |  228  | +3.7223e+03 | 6.73e+00 | 5.06e+04 | 0.00e+00 |
|  37   |  296  |  234  | +2.0434e+03 | 7.56e+00 | 3.39e+04 | 0.00e+00 |
|  38   |  304  |  241  | +9.3523e+02 | 7.56e+00 | 2.28e+04 | 0.00e+00 |
|  39   |  312  |  248  | +1.9385e+02 | 7.56e+00 | 1.53e+04 | 0.00e+00 |
