writing to logs/AEJ_data/1/trust-constr/Korea/2021_8_11_13_17
| niter |f evals|CG iter|  obj func   |tr radius |   opt    |  c viol  |
|-------|-------|-------|-------------|----------|----------|----------|
|   1   |   8   |   0   | +1.2812e+02 | 1.00e+00 | 9.19e+05 | 0.00e+00 |
|   2   |  16   |   1   | -5.2742e+02 | 1.00e+00 | 1.79e+02 | 2.28e-01 |
|   3   |  24   |   8   | -5.2746e+02 | 6.49e+00 | 1.51e+02 | 2.28e-01 |
|   4   |  32   |  15   | -5.2750e+02 | 9.10e+00 | 1.28e+02 | 2.28e-01 |
|   5   |  40   |  22   | -5.7284e+02 | 9.10e+00 | 1.14e+02 | 1.71e-01 |
|   6   |  48   |  28   | -6.6664e+02 | 9.10e+00 | 1.05e+02 | 7.12e-02 |
|   7   |  56   |  34   | -7.4829e+02 | 9.10e+00 | 1.04e+02 | 2.15e-02 |
|   8   |  64   |  39   | -8.0122e+02 | 9.10e+00 | 1.04e+02 | 0.00e+00 |
|   9   |  72   |  43   | -8.0125e+02 | 9.10e+00 | 1.04e+02 | 0.00e+00 |
|  10   |  88   |  48   | -8.0125e+02 | 2.11e+00 | 1.04e+02 | 0.00e+00 |
|  11   |  104  |  52   | -8.0125e+02 | 1.05e+00 | 1.04e+02 | 0.00e+00 |
|  12   |  120  |  56   | -8.0125e+02 | 5.27e-01 | 1.04e+02 | 0.00e+00 |
|  13   |  136  |  61   | -8.0125e+02 | 2.64e-01 | 1.04e+02 | 0.00e+00 |
|  14   |  152  |  64   | -8.0125e+02 | 1.32e-01 | 1.04e+02 | 0.00e+00 |
|  15   |  168  |  71   | -8.0125e+02 | 6.59e-02 | 1.04e+02 | 0.00e+00 |
|  16   |  184  |  76   | -8.0125e+02 | 3.30e-02 | 1.04e+02 | 0.00e+00 |
|  17   |  200  |  82   | -8.0125e+02 | 1.65e-02 | 1.04e+02 | 0.00e+00 |
|  18   |  216  |  88   | -8.0125e+02 | 8.24e-03 | 1.04e+02 | 0.00e+00 |
|  19   |  224  |  94   | -8.0138e+02 | 5.77e-02 | 1.04e+02 | 0.00e+00 |
|  20   |  240  |  98   | -8.0138e+02 | 2.88e-02 | 1.04e+02 | 0.00e+00 |
|  21   |  256  |  101  | -8.0138e+02 | 1.44e-02 | 1.04e+02 | 0.00e+00 |
|  22   |  272  |  104  | -8.0138e+02 | 7.21e-03 | 1.04e+02 | 0.00e+00 |
|  23   |  288  |  109  | -8.0138e+02 | 3.61e-03 | 1.04e+02 | 0.00e+00 |
|  24   |  304  |  113  | -8.0138e+02 | 1.80e-03 | 1.04e+02 | 0.00e+00 |
|  25   |  312  |  116  | -8.0140e+02 | 1.80e-03 | 1.04e+02 | 0.00e+00 |
|  26   |  328  |  119  | -8.0140e+02 | 9.01e-04 | 1.04e+02 | 0.00e+00 |
|  27   |  344  |  122  | -8.0140e+02 | 4.51e-04 | 1.04e+02 | 0.00e+00 |
|  28   |  352  |  125  | -8.0143e+02 | 9.01e-04 | 1.04e+02 | 0.00e+00 |
|  29   |  360  |  128  | -8.0143e+02 | 4.51e-04 | 1.04e+02 | 0.00e+00 |
|  30   |  368  |  130  | -8.0143e+02 | 4.51e-04 | 1.03e+02 | 0.00e+00 |
|  31   |  384  |  132  | -8.0143e+02 | 2.25e-04 | 1.03e+02 | 0.00e+00 |
|  32   |  392  |  134  | -8.0146e+02 | 1.58e-03 | 1.03e+02 | 0.00e+00 |
|  33   |  408  |  136  | -8.0146e+02 | 7.89e-04 | 1.03e+02 | 0.00e+00 |
|  34   |  416  |  139  | -8.0146e+02 | 3.01e-04 | 1.03e+02 | 0.00e+00 |
|  35   |  432  |  141  | -8.0146e+02 | 1.02e-04 | 1.03e+02 | 0.00e+00 |
|  36   |  440  |  143  | -8.0148e+02 | 7.14e-04 | 1.03e+02 | 0.00e+00 |
|  37   |  456  |  145  | -8.0148e+02 | 3.57e-04 | 1.03e+02 | 0.00e+00 |
|  38   |  472  |  147  | -8.0148e+02 | 1.17e-04 | 1.03e+02 | 0.00e+00 |
|  39   |  488  |  149  | -8.0148e+02 | 2.13e-05 | 1.03e+02 | 0.00e+00 |
|  40   |  496  |  151  | -8.0149e+02 | 1.49e-04 | 1.03e+02 | 0.00e+00 |
|  41   |  512  |  153  | -8.0149e+02 | 2.99e-05 | 1.03e+02 | 0.00e+00 |
|  42   |  528  |  155  | -8.0149e+02 | 2.99e-06 | 1.03e+02 | 0.00e+00 |
|  43   |  536  |  157  | -8.0149e+02 | 2.09e-05 | 1.03e+02 | 0.00e+00 |
|  44   |  544  |  159  | -8.0149e+02 | 2.09e-06 | 1.03e+02 | 0.00e+00 |
|  45   |  560  |  161  | -8.0149e+02 | 2.09e-07 | 1.03e+02 | 0.00e+00 |
|  46   |  568  |  163  | -8.0149e+02 | 1.46e-06 | 1.03e+02 | 0.00e+00 |
|  47   |  584  |  165  | -8.0149e+02 | 1.46e-07 | 1.03e+02 | 0.00e+00 |
|  48   |  592  |  167  | -8.0149e+02 | 1.03e-06 | 1.03e+02 | 0.00e+00 |
|  49   |  608  |  169  | -8.0149e+02 | 1.03e-07 | 1.03e+02 | 0.00e+00 |
|  50   |  616  |  171  | -8.0149e+02 | 7.18e-07 | 1.03e+02 | 0.00e+00 |
