writing to logs/1/trust-constr/Korea/2021_8_4_19_20
| niter |f evals|CG iter|  obj func   |tr radius |   opt    |  c viol  |
|-------|-------|-------|-------------|----------|----------|----------|
|   1   |   8   |   0   | +5.6027e+11 | 1.00e+00 | 1.14e+12 | 3.10e-04 |
|   2   |  16   |   1   | -8.0162e+02 | 2.00e+00 | 2.50e+04 | 0.00e+00 |
|   3   |  24   |   7   | -8.0163e+02 | 7.75e+00 | 7.45e+03 | 0.00e+00 |
|   4   |  32   |  14   | -9.0258e+02 | 7.75e+00 | 9.74e+02 | 0.00e+00 |
|   5   |  40   |  21   | -9.4416e+02 | 7.75e+00 | 1.61e+02 | 0.00e+00 |
|   6   |  48   |  27   | -9.9682e+02 | 7.75e+00 | 2.81e+01 | 0.00e+00 |
|   7   |  56   |  33   | -9.9075e+02 | 7.75e+00 | 2.85e+01 | 0.00e+00 |
|   8   |  64   |  39   | -9.9922e+02 | 7.75e+00 | 2.73e+01 | 0.00e+00 |
|   9   |  72   |  46   | -1.0103e+03 | 7.75e+00 | 1.95e+01 | 0.00e+00 |
|  10   |  80   |  53   | -1.0103e+03 | 7.75e+00 | 2.03e+01 | 0.00e+00 |
|  11   |  88   |  60   | -1.0103e+03 | 7.75e+00 | 2.00e+01 | 0.00e+00 |
|  12   |  96   |  66   | -1.0103e+03 | 7.75e+00 | 2.00e+01 | 0.00e+00 |
|  13   |  104  |  73   | -1.0103e+03 | 7.75e+00 | 2.12e+01 | 0.00e+00 |
|  14   |  112  |  80   | -1.0103e+03 | 7.75e+00 | 2.06e+01 | 0.00e+00 |
|  15   |  120  |  86   | -1.0103e+03 | 7.75e+00 | 2.05e+01 | 0.00e+00 |
|  16   |  128  |  89   | -1.0103e+03 | 7.75e+00 | 2.05e+01 | 0.00e+00 |
|  17   |  136  |  94   | -1.0103e+03 | 7.75e+00 | 2.05e+01 | 0.00e+00 |
|  18   |  144  |  99   | -1.0103e+03 | 7.75e+00 | 2.05e+01 | 0.00e+00 |
|  19   |  160  |  106  | -1.0103e+03 | 7.75e-01 | 2.05e+01 | 0.00e+00 |
|  20   |  176  |  111  | -1.0103e+03 | 3.88e-01 | 2.05e+01 | 0.00e+00 |
|  21   |  192  |  116  | -1.0103e+03 | 1.94e-01 | 2.05e+01 | 0.00e+00 |
|  22   |  200  |  121  | -1.0103e+03 | 9.69e-02 | 2.05e+01 | 0.00e+00 |
|  23   |  208  |  126  | -1.0103e+03 | 4.84e-02 | 2.05e+01 | 0.00e+00 |
|  24   |  224  |  131  | -1.0103e+03 | 2.42e-02 | 2.05e+01 | 0.00e+00 |
|  25   |  240  |  136  | -1.0103e+03 | 1.21e-02 | 2.05e+01 | 0.00e+00 |
|  26   |  248  |  141  | -1.0103e+03 | 6.05e-03 | 2.05e+01 | 0.00e+00 |
|  27   |  264  |  146  | -1.0103e+03 | 3.03e-03 | 2.05e+01 | 0.00e+00 |
|  28   |  272  |  151  | -1.0104e+03 | 6.05e-03 | 2.04e+01 | 0.00e+00 |
|  29   |  280  |  156  | -1.0106e+03 | 1.21e-02 | 2.02e+01 | 0.00e+00 |
|  30   |  288  |  161  | -1.0108e+03 | 2.42e-02 | 1.99e+01 | 0.00e+00 |
|  31   |  296  |  166  | -1.0109e+03 | 2.42e-02 | 1.92e+01 | 0.00e+00 |
|  32   |  304  |  171  | -1.0113e+03 | 4.84e-02 | 1.87e+01 | 0.00e+00 |
|  33   |  312  |  176  | -1.0123e+03 | 9.69e-02 | 1.90e+01 | 0.00e+00 |
|  34   |  320  |  181  | -1.0135e+03 | 1.94e-01 | 1.96e+01 | 0.00e+00 |
|  35   |  328  |  186  | -1.0164e+03 | 3.88e-01 | 1.97e+01 | 0.00e+00 |
|  36   |  336  |  191  | -1.0176e+03 | 3.88e-01 | 2.84e+01 | 0.00e+00 |
|  37   |  344  |  197  | -1.0176e+03 | 3.88e-01 | 2.92e+01 | 0.00e+00 |
|  38   |  360  |  203  | -1.0176e+03 | 3.88e-02 | 2.92e+01 | 0.00e+00 |
|  39   |  376  |  208  | -1.0176e+03 | 4.26e-03 | 2.92e+01 | 0.00e+00 |
|  40   |  384  |  213  | -1.0176e+03 | 5.32e-04 | 2.92e+01 | 0.00e+00 |
|  41   |  400  |  218  | -1.0176e+03 | 5.32e-05 | 2.92e+01 | 0.00e+00 |
|  42   |  408  |  223  | -1.0176e+03 | 3.73e-04 | 2.92e+01 | 0.00e+00 |
|  43   |  424  |  228  | -1.0176e+03 | 3.73e-05 | 2.92e+01 | 0.00e+00 |
|  44   |  432  |  232  | -1.0176e+03 | 2.61e-04 | 2.92e+01 | 0.00e+00 |
|  45   |  448  |  236  | -1.0176e+03 | 2.94e-05 | 2.92e+01 | 0.00e+00 |
|  46   |  464  |  240  | -1.0176e+03 | 2.94e-06 | 2.92e+01 | 0.00e+00 |
|  47   |  480  |  244  | -1.0176e+03 | 2.94e-07 | 2.92e+01 | 0.00e+00 |
|  48   |  488  |  248  | -1.0176e+03 | 2.06e-06 | 2.92e+01 | 0.00e+00 |
|  49   |  504  |  252  | -1.0176e+03 | 2.06e-07 | 2.92e+01 | 0.00e+00 |
|  50   |  512  |  255  | -1.0176e+03 | 1.44e-06 | 2.92e+01 | 0.00e+00 |
|  51   |  520  |  258  | -1.0176e+03 | 1.44e-07 | 2.92e+01 | 0.00e+00 |
|  52   |  528  |  261  | -1.0176e+03 | 1.01e-06 | 2.92e+01 | 0.00e+00 |
|  53   |  536  |  264  | -1.0176e+03 | 7.06e-06 | 2.92e+01 | 0.00e+00 |
|  54   |  552  |  267  | -1.0176e+03 | 7.06e-07 | 2.92e+01 | 0.00e+00 |
|  55   |  568  |  270  | -1.0176e+03 | 7.06e-08 | 2.92e+01 | 0.00e+00 |
|  56   |  576  |  273  | -1.0176e+03 | 7.06e-09 | 2.92e+01 | 0.00e+00 |
|  57   |  584  |  275  | -1.0176e+03 | 4.94e-08 | 2.92e+01 | 0.00e+00 |
|  58   |  592  |  277  | -1.0176e+03 | 4.94e-09 | 2.92e+01 | 0.00e+00 |
|  59   |  600  |  279  | -1.0176e+03 | 3.46e-08 | 2.92e+01 | 0.00e+00 |
|  60   |  608  |  281  | -1.0176e+03 | 3.46e-09 | 2.92e+01 | 0.00e+00 |
|  61   |  616  |  284  | -1.0176e+03 | 2.42e-08 | 2.92e+01 | 0.00e+00 |
|  62   |  624  |  287  | -1.0176e+03 | 1.69e-07 | 1.04e+06 | 0.00e+00 |
|  63   |  640  |  290  | -1.0176e+03 | 1.78e-08 | 1.04e+06 | 0.00e+00 |
|  64   |  656  |  293  | -1.0176e+03 | 8.90e-09 | 1.04e+06 | 0.00e+00 |
|  65   |  672  |  294  | -1.0176e+03 | 4.45e-09 | 1.04e+06 | 0.00e+00 |
|  66   |  688  |  295  | -1.0176e+03 | 2.23e-09 | 1.04e+06 | 0.00e+00 |
|  67   |  704  |  296  | -1.0176e+03 | 1.11e-09 | 1.04e+06 | 0.00e+00 |
|  68   |  712  |  297  | -1.0176e+03 | 5.57e-10 | 1.04e+06 | 0.00e+00 |
|  69   |  728  |  298  | -1.0176e+03 | 2.78e-10 | 1.04e+06 | 0.00e+00 |
|  70   |  736  |  299  | -1.0176e+03 | 1.39e-10 | 1.04e+06 | 0.00e+00 |
|  71   |  752  |  300  | -1.0176e+03 | 6.96e-11 | 1.04e+06 | 0.00e+00 |
|  72   |  768  |  301  | -1.0176e+03 | 3.48e-11 | 1.04e+06 | 0.00e+00 |
|  73   |  784  |  302  | -1.0176e+03 | 1.74e-11 | 1.04e+06 | 0.00e+00 |
|  74   |  800  |  303  | -1.0176e+03 | 8.70e-12 | 1.04e+06 | 0.00e+00 |
|  75   |  808  |  304  | -1.0176e+03 | 4.35e-12 | 1.04e+06 | 0.00e+00 |
|  76   |  824  |  305  | -1.0176e+03 | 2.17e-12 | 1.04e+06 | 0.00e+00 |
|  77   |  840  |  306  | -1.0176e+03 | 2.17e-12 | 1.04e+06 | 0.00e+00 |
|  78   |  848  |  307  | -1.0176e+03 | 1.09e-12 | 1.04e+06 | 0.00e+00 |
|  79   |  856  |  308  | -1.0176e+03 | 5.43e-13 | 1.04e+06 | 0.00e+00 |
|  80   |  864  |  309  | -1.0176e+03 | 2.72e-13 | 1.04e+06 | 0.00e+00 |
|  81   |  872  |  310  | -1.0176e+03 | 1.36e-13 | 1.04e+06 | 0.00e+00 |
|  82   |  880  |  311  | -1.0176e+03 | 6.79e-14 | 1.04e+06 | 0.00e+00 |
|  83   |  888  |  312  | -1.0176e+03 | 3.40e-14 | 1.04e+06 | 0.00e+00 |
|  84   |  904  |  313  | -1.0176e+03 | 1.70e-14 | 1.04e+06 | 0.00e+00 |
|  85   |  920  |  314  | -1.0176e+03 | 8.49e-15 | 1.04e+06 | 0.00e+00 |
|  86   |  928  |  315  | -1.0176e+03 | 4.25e-15 | 1.04e+06 | 0.00e+00 |
|  87   |  936  |  316  | -1.0176e+03 | 2.12e-15 | 1.04e+06 | 0.00e+00 |
|  88   |  944  |  317  | -1.0176e+03 | 1.06e-15 | 1.04e+06 | 0.00e+00 |
|  89   |  952  |  318  | -1.0176e+03 | 5.31e-16 | 1.04e+06 | 0.00e+00 |
|  90   |  960  |  319  | -1.0176e+03 | 2.65e-16 | 1.04e+06 | 0.00e+00 |
|  91   |  968  |  320  | -1.0176e+03 | 1.33e-16 | 1.04e+06 | 0.00e+00 |
