writing to logs/1/trust-constr/Malaysia/2021_8_4_19_20
| niter |f evals|CG iter|  obj func   |tr radius |   opt    |  c viol  |
|-------|-------|-------|-------------|----------|----------|----------|
|   1   |   8   |   0   | +6.2357e+11 | 1.00e+00 | 1.63e+12 | 2.10e-04 |
|   2   |  16   |   1   | -8.5642e+02 | 2.00e+00 | 3.81e+04 | 0.00e+00 |
|   3   |  24   |   7   | -8.5643e+02 | 8.24e+00 | 1.17e+04 | 0.00e+00 |
|   4   |  32   |  14   | -9.5991e+02 | 8.24e+00 | 1.54e+03 | 0.00e+00 |
|   5   |  40   |  21   | -1.0024e+03 | 8.24e+00 | 2.56e+02 | 0.00e+00 |
|   6   |  48   |  28   | -1.0356e+03 | 8.24e+00 | 5.81e+01 | 0.00e+00 |
|   7   |  56   |  34   | -1.0484e+03 | 8.24e+00 | 5.34e+01 | 0.00e+00 |
|   8   |  64   |  40   | -1.0436e+03 | 8.24e+00 | 5.37e+01 | 0.00e+00 |
|   9   |  72   |  47   | -1.0436e+03 | 8.24e-01 | 5.37e+01 | 0.00e+00 |
|  10   |  80   |  54   | -1.0436e+03 | 8.24e-01 | 5.37e+01 | 0.00e+00 |
|  11   |  88   |  61   | -1.0436e+03 | 8.24e-01 | 5.37e+01 | 0.00e+00 |
|  12   |  96   |  68   | -1.0683e+03 | 4.79e+00 | 4.26e+01 | 0.00e+00 |
|  13   |  112  |  75   | -1.0683e+03 | 4.79e-01 | 4.26e+01 | 0.00e+00 |
|  14   |  120  |  82   | -1.0683e+03 | 4.79e-01 | 4.30e+01 | 0.00e+00 |
|  15   |  128  |  88   | -1.0683e+03 | 4.79e-01 | 4.30e+01 | 0.00e+00 |
|  16   |  136  |  95   | -1.0706e+03 | 4.79e-01 | 4.04e+01 | 0.00e+00 |
|  17   |  144  |  101  | -1.0709e+03 | 4.79e-01 | 4.13e+01 | 0.00e+00 |
|  18   |  152  |  107  | -1.0710e+03 | 4.79e-01 | 4.11e+01 | 0.00e+00 |
|  19   |  160  |  113  | -1.0710e+03 | 4.79e-01 | 4.10e+01 | 0.00e+00 |
|  20   |  168  |  118  | -1.0710e+03 | 4.79e-01 | 4.10e+01 | 0.00e+00 |
|  21   |  176  |  123  | -1.0710e+03 | 4.79e-01 | 4.10e+01 | 0.00e+00 |
|  22   |  184  |  128  | -1.0710e+03 | 4.79e-01 | 4.10e+01 | 0.00e+00 |
|  23   |  192  |  133  | -1.0710e+03 | 4.79e-01 | 4.10e+01 | 0.00e+00 |
|  24   |  208  |  140  | -1.0710e+03 | 4.79e-02 | 4.10e+01 | 0.00e+00 |
|  25   |  224  |  145  | -1.0710e+03 | 1.55e-02 | 4.10e+01 | 0.00e+00 |
|  26   |  232  |  150  | -1.0710e+03 | 5.60e-03 | 4.10e+01 | 0.00e+00 |
|  27   |  248  |  155  | -1.0710e+03 | 2.41e-03 | 4.10e+01 | 0.00e+00 |
|  28   |  256  |  160  | -1.0710e+03 | 1.21e-03 | 4.10e+01 | 0.00e+00 |
|  29   |  264  |  165  | -1.0710e+03 | 6.03e-04 | 4.10e+01 | 0.00e+00 |
|  30   |  272  |  170  | -1.0710e+03 | 3.02e-04 | 4.10e+01 | 0.00e+00 |
|  31   |  288  |  175  | -1.0710e+03 | 1.06e-04 | 4.10e+01 | 0.00e+00 |
|  32   |  296  |  180  | -1.0710e+03 | 7.39e-04 | 4.10e+01 | 0.00e+00 |
|  33   |  304  |  185  | -1.0710e+03 | 3.69e-04 | 4.10e+01 | 0.00e+00 |
|  34   |  320  |  190  | -1.0710e+03 | 1.58e-04 | 4.10e+01 | 0.00e+00 |
|  35   |  336  |  195  | -1.0710e+03 | 2.90e-05 | 4.10e+01 | 0.00e+00 |
|  36   |  344  |  200  | -1.0710e+03 | 2.03e-04 | 4.10e+01 | 0.00e+00 |
|  37   |  360  |  205  | -1.0710e+03 | 2.03e-05 | 4.10e+01 | 0.00e+00 |
|  38   |  368  |  210  | -1.0710e+03 | 1.42e-04 | 4.10e+01 | 0.00e+00 |
|  39   |  376  |  215  | -1.0710e+03 | 9.95e-04 | 4.10e+01 | 0.00e+00 |
|  40   |  384  |  220  | -1.0710e+03 | 6.97e-03 | 4.10e+01 | 0.00e+00 |
|  41   |  392  |  225  | -1.0712e+03 | 4.88e-02 | 4.08e+01 | 0.00e+00 |
|  42   |  400  |  230  | -1.0749e+03 | 3.41e-01 | 3.91e+01 | 0.00e+00 |
|  43   |  408  |  237  | -1.0891e+03 | 1.47e+00 | 2.94e+01 | 0.00e+00 |
|  44   |  424  |  244  | -1.0891e+03 | 1.47e-01 | 2.94e+01 | 0.00e+00 |
|  45   |  432  |  250  | -1.0891e+03 | 1.47e-02 | 2.94e+01 | 0.00e+00 |
|  46   |  448  |  256  | -1.0891e+03 | 1.53e-03 | 2.94e+01 | 0.00e+00 |
|  47   |  464  |  261  | -1.0891e+03 | 7.63e-04 | 2.94e+01 | 0.00e+00 |
|  48   |  480  |  266  | -1.0891e+03 | 2.32e-04 | 2.94e+01 | 0.00e+00 |
|  49   |  488  |  271  | -1.0891e+03 | 1.62e-03 | 2.94e+01 | 0.00e+00 |
|  50   |  504  |  276  | -1.0891e+03 | 8.12e-04 | 2.94e+01 | 0.00e+00 |
|  51   |  512  |  281  | -1.0891e+03 | 2.49e-04 | 2.94e+01 | 0.00e+00 |
|  52   |  528  |  286  | -1.0891e+03 | 3.48e-05 | 2.94e+01 | 0.00e+00 |
|  53   |  536  |  291  | -1.0891e+03 | 2.44e-04 | 2.94e+01 | 0.00e+00 |
|  54   |  544  |  296  | -1.0891e+03 | 2.44e-05 | 2.94e+01 | 0.00e+00 |
|  55   |  552  |  301  | -1.0891e+03 | 1.70e-04 | 2.94e+01 | 0.00e+00 |
|  56   |  568  |  306  | -1.0891e+03 | 3.33e-05 | 2.94e+01 | 0.00e+00 |
|  57   |  576  |  311  | -1.0891e+03 | 2.33e-04 | 2.94e+01 | 0.00e+00 |
|  58   |  584  |  316  | -1.0891e+03 | 2.33e-05 | 2.94e+01 | 0.00e+00 |
|  59   |  592  |  321  | -1.0891e+03 | 1.63e-04 | 2.94e+01 | 0.00e+00 |
|  60   |  608  |  326  | -1.0891e+03 | 1.63e-05 | 2.94e+01 | 0.00e+00 |
|  61   |  616  |  331  | -1.0891e+03 | 1.14e-04 | 2.94e+01 | 0.00e+00 |
|  62   |  624  |  336  | -1.0891e+03 | 8.01e-04 | 2.94e+01 | 0.00e+00 |
|  63   |  632  |  341  | -1.0891e+03 | 4.00e-04 | 2.94e+01 | 0.00e+00 |
