writing to logs/AEJ_data/1/trust-constr/SAfrica/2021_8_11_13_17
| niter |f evals|CG iter|  obj func   |tr radius |   opt    |  c viol  |
|-------|-------|-------|-------------|----------|----------|----------|
|   1   |   8   |   0   | -8.4284e+02 | 1.00e+00 | 2.20e+05 | 0.00e+00 |
|   2   |  16   |   1   | -8.4284e+02 | 5.00e-01 | 2.20e+05 | 0.00e+00 |
|   3   |  24   |   2   | -8.4284e+02 | 2.50e-01 | 2.20e+05 | 0.00e+00 |
|   4   |  32   |   3   | -8.4284e+02 | 1.25e-01 | 2.20e+05 | 0.00e+00 |
|   5   |  40   |   4   | -8.6457e+02 | 1.25e-01 | 1.70e+03 | 0.00e+00 |
|   6   |  48   |   9   | -8.8084e+02 | 7.02e-01 | 2.00e+03 | 0.00e+00 |
|   7   |  56   |  14   | -9.0225e+02 | 3.95e+00 | 2.00e+03 | 0.00e+00 |
|   8   |  64   |  21   | -9.3059e+02 | 7.80e+00 | 8.71e+02 | 0.00e+00 |
|   9   |  72   |  28   | -9.7747e+02 | 7.80e+00 | 3.30e+02 | 0.00e+00 |
|  10   |  80   |  34   | -9.7747e+02 | 7.80e-01 | 3.30e+02 | 0.00e+00 |
|  11   |  88   |  35   | -8.9787e+02 | 4.40e+00 | 9.01e+01 | 0.00e+00 |
|  12   |  96   |  36   | -8.7766e+02 | 6.73e+00 | 8.90e+01 | 0.00e+00 |
|  13   |  104  |  37   | -8.7058e+02 | 6.95e+00 | 8.78e+01 | 0.00e+00 |
|  14   |  112  |  38   | -8.6797e+02 | 6.95e+00 | 8.73e+01 | 0.00e+00 |
|  15   |  120  |  45   | -8.6813e+02 | 6.95e+00 | 8.72e+01 | 0.00e+00 |
|  16   |  128  |  52   | -8.6845e+02 | 6.95e+00 | 8.71e+01 | 0.00e+00 |
|  17   |  136  |  59   | -8.6876e+02 | 6.95e+00 | 8.72e+01 | 0.00e+00 |
|  18   |  144  |  66   | -8.6899e+02 | 6.95e+00 | 8.71e+01 | 0.00e+00 |
|  19   |  152  |  73   | -8.6926e+02 | 6.95e+00 | 8.71e+01 | 0.00e+00 |
|  20   |  160  |  80   | -8.6964e+02 | 6.95e+00 | 8.71e+01 | 0.00e+00 |
|  21   |  168  |  87   | -8.6999e+02 | 6.95e+00 | 8.70e+01 | 0.00e+00 |
|  22   |  176  |  94   | -8.7032e+02 | 6.95e+00 | 8.70e+01 | 0.00e+00 |
|  23   |  184  |  101  | -8.7074e+02 | 6.95e+00 | 8.70e+01 | 0.00e+00 |
|  24   |  192  |  108  | -8.7110e+02 | 6.95e+00 | 8.71e+01 | 0.00e+00 |
|  25   |  200  |  115  | -8.7141e+02 | 6.95e+00 | 8.71e+01 | 0.00e+00 |
|  26   |  208  |  122  | -8.7178e+02 | 6.95e+00 | 8.71e+01 | 0.00e+00 |
|  27   |  216  |  129  | -8.7207e+02 | 6.95e+00 | 8.71e+01 | 0.00e+00 |
|  28   |  224  |  136  | -8.7244e+02 | 6.95e+00 | 8.70e+01 | 0.00e+00 |
|  29   |  232  |  143  | -8.7278e+02 | 6.95e+00 | 8.70e+01 | 0.00e+00 |
|  30   |  240  |  150  | -8.7309e+02 | 6.95e+00 | 8.70e+01 | 0.00e+00 |
|  31   |  248  |  157  | -8.7335e+02 | 6.95e+00 | 8.69e+01 | 0.00e+00 |
|  32   |  256  |  164  | -8.7370e+02 | 6.95e+00 | 8.69e+01 | 0.00e+00 |
|  33   |  264  |  171  | -8.7397e+02 | 6.95e+00 | 8.68e+01 | 0.00e+00 |
|  34   |  272  |  178  | -8.7433e+02 | 6.95e+00 | 8.68e+01 | 0.00e+00 |
|  35   |  280  |  185  | -8.7456e+02 | 6.95e+00 | 8.67e+01 | 0.00e+00 |
|  36   |  288  |  192  | -8.7471e+02 | 6.95e+00 | 8.66e+01 | 0.00e+00 |
|  37   |  296  |  199  | -8.7513e+02 | 6.95e+00 | 8.66e+01 | 0.00e+00 |
|  38   |  304  |  206  | -8.7534e+02 | 6.95e+00 | 8.65e+01 | 0.00e+00 |
|  39   |  312  |  213  | -8.7567e+02 | 6.95e+00 | 8.64e+01 | 0.00e+00 |
|  40   |  320  |  220  | -8.7613e+02 | 6.95e+00 | 8.65e+01 | 0.00e+00 |
|  41   |  328  |  227  | -8.7647e+02 | 6.95e+00 | 8.64e+01 | 0.00e+00 |
|  42   |  336  |  234  | -8.7688e+02 | 6.95e+00 | 8.64e+01 | 0.00e+00 |
|  43   |  344  |  241  | -8.7719e+02 | 6.95e+00 | 8.64e+01 | 0.00e+00 |
|  44   |  352  |  248  | -8.7752e+02 | 6.95e+00 | 8.64e+01 | 0.00e+00 |
|  45   |  360  |  255  | -8.7793e+02 | 6.95e+00 | 8.63e+01 | 0.00e+00 |
|  46   |  368  |  262  | -8.7838e+02 | 6.95e+00 | 8.63e+01 | 0.00e+00 |
|  47   |  376  |  269  | -8.7877e+02 | 6.95e+00 | 8.63e+01 | 0.00e+00 |
|  48   |  384  |  276  | -8.7917e+02 | 6.95e+00 | 8.62e+01 | 0.00e+00 |
|  49   |  392  |  283  | -8.7959e+02 | 6.95e+00 | 8.62e+01 | 0.00e+00 |
|  50   |  400  |  290  | -8.7992e+02 | 6.95e+00 | 8.62e+01 | 0.00e+00 |
|  51   |  408  |  297  | -8.8035e+02 | 6.95e+00 | 8.62e+01 | 0.00e+00 |
|  52   |  416  |  304  | -8.8075e+02 | 6.95e+00 | 8.62e+01 | 0.00e+00 |
|  53   |  424  |  311  | -8.8103e+02 | 6.95e+00 | 8.61e+01 | 0.00e+00 |
|  54   |  432  |  318  | -8.8138e+02 | 6.95e+00 | 8.61e+01 | 0.00e+00 |
|  55   |  440  |  325  | -8.8170e+02 | 6.95e+00 | 8.60e+01 | 0.00e+00 |
|  56   |  448  |  332  | -8.8208e+02 | 6.95e+00 | 8.59e+01 | 0.00e+00 |
|  57   |  456  |  339  | -8.8246e+02 | 6.95e+00 | 8.59e+01 | 0.00e+00 |
|  58   |  464  |  346  | -8.8285e+02 | 6.95e+00 | 8.58e+01 | 0.00e+00 |
|  59   |  472  |  353  | -8.8325e+02 | 6.95e+00 | 8.58e+01 | 0.00e+00 |
|  60   |  480  |  360  | -8.8364e+02 | 6.95e+00 | 8.58e+01 | 0.00e+00 |
|  61   |  488  |  367  | -8.8401e+02 | 6.95e+00 | 8.57e+01 | 0.00e+00 |
|  62   |  496  |  374  | -8.8436e+02 | 6.95e+00 | 8.56e+01 | 0.00e+00 |
|  63   |  504  |  381  | -8.8473e+02 | 6.95e+00 | 8.56e+01 | 0.00e+00 |
|  64   |  512  |  388  | -8.8523e+02 | 6.95e+00 | 8.56e+01 | 0.00e+00 |
|  65   |  520  |  395  | -8.8573e+02 | 6.95e+00 | 8.56e+01 | 0.00e+00 |
|  66   |  528  |  402  | -8.8617e+02 | 6.95e+00 | 8.56e+01 | 0.00e+00 |
|  67   |  536  |  409  | -8.8661e+02 | 6.95e+00 | 8.56e+01 | 0.00e+00 |
|  68   |  544  |  416  | -8.8704e+02 | 6.95e+00 | 8.55e+01 | 0.00e+00 |
|  69   |  552  |  423  | -8.8746e+02 | 6.95e+00 | 8.54e+01 | 0.00e+00 |
|  70   |  560  |  430  | -8.8794e+02 | 6.95e+00 | 8.54e+01 | 0.00e+00 |
|  71   |  568  |  437  | -8.8828e+02 | 6.95e+00 | 8.54e+01 | 0.00e+00 |
|  72   |  576  |  444  | -8.8862e+02 | 6.95e+00 | 8.52e+01 | 0.00e+00 |
|  73   |  584  |  451  | -8.8911e+02 | 6.95e+00 | 8.52e+01 | 0.00e+00 |
