writing to logs/1/trust-constr/SAfrica/2021_8_4_19_20
| niter |f evals|CG iter|  obj func   |tr radius |   opt    |  c viol  |
|-------|-------|-------|-------------|----------|----------|----------|
|   1   |   8   |   0   | +5.5572e+05 | 1.00e+00 | 1.82e+09 | 0.00e+00 |
|   2   |  16   |   1   | -7.6452e+02 | 1.00e+00 | 2.24e+03 | 3.01e-01 |
|   3   |  24   |   8   | -7.6453e+02 | 6.60e+00 | 1.10e+03 | 3.01e-01 |
|   4   |  32   |  15   | -7.6453e+02 | 6.60e-01 | 1.10e+03 | 3.01e-01 |
|   5   |  40   |  22   | -7.6453e+02 | 6.60e-02 | 1.10e+03 | 3.01e-01 |
|   6   |  48   |  29   | -7.6392e+02 | 3.73e-01 | 1.09e+03 | 3.01e-01 |
|   7   |  56   |  36   | -7.6392e+02 | 3.73e-02 | 1.09e+03 | 3.01e-01 |
|   8   |  64   |  43   | -7.6401e+02 | 2.15e-01 | 1.09e+03 | 3.01e-01 |
|   9   |  72   |  50   | -7.8163e+02 | 1.26e+00 | 7.46e+03 | 2.91e-01 |
|  10   |  80   |  57   | -7.8163e+02 | 1.26e-01 | 7.46e+03 | 2.91e-01 |
|  11   |  88   |  64   | -7.8163e+02 | 1.26e-02 | 7.46e+03 | 2.91e-01 |
|  12   |  96   |  71   | -7.8155e+02 | 7.17e-02 | 7.47e+03 | 2.91e-01 |
|  13   |  104  |  78   | -7.8155e+02 | 7.17e-03 | 7.47e+03 | 2.91e-01 |
|  14   |  112  |  85   | -7.8130e+02 | 4.15e-02 | 7.52e+03 | 2.91e-01 |
|  15   |  120  |  92   | -7.7511e+02 | 2.46e-01 | 8.93e+03 | 2.91e-01 |
|  16   |  128  |  99   | -7.7511e+02 | 2.46e-02 | 8.93e+03 | 2.91e-01 |
|  17   |  136  |  106  | -5.4281e+02 | 1.46e-01 | 7.63e+04 | 2.89e-01 |
|  18   |  144  |  113  | -5.4281e+02 | 1.46e-02 | 7.63e+04 | 2.89e-01 |
|  19   |  152  |  120  | -6.8042e+02 | 9.12e-02 | 3.32e+04 | 2.89e-01 |
|  20   |  160  |  127  | -6.8042e+02 | 9.12e-03 | 3.32e+04 | 2.89e-01 |
|  21   |  168  |  134  | -7.0913e+02 | 5.77e-02 | 2.53e+04 | 2.88e-01 |
|  22   |  176  |  141  | -5.8409e+02 | 3.76e-01 | 6.11e+04 | 2.87e-01 |
|  23   |  184  |  148  | -5.8409e+02 | 3.76e-02 | 6.11e+04 | 2.87e-01 |
|  24   |  192  |  155  | +2.2881e+03 | 2.24e-01 | 1.89e+06 | 2.82e-01 |
