writing to logs/AEJ_data/1/trust-constr/Thailand/2021_8_11_13_17
| niter |f evals|CG iter|  obj func   |tr radius |   opt    |  c viol  |
|-------|-------|-------|-------------|----------|----------|----------|
|   1   |   8   |   0   | -5.2977e+02 | 1.00e+00 | 3.80e+05 | 0.00e+00 |
|   2   |  16   |   1   | -5.4285e+02 | 1.00e+00 | 1.78e+02 | 2.36e-01 |
|   3   |  24   |   8   | -5.4288e+02 | 6.48e+00 | 1.50e+02 | 2.36e-01 |
|   4   |  32   |  15   | -5.4288e+02 | 6.48e-01 | 1.50e+02 | 2.36e-01 |
|   5   |  40   |  21   | -5.7566e+02 | 4.54e+00 | 1.32e+02 | 1.98e-01 |
|   6   |  48   |  28   | -6.0687e+02 | 8.69e+00 | 1.14e+02 | 1.67e-01 |
|   7   |  56   |  33   | -7.0704e+02 | 8.69e+00 | 1.02e+02 | 8.69e-02 |
|   8   |  64   |  37   | -7.9189e+02 | 8.69e+00 | 9.51e+01 | 4.04e-02 |
|   9   |  72   |  41   | -8.4735e+02 | 8.69e+00 | 9.26e+01 | 1.14e-02 |
|  10   |  80   |  45   | -8.6786e+02 | 8.69e+00 | 9.18e+01 | 0.00e+00 |
|  11   |  88   |  52   | -8.7255e+02 | 8.69e+00 | 9.17e+01 | 0.00e+00 |
|  12   |  96   |  59   | -8.7769e+02 | 8.69e+00 | 9.15e+01 | 0.00e+00 |
|  13   |  104  |  66   | -8.8341e+02 | 8.69e+00 | 9.13e+01 | 0.00e+00 |
|  14   |  112  |  73   | -8.9004e+02 | 8.69e+00 | 9.10e+01 | 0.00e+00 |
|  15   |  120  |  80   | -8.9751e+02 | 8.69e+00 | 9.06e+01 | 0.00e+00 |
|  16   |  128  |  87   | -9.0632e+02 | 8.69e+00 | 9.01e+01 | 0.00e+00 |
|  17   |  136  |  94   | -9.1690e+02 | 8.69e+00 | 8.93e+01 | 0.00e+00 |
|  18   |  144  |  101  | -9.2990e+02 | 8.69e+00 | 8.79e+01 | 0.00e+00 |
|  19   |  152  |  108  | -9.4606e+02 | 8.69e+00 | 8.53e+01 | 0.00e+00 |
|  20   |  160  |  115  | -9.6632e+02 | 8.69e+00 | 7.93e+01 | 0.00e+00 |
|  21   |  168  |  122  | -9.8691e+02 | 8.69e+00 | 6.09e+01 | 0.00e+00 |
|  22   |  184  |  129  | -9.8691e+02 | 8.69e-01 | 6.09e+01 | 0.00e+00 |
|  23   |  192  |  136  | -9.8764e+02 | 8.69e-01 | 5.92e+01 | 0.00e+00 |
|  24   |  200  |  143  | -9.8822e+02 | 8.69e-01 | 5.76e+01 | 0.00e+00 |
|  25   |  208  |  150  | -9.8973e+02 | 8.69e-01 | 4.28e+01 | 0.00e+00 |
|  26   |  216  |  157  | -9.9008e+02 | 8.69e-01 | 4.73e+01 | 0.00e+00 |
|  27   |  224  |  164  | -9.9014e+02 | 8.69e-01 | 4.51e+01 | 0.00e+00 |
|  28   |  232  |  171  | -9.9014e+02 | 8.69e-02 | 4.51e+01 | 0.00e+00 |
|  29   |  240  |  178  | -9.9014e+02 | 8.69e-03 | 4.51e+01 | 0.00e+00 |
|  30   |  256  |  185  | -9.9014e+02 | 1.53e-03 | 4.51e+01 | 0.00e+00 |
|  31   |  272  |  192  | -9.9014e+02 | 1.53e-04 | 4.51e+01 | 0.00e+00 |
|  32   |  288  |  195  | -9.9014e+02 | 1.53e-05 | 4.51e+01 | 0.00e+00 |
|  33   |  304  |  197  | -9.9014e+02 | 1.53e-06 | 4.51e+01 | 0.00e+00 |
|  34   |  320  |  199  | -9.9014e+02 | 1.53e-07 | 4.51e+01 | 0.00e+00 |
|  35   |  328  |  201  | -9.9014e+02 | 1.07e-06 | 4.51e+01 | 0.00e+00 |
|  36   |  336  |  203  | -9.9014e+02 | 7.52e-06 | 4.51e+01 | 0.00e+00 |
|  37   |  352  |  205  | -9.9014e+02 | 7.52e-07 | 4.51e+01 | 0.00e+00 |
|  38   |  368  |  207  | -9.9014e+02 | 7.52e-08 | 4.51e+01 | 0.00e+00 |
|  39   |  376  |  209  | -9.9014e+02 | 5.26e-07 | 4.51e+01 | 0.00e+00 |
|  40   |  392  |  211  | -9.9014e+02 | 5.26e-08 | 4.51e+01 | 0.00e+00 |
|  41   |  400  |  213  | -9.9014e+02 | 3.68e-07 | 4.51e+01 | 0.00e+00 |
|  42   |  416  |  215  | -9.9014e+02 | 3.68e-08 | 4.51e+01 | 0.00e+00 |
|  43   |  424  |  217  | -9.9014e+02 | 2.58e-07 | 2.32e+06 | 0.00e+00 |
|  44   |  432  |  219  | -9.9014e+02 | 1.29e-07 | 2.32e+06 | 0.00e+00 |
|  45   |  448  |  221  | -9.9014e+02 | 6.45e-08 | 2.32e+06 | 0.00e+00 |
|  46   |  456  |  222  | -9.9014e+02 | 3.22e-08 | 2.32e+06 | 0.00e+00 |
|  47   |  472  |  223  | -9.9014e+02 | 1.61e-08 | 2.32e+06 | 0.00e+00 |
|  48   |  480  |  224  | -9.9014e+02 | 8.06e-09 | 2.32e+06 | 0.00e+00 |
|  49   |  488  |  225  | -9.9014e+02 | 4.03e-09 | 2.32e+06 | 0.00e+00 |
|  50   |  504  |  226  | -9.9014e+02 | 2.01e-09 | 2.32e+06 | 0.00e+00 |
|  51   |  520  |  227  | -9.9014e+02 | 1.01e-09 | 2.32e+06 | 0.00e+00 |
|  52   |  536  |  228  | -9.9014e+02 | 5.04e-10 | 2.32e+06 | 0.00e+00 |
|  53   |  552  |  229  | -9.9014e+02 | 2.52e-10 | 2.32e+06 | 0.00e+00 |
|  54   |  568  |  230  | -9.9014e+02 | 1.26e-10 | 2.32e+06 | 0.00e+00 |
|  55   |  584  |  231  | -9.9014e+02 | 6.29e-11 | 2.32e+06 | 0.00e+00 |
|  56   |  600  |  232  | -9.9014e+02 | 3.15e-11 | 2.32e+06 | 0.00e+00 |
|  57   |  616  |  233  | -9.9014e+02 | 1.57e-11 | 2.32e+06 | 0.00e+00 |
|  58   |  632  |  234  | -9.9014e+02 | 7.87e-12 | 2.32e+06 | 0.00e+00 |
|  59   |  648  |  235  | -9.9014e+02 | 3.93e-12 | 2.32e+06 | 0.00e+00 |
|  60   |  664  |  236  | -9.9014e+02 | 1.97e-12 | 2.32e+06 | 0.00e+00 |
|  61   |  680  |  237  | -9.9014e+02 | 9.84e-13 | 2.32e+06 | 0.00e+00 |
|  62   |  688  |  237  | -9.9014e+02 | 1.00e+00 | 2.32e+06 | 0.00e+00 |
|  63   |  704  |  242  | -9.9014e+02 | 5.00e-01 | 2.32e+06 | 0.00e+00 |
|  64   |  720  |  247  | -9.9014e+02 | 2.50e-01 | 2.32e+06 | 0.00e+00 |
|  65   |  736  |  252  | -9.9014e+02 | 1.25e-01 | 2.32e+06 | 0.00e+00 |
|  66   |  744  |  254  | -9.9520e+02 | 1.25e-01 | 5.36e+01 | 0.00e+00 |
|  67   |  752  |  258  | -9.9520e+02 | 5.03e-02 | 5.36e+01 | 0.00e+00 |
|  68   |  760  |  261  | -9.9520e+02 | 2.36e-02 | 5.36e+01 | 0.00e+00 |
|  69   |  776  |  264  | -9.9520e+02 | 1.18e-02 | 5.36e+01 | 0.00e+00 |
|  70   |  792  |  267  | -9.9520e+02 | 5.90e-03 | 5.36e+01 | 0.00e+00 |
|  71   |  800  |  270  | -9.9534e+02 | 1.18e-02 | 5.35e+01 | 0.00e+00 |
|  72   |  808  |  273  | -9.9564e+02 | 2.36e-02 | 5.33e+01 | 0.00e+00 |
|  73   |  816  |  276  | -9.9596e+02 | 2.36e-02 | 5.29e+01 | 0.00e+00 |
|  74   |  824  |  279  | -9.9618e+02 | 2.36e-02 | 5.25e+01 | 0.00e+00 |
|  75   |  832  |  282  | -9.9661e+02 | 4.72e-02 | 5.21e+01 | 0.00e+00 |
|  76   |  840  |  285  | -9.9744e+02 | 9.45e-02 | 5.14e+01 | 0.00e+00 |
|  77   |  848  |  288  | -9.9854e+02 | 9.45e-02 | 4.99e+01 | 0.00e+00 |
|  78   |  856  |  291  | -9.9953e+02 | 9.45e-02 | 4.85e+01 | 0.00e+00 |
|  79   |  864  |  294  | -1.0003e+03 | 9.45e-02 | 4.71e+01 | 0.00e+00 |
|  80   |  872  |  297  | -1.0005e+03 | 9.45e-02 | 5.01e+01 | 0.00e+00 |
|  81   |  888  |  300  | -1.0005e+03 | 4.72e-02 | 5.01e+01 | 0.00e+00 |
|  82   |  904  |  303  | -1.0005e+03 | 2.36e-02 | 5.01e+01 | 0.00e+00 |
|  83   |  920  |  306  | -1.0005e+03 | 1.18e-02 | 5.01e+01 | 0.00e+00 |
|  84   |  936  |  309  | -1.0005e+03 | 5.90e-03 | 5.01e+01 | 0.00e+00 |
|  85   |  952  |  312  | -1.0005e+03 | 2.95e-03 | 5.01e+01 | 0.00e+00 |
|  86   |  968  |  315  | -1.0005e+03 | 1.48e-03 | 5.01e+01 | 0.00e+00 |
|  87   |  976  |  318  | -1.0005e+03 | 1.48e-03 | 5.01e+01 | 0.00e+00 |
|  88   |  984  |  321  | -1.0005e+03 | 5.73e-04 | 5.01e+01 | 0.00e+00 |
|  89   | 1000  |  324  | -1.0005e+03 | 2.60e-04 | 5.01e+01 | 0.00e+00 |
|  90   | 1016  |  327  | -1.0005e+03 | 8.62e-05 | 5.01e+01 | 0.00e+00 |
|  91   | 1032  |  330  | -1.0005e+03 | 1.79e-05 | 5.01e+01 | 0.00e+00 |
|  92   | 1040  |  332  | -1.0005e+03 | 1.26e-04 | 5.01e+01 | 0.00e+00 |
|  93   | 1056  |  334  | -1.0005e+03 | 4.27e-05 | 5.01e+01 | 0.00e+00 |
|  94   | 1072  |  336  | -1.0005e+03 | 4.93e-06 | 5.01e+01 | 0.00e+00 |
|  95   | 1080  |  338  | -1.0005e+03 | 3.45e-05 | 5.01e+01 | 0.00e+00 |
|  96   | 1096  |  340  | -1.0005e+03 | 3.45e-06 | 5.01e+01 | 0.00e+00 |
|  97   | 1104  |  342  | -1.0005e+03 | 2.41e-05 | 5.01e+01 | 0.00e+00 |
|  98   | 1112  |  344  | -1.0005e+03 | 1.69e-04 | 5.01e+01 | 0.00e+00 |
|  99   | 1128  |  346  | -1.0005e+03 | 3.90e-05 | 5.01e+01 | 0.00e+00 |
|  100  | 1144  |  348  | -1.0005e+03 | 4.11e-06 | 5.01e+01 | 0.00e+00 |
|  101  | 1152  |  350  | -1.0005e+03 | 2.88e-05 | 5.01e+01 | 0.00e+00 |
|  102  | 1168  |  352  | -1.0005e+03 | 2.88e-06 | 5.01e+01 | 0.00e+00 |
|  103  | 1176  |  354  | -1.0005e+03 | 2.88e-07 | 5.01e+01 | 0.00e+00 |
|  104  | 1184  |  356  | -1.0005e+03 | 2.01e-06 | 5.01e+01 | 0.00e+00 |
|  105  | 1192  |  358  | -1.0005e+03 | 1.41e-05 | 5.01e+01 | 0.00e+00 |
|  106  | 1208  |  360  | -1.0005e+03 | 1.41e-06 | 5.01e+01 | 0.00e+00 |
|  107  | 1224  |  362  | -1.0005e+03 | 1.41e-07 | 5.01e+01 | 0.00e+00 |
|  108  | 1232  |  364  | -1.0005e+03 | 9.86e-07 | 5.01e+01 | 0.00e+00 |
|  109  | 1248  |  366  | -1.0005e+03 | 9.86e-08 | 5.01e+01 | 0.00e+00 |
|  110  | 1256  |  368  | -1.0005e+03 | 6.90e-07 | 6.80e+05 | 0.00e+00 |
|  111  | 1264  |  370  | -1.0005e+03 | 3.45e-07 | 6.80e+05 | 0.00e+00 |
|  112  | 1280  |  371  | -1.0005e+03 | 1.73e-07 | 6.80e+05 | 0.00e+00 |
|  113  | 1296  |  372  | -1.0005e+03 | 8.63e-08 | 6.80e+05 | 0.00e+00 |
|  114  | 1312  |  373  | -1.0005e+03 | 4.32e-08 | 6.80e+05 | 0.00e+00 |
|  115  | 1320  |  374  | -1.0005e+03 | 2.16e-08 | 6.80e+05 | 0.00e+00 |
|  116  | 1336  |  375  | -1.0005e+03 | 1.08e-08 | 6.80e+05 | 0.00e+00 |
|  117  | 1352  |  376  | -1.0005e+03 | 5.39e-09 | 6.80e+05 | 0.00e+00 |
|  118  | 1368  |  377  | -1.0005e+03 | 2.70e-09 | 6.80e+05 | 0.00e+00 |
|  119  | 1384  |  378  | -1.0005e+03 | 1.35e-09 | 6.80e+05 | 0.00e+00 |
|  120  | 1400  |  379  | -1.0005e+03 | 6.74e-10 | 6.80e+05 | 0.00e+00 |
|  121  | 1416  |  380  | -1.0005e+03 | 3.37e-10 | 6.80e+05 | 0.00e+00 |
|  122  | 1432  |  381  | -1.0005e+03 | 1.69e-10 | 6.80e+05 | 0.00e+00 |
|  123  | 1448  |  382  | -1.0005e+03 | 8.43e-11 | 6.80e+05 | 0.00e+00 |
|  124  | 1464  |  383  | -1.0005e+03 | 4.21e-11 | 6.80e+05 | 0.00e+00 |
|  125  | 1480  |  384  | -1.0005e+03 | 2.11e-11 | 6.80e+05 | 0.00e+00 |
|  126  | 1496  |  385  | -1.0005e+03 | 1.05e-11 | 6.80e+05 | 0.00e+00 |
|  127  | 1512  |  386  | -1.0005e+03 | 5.27e-12 | 6.80e+05 | 0.00e+00 |
|  128  | 1528  |  387  | -1.0005e+03 | 2.63e-12 | 6.80e+05 | 0.00e+00 |
|  129  | 1544  |  388  | -1.0005e+03 | 1.32e-12 | 6.80e+05 | 0.00e+00 |
|  130  | 1560  |  389  | -1.0005e+03 | 6.58e-13 | 6.80e+05 | 0.00e+00 |
|  131  | 1568  |  389  | -1.0005e+03 | 1.00e+00 | 6.80e+05 | 0.00e+00 |
|  132  | 1584  |  392  | -1.0005e+03 | 1.49e-01 | 6.80e+05 | 0.00e+00 |
|  133  | 1592  |  397  | -1.0087e+03 | 1.49e-01 | 4.13e+01 | 0.00e+00 |
