writing to logs/2/trust-constr/Bulgaria/2021_8_4_19_24
| niter |f evals|CG iter|  obj func   |tr radius |   opt    |  c viol  |
|-------|-------|-------|-------------|----------|----------|----------|
|   1   |   8   |   0   | +1.6885e+05 | 1.00e+00 | 1.56e+08 | 0.00e+00 |
|   2   |  16   |   1   | -7.4647e+02 | 1.00e+00 | 1.69e+03 | 3.01e-01 |
|   3   |  24   |   8   | -7.4651e+02 | 6.57e+00 | 8.50e+02 | 3.01e-01 |
|   4   |  32   |  15   | -7.4651e+02 | 6.57e-01 | 8.50e+02 | 3.01e-01 |
|   5   |  40   |  22   | -7.4651e+02 | 6.57e-02 | 8.50e+02 | 3.01e-01 |
|   6   |  48   |  29   | -7.4666e+02 | 3.73e-01 | 8.48e+02 | 3.01e-01 |
|   7   |  56   |  36   | -7.4666e+02 | 3.73e-02 | 8.48e+02 | 3.01e-01 |
|   8   |  64   |  38   | -7.4522e+02 | 2.15e-01 | 8.33e+02 | 3.01e-01 |
|   9   |  72   |  42   | -7.4158e+02 | 1.26e+00 | 7.09e+02 | 2.87e-01 |
|  10   |  80   |  46   | -8.1516e+02 | 6.29e+00 | 2.60e+02 | 1.05e-01 |
|  11   |  88   |  50   | -8.3237e+02 | 6.29e+00 | 8.84e+01 | 1.97e-02 |
|  12   |  96   |  54   | -8.7224e+02 | 6.29e+00 | 8.70e+01 | 0.00e+00 |
|  13   |  104  |  58   | -8.9201e+02 | 6.41e+00 | 8.23e+01 | 0.00e+00 |
|  14   |  112  |  62   | -8.9425e+02 | 6.86e+00 | 8.14e+01 | 0.00e+00 |
|  15   |  120  |  64   | -8.9430e+02 | 6.86e+00 | 8.14e+01 | 0.00e+00 |
|  16   |  128  |  71   | -8.9430e+02 | 6.86e+00 | 8.14e+01 | 0.00e+00 |
|  17   |  136  |  78   | -8.9430e+02 | 6.86e+00 | 8.14e+01 | 0.00e+00 |
|  18   |  144  |  85   | -8.9430e+02 | 6.86e+00 | 8.14e+01 | 0.00e+00 |
|  19   |  152  |  92   | -8.9430e+02 | 6.86e+00 | 8.14e+01 | 0.00e+00 |
|  20   |  160  |  99   | -8.9430e+02 | 6.86e+00 | 8.14e+01 | 0.00e+00 |
|  21   |  168  |  106  | -8.9430e+02 | 6.86e+00 | 8.14e+01 | 0.00e+00 |
|  22   |  176  |  113  | -8.9430e+02 | 6.86e+00 | 8.14e+01 | 0.00e+00 |
|  23   |  184  |  120  | -8.9430e+02 | 6.86e+00 | 8.14e+01 | 0.00e+00 |
|  24   |  192  |  127  | -8.9430e+02 | 6.86e+00 | 8.14e+01 | 0.00e+00 |
|  25   |  200  |  134  | -8.9430e+02 | 6.86e+00 | 8.14e+01 | 0.00e+00 |
|  26   |  208  |  141  | -8.9430e+02 | 6.86e+00 | 8.14e+01 | 0.00e+00 |
|  27   |  216  |  148  | -8.9430e+02 | 6.86e+00 | 8.14e+01 | 0.00e+00 |
|  28   |  224  |  155  | -8.9430e+02 | 6.86e+00 | 8.14e+01 | 0.00e+00 |
|  29   |  232  |  162  | -8.9430e+02 | 6.86e+00 | 8.14e+01 | 0.00e+00 |
|  30   |  240  |  169  | -8.9431e+02 | 6.86e+00 | 8.14e+01 | 0.00e+00 |
|  31   |  248  |  176  | -8.9431e+02 | 6.86e+00 | 8.14e+01 | 0.00e+00 |
|  32   |  256  |  183  | -8.9431e+02 | 6.86e+00 | 8.14e+01 | 0.00e+00 |
|  33   |  264  |  190  | -8.9431e+02 | 6.86e+00 | 8.14e+01 | 0.00e+00 |
|  34   |  272  |  197  | -8.9431e+02 | 6.86e+00 | 8.14e+01 | 0.00e+00 |
|  35   |  280  |  204  | -8.9431e+02 | 6.86e+00 | 8.14e+01 | 0.00e+00 |
|  36   |  288  |  211  | -8.9431e+02 | 6.86e+00 | 8.14e+01 | 0.00e+00 |
|  37   |  296  |  218  | -8.9431e+02 | 6.86e+00 | 8.14e+01 | 0.00e+00 |
|  38   |  304  |  225  | -8.9431e+02 | 6.86e+00 | 8.14e+01 | 0.00e+00 |
|  39   |  312  |  232  | -8.9431e+02 | 6.86e+00 | 8.14e+01 | 0.00e+00 |
|  40   |  320  |  239  | -8.9431e+02 | 6.86e+00 | 8.14e+01 | 0.00e+00 |
|  41   |  328  |  246  | -8.9431e+02 | 6.86e+00 | 8.14e+01 | 0.00e+00 |
|  42   |  336  |  253  | -8.9431e+02 | 6.86e+00 | 8.14e+01 | 0.00e+00 |
|  43   |  344  |  260  | -8.9431e+02 | 6.86e+00 | 8.14e+01 | 0.00e+00 |
|  44   |  352  |  267  | -8.9431e+02 | 6.86e+00 | 8.14e+01 | 0.00e+00 |
|  45   |  360  |  274  | -8.9431e+02 | 6.86e+00 | 8.14e+01 | 0.00e+00 |
|  46   |  368  |  281  | -8.9431e+02 | 6.86e+00 | 8.14e+01 | 0.00e+00 |
|  47   |  376  |  288  | -8.9431e+02 | 6.86e+00 | 8.14e+01 | 0.00e+00 |
|  48   |  384  |  295  | -8.9431e+02 | 6.86e+00 | 8.14e+01 | 0.00e+00 |
|  49   |  392  |  302  | -8.9431e+02 | 6.86e+00 | 8.14e+01 | 0.00e+00 |
|  50   |  400  |  309  | -8.9431e+02 | 6.86e+00 | 8.14e+01 | 0.00e+00 |
|  51   |  408  |  316  | -8.9432e+02 | 6.86e+00 | 8.14e+01 | 0.00e+00 |
|  52   |  416  |  323  | -8.9432e+02 | 6.86e+00 | 8.14e+01 | 0.00e+00 |
|  53   |  424  |  330  | -8.9432e+02 | 6.86e+00 | 8.14e+01 | 0.00e+00 |
|  54   |  432  |  337  | -8.9432e+02 | 6.86e+00 | 8.14e+01 | 0.00e+00 |
|  55   |  440  |  344  | -8.9432e+02 | 6.86e+00 | 8.14e+01 | 0.00e+00 |
|  56   |  448  |  351  | -8.9432e+02 | 6.86e+00 | 8.14e+01 | 0.00e+00 |
|  57   |  456  |  358  | -8.9432e+02 | 6.86e+00 | 8.14e+01 | 0.00e+00 |
|  58   |  464  |  365  | -8.9432e+02 | 6.86e+00 | 8.14e+01 | 0.00e+00 |
|  59   |  472  |  372  | -8.9432e+02 | 6.86e+00 | 8.14e+01 | 0.00e+00 |
|  60   |  480  |  379  | -8.9432e+02 | 6.86e+00 | 8.14e+01 | 0.00e+00 |
|  61   |  488  |  386  | -8.9432e+02 | 6.86e+00 | 8.14e+01 | 0.00e+00 |
|  62   |  496  |  393  | -8.9432e+02 | 6.86e+00 | 8.14e+01 | 0.00e+00 |
|  63   |  504  |  400  | -8.9432e+02 | 6.86e+00 | 8.14e+01 | 0.00e+00 |
|  64   |  512  |  407  | -8.9432e+02 | 6.86e+00 | 8.14e+01 | 0.00e+00 |
|  65   |  520  |  414  | -8.9432e+02 | 6.86e+00 | 8.14e+01 | 0.00e+00 |
|  66   |  528  |  421  | -8.9432e+02 | 6.86e+00 | 8.14e+01 | 0.00e+00 |
|  67   |  536  |  428  | -8.9432e+02 | 6.86e+00 | 8.14e+01 | 0.00e+00 |
|  68   |  544  |  435  | -8.9432e+02 | 6.86e+00 | 8.14e+01 | 0.00e+00 |
|  69   |  552  |  442  | -8.9432e+02 | 6.86e+00 | 8.14e+01 | 0.00e+00 |
|  70   |  560  |  449  | -8.9432e+02 | 6.86e+00 | 8.14e+01 | 0.00e+00 |
|  71   |  568  |  456  | -8.9432e+02 | 6.86e+00 | 8.14e+01 | 0.00e+00 |
|  72   |  576  |  463  | -8.9433e+02 | 6.86e+00 | 8.14e+01 | 0.00e+00 |
|  73   |  584  |  470  | -8.9433e+02 | 6.86e+00 | 8.14e+01 | 0.00e+00 |
|  74   |  592  |  477  | -8.9433e+02 | 6.86e+00 | 8.14e+01 | 0.00e+00 |
|  75   |  600  |  484  | -8.9433e+02 | 6.86e+00 | 8.14e+01 | 0.00e+00 |
|  76   |  608  |  491  | -8.9433e+02 | 6.86e+00 | 8.14e+01 | 0.00e+00 |
|  77   |  616  |  498  | -8.9433e+02 | 6.86e+00 | 8.14e+01 | 0.00e+00 |
|  78   |  624  |  505  | -8.9433e+02 | 6.86e+00 | 8.14e+01 | 0.00e+00 |
|  79   |  632  |  512  | -8.9433e+02 | 6.86e+00 | 8.14e+01 | 0.00e+00 |
|  80   |  640  |  519  | -8.9433e+02 | 6.86e+00 | 8.14e+01 | 0.00e+00 |
|  81   |  648  |  526  | -8.9433e+02 | 6.86e+00 | 8.14e+01 | 0.00e+00 |
|  82   |  656  |  533  | -8.9433e+02 | 6.86e+00 | 8.14e+01 | 0.00e+00 |
|  83   |  664  |  540  | -8.9433e+02 | 6.86e+00 | 8.14e+01 | 0.00e+00 |
|  84   |  672  |  547  | -8.9433e+02 | 6.86e+00 | 8.14e+01 | 0.00e+00 |
|  85   |  680  |  554  | -8.9433e+02 | 6.86e+00 | 8.14e+01 | 0.00e+00 |
|  86   |  688  |  561  | -8.9433e+02 | 6.86e+00 | 8.14e+01 | 0.00e+00 |
|  87   |  696  |  568  | -8.9433e+02 | 6.86e+00 | 8.14e+01 | 0.00e+00 |
|  88   |  704  |  575  | -8.9433e+02 | 6.86e+00 | 8.14e+01 | 0.00e+00 |
|  89   |  712  |  582  | -8.9433e+02 | 6.86e+00 | 8.14e+01 | 0.00e+00 |
|  90   |  720  |  589  | -8.9433e+02 | 6.86e+00 | 8.14e+01 | 0.00e+00 |
|  91   |  728  |  596  | -8.9433e+02 | 6.86e+00 | 8.14e+01 | 0.00e+00 |
|  92   |  736  |  603  | -8.9433e+02 | 6.86e+00 | 8.14e+01 | 0.00e+00 |
|  93   |  744  |  610  | -8.9434e+02 | 6.86e+00 | 8.14e+01 | 0.00e+00 |
|  94   |  752  |  617  | -8.9434e+02 | 6.86e+00 | 8.14e+01 | 0.00e+00 |
|  95   |  760  |  624  | -8.9434e+02 | 6.86e+00 | 8.14e+01 | 0.00e+00 |
|  96   |  768  |  631  | -8.9434e+02 | 6.86e+00 | 8.14e+01 | 0.00e+00 |
|  97   |  776  |  638  | -8.9434e+02 | 6.86e+00 | 8.14e+01 | 0.00e+00 |
|  98   |  784  |  645  | -8.9434e+02 | 6.86e+00 | 8.14e+01 | 0.00e+00 |
|  99   |  792  |  652  | -8.9434e+02 | 6.86e+00 | 8.14e+01 | 0.00e+00 |
|  100  |  800  |  659  | -8.9434e+02 | 6.86e+00 | 8.14e+01 | 0.00e+00 |
|  101  |  808  |  666  | -8.9434e+02 | 6.86e+00 | 8.14e+01 | 0.00e+00 |
|  102  |  816  |  673  | -8.9434e+02 | 6.86e+00 | 8.14e+01 | 0.00e+00 |
