writing to logs/2/trust-constr/Chile/2021_8_4_19_24
| niter |f evals|CG iter|  obj func   |tr radius |   opt    |  c viol  |
|-------|-------|-------|-------------|----------|----------|----------|
|   1   |   8   |   0   | +4.3583e+11 | 1.00e+00 | 8.98e+11 | 4.10e-04 |
|   2   |  16   |   1   | -1.0241e+03 | 2.00e+00 | 1.18e+04 | 0.00e+00 |
|   3   |  24   |   7   | -1.0241e+03 | 7.92e+00 | 3.55e+03 | 0.00e+00 |
|   4   |  32   |  14   | -1.0606e+03 | 7.92e+00 | 4.39e+02 | 0.00e+00 |
|   5   |  40   |  21   | -1.0743e+03 | 7.92e+00 | 6.76e+01 | 0.00e+00 |
|   6   |  48   |  27   | -1.0284e+03 | 7.92e+00 | 8.04e+01 | 0.00e+00 |
|   7   |  56   |  33   | -1.0212e+03 | 7.92e+00 | 7.94e+01 | 0.00e+00 |
|   8   |  64   |  39   | -1.0718e+03 | 7.92e+00 | 7.92e+01 | 0.00e+00 |
|   9   |  72   |  46   | -1.0818e+03 | 7.92e+00 | 7.65e+01 | 0.00e+00 |
|  10   |  80   |  53   | -1.0893e+03 | 7.92e+00 | 6.75e+01 | 0.00e+00 |
|  11   |  88   |  60   | -1.0896e+03 | 7.92e+00 | 6.38e+01 | 0.00e+00 |
|  12   |  96   |  67   | -1.0896e+03 | 7.92e+00 | 6.46e+01 | 0.00e+00 |
|  13   |  104  |  73   | -1.0896e+03 | 7.92e+00 | 6.46e+01 | 0.00e+00 |
|  14   |  112  |  80   | -1.0903e+03 | 7.92e+00 | 6.05e+01 | 0.00e+00 |
|  15   |  120  |  86   | -1.0903e+03 | 7.92e+00 | 6.15e+01 | 0.00e+00 |
|  16   |  128  |  92   | -1.0903e+03 | 7.92e+00 | 6.13e+01 | 0.00e+00 |
|  17   |  136  |  96   | -1.0903e+03 | 7.92e+00 | 6.13e+01 | 0.00e+00 |
|  18   |  144  |  101  | -1.0903e+03 | 7.92e+00 | 6.13e+01 | 0.00e+00 |
|  19   |  152  |  106  | -1.0903e+03 | 7.92e+00 | 6.13e+01 | 0.00e+00 |
|  20   |  168  |  113  | -1.0903e+03 | 7.92e-01 | 6.13e+01 | 0.00e+00 |
|  21   |  184  |  120  | -1.0903e+03 | 7.92e-02 | 6.13e+01 | 0.00e+00 |
|  22   |  200  |  127  | -1.0903e+03 | 7.92e-03 | 6.13e+01 | 0.00e+00 |
|  23   |  216  |  134  | -1.0903e+03 | 2.09e-03 | 6.13e+01 | 0.00e+00 |
|  24   |  224  |  138  | -1.0903e+03 | 5.27e-04 | 6.13e+01 | 0.00e+00 |
|  25   |  232  |  142  | -1.0903e+03 | 2.63e-04 | 6.13e+01 | 0.00e+00 |
|  26   |  248  |  146  | -1.0903e+03 | 1.22e-04 | 6.13e+01 | 0.00e+00 |
|  27   |  256  |  150  | -1.0904e+03 | 8.51e-04 | 6.13e+01 | 0.00e+00 |
|  28   |  272  |  154  | -1.0904e+03 | 4.11e-04 | 6.13e+01 | 0.00e+00 |
|  29   |  288  |  159  | -1.0904e+03 | 2.06e-04 | 6.13e+01 | 0.00e+00 |
|  30   |  296  |  163  | -1.0904e+03 | 6.00e-05 | 6.13e+01 | 0.00e+00 |
|  31   |  304  |  167  | -1.0904e+03 | 4.20e-04 | 6.13e+01 | 0.00e+00 |
|  32   |  312  |  171  | -1.0904e+03 | 1.52e-04 | 6.13e+01 | 0.00e+00 |
|  33   |  328  |  175  | -1.0904e+03 | 4.05e-05 | 6.13e+01 | 0.00e+00 |
|  34   |  336  |  179  | -1.0904e+03 | 2.84e-04 | 6.13e+01 | 0.00e+00 |
|  35   |  344  |  185  | -1.0904e+03 | 4.71e-05 | 6.13e+01 | 0.00e+00 |
|  36   |  352  |  191  | -1.0904e+03 | 4.71e-06 | 6.13e+01 | 0.00e+00 |
|  37   |  360  |  195  | -1.0904e+03 | 3.30e-05 | 6.13e+01 | 0.00e+00 |
|  38   |  368  |  199  | -1.0904e+03 | 3.30e-06 | 6.13e+01 | 0.00e+00 |
|  39   |  384  |  203  | -1.0904e+03 | 3.30e-07 | 6.13e+01 | 0.00e+00 |
|  40   |  392  |  207  | -1.0904e+03 | 2.31e-06 | 6.13e+01 | 0.00e+00 |
|  41   |  408  |  211  | -1.0904e+03 | 2.31e-07 | 6.13e+01 | 0.00e+00 |
|  42   |  416  |  215  | -1.0904e+03 | 1.62e-06 | 6.13e+01 | 0.00e+00 |
|  43   |  424  |  219  | -1.0904e+03 | 1.13e-05 | 6.13e+01 | 0.00e+00 |
|  44   |  440  |  223  | -1.0904e+03 | 1.13e-06 | 6.13e+01 | 0.00e+00 |
|  45   |  456  |  227  | -1.0904e+03 | 1.13e-07 | 6.13e+01 | 0.00e+00 |
|  46   |  464  |  231  | -1.0904e+03 | 7.92e-07 | 6.13e+01 | 0.00e+00 |
|  47   |  472  |  235  | -1.0904e+03 | 7.92e-08 | 6.13e+01 | 0.00e+00 |
|  48   |  480  |  239  | -1.0904e+03 | 5.54e-07 | 6.13e+01 | 0.00e+00 |
|  49   |  488  |  243  | -1.0904e+03 | 5.54e-08 | 6.13e+01 | 0.00e+00 |
|  50   |  496  |  247  | -1.0904e+03 | 5.54e-09 | 6.13e+01 | 0.00e+00 |
|  51   |  504  |  251  | -1.0904e+03 | 3.88e-08 | 6.13e+01 | 0.00e+00 |
|  52   |  512  |  256  | -1.0904e+03 | 2.72e-07 | 1.08e+06 | 0.00e+00 |
|  53   |  528  |  260  | -1.0904e+03 | 3.08e-08 | 1.08e+06 | 0.00e+00 |
|  54   |  544  |  264  | -1.0904e+03 | 1.54e-08 | 1.08e+06 | 0.00e+00 |
|  55   |  552  |  265  | -1.0904e+03 | 7.71e-09 | 1.08e+06 | 0.00e+00 |
|  56   |  560  |  266  | -1.0904e+03 | 3.86e-09 | 1.08e+06 | 0.00e+00 |
|  57   |  576  |  267  | -1.0904e+03 | 1.93e-09 | 1.08e+06 | 0.00e+00 |
|  58   |  592  |  268  | -1.0904e+03 | 9.64e-10 | 1.08e+06 | 0.00e+00 |
|  59   |  608  |  269  | -1.0904e+03 | 4.82e-10 | 1.08e+06 | 0.00e+00 |
|  60   |  624  |  270  | -1.0904e+03 | 2.41e-10 | 1.08e+06 | 0.00e+00 |
|  61   |  640  |  271  | -1.0904e+03 | 1.20e-10 | 1.08e+06 | 0.00e+00 |
|  62   |  656  |  272  | -1.0904e+03 | 6.02e-11 | 1.08e+06 | 0.00e+00 |
|  63   |  672  |  273  | -1.0904e+03 | 3.01e-11 | 1.08e+06 | 0.00e+00 |
|  64   |  680  |  274  | -1.0904e+03 | 1.51e-11 | 1.08e+06 | 0.00e+00 |
|  65   |  688  |  275  | -1.0904e+03 | 7.53e-12 | 1.08e+06 | 0.00e+00 |
|  66   |  704  |  276  | -1.0904e+03 | 3.77e-12 | 1.08e+06 | 0.00e+00 |
|  67   |  720  |  277  | -1.0904e+03 | 1.88e-12 | 1.08e+06 | 0.00e+00 |
|  68   |  736  |  278  | -1.0904e+03 | 9.41e-13 | 1.08e+06 | 0.00e+00 |
|  69   |  744  |  279  | -1.0904e+03 | 9.41e-13 | 1.08e+06 | 0.00e+00 |
|  70   |  760  |  280  | -1.0904e+03 | 4.71e-13 | 1.08e+06 | 0.00e+00 |
|  71   |  768  |  281  | -1.0904e+03 | 2.35e-13 | 1.08e+06 | 0.00e+00 |
|  72   |  784  |  282  | -1.0904e+03 | 1.18e-13 | 1.08e+06 | 0.00e+00 |
|  73   |  800  |  283  | -1.0904e+03 | 5.88e-14 | 1.08e+06 | 0.00e+00 |
|  74   |  816  |  284  | -1.0904e+03 | 2.94e-14 | 1.08e+06 | 0.00e+00 |
|  75   |  824  |  285  | -1.0904e+03 | 1.47e-14 | 1.08e+06 | 0.00e+00 |
|  76   |  840  |  286  | -1.0904e+03 | 7.35e-15 | 1.08e+06 | 0.00e+00 |
|  77   |  848  |  287  | -1.0904e+03 | 3.68e-15 | 1.08e+06 | 0.00e+00 |
|  78   |  864  |  288  | -1.0904e+03 | 1.84e-15 | 1.08e+06 | 0.00e+00 |
|  79   |  880  |  289  | -1.0904e+03 | 9.19e-16 | 1.08e+06 | 0.00e+00 |
|  80   |  888  |  290  | -1.0904e+03 | 4.60e-16 | 1.08e+06 | 0.00e+00 |
|  81   |  896  |  291  | -1.0904e+03 | 2.30e-16 | 1.08e+06 | 0.00e+00 |
|  82   |  904  |  292  | -1.0904e+03 | 8.89e-17 | 1.08e+06 | 0.00e+00 |
|  83   |  912  |  292  | -1.0904e+03 | 1.00e+00 | 1.08e+06 | 0.00e+00 |
|  84   |  920  |  299  | -1.0904e+03 | 1.00e-01 | 1.08e+06 | 0.00e+00 |
|  85   |  928  |  306  | -1.0904e+03 | 2.48e-02 | 1.08e+06 | 0.00e+00 |
|  86   |  936  |  311  | -1.0904e+03 | 1.24e-02 | 1.08e+06 | 0.00e+00 |
|  87   |  952  |  316  | -1.0904e+03 | 6.20e-03 | 1.08e+06 | 0.00e+00 |
|  88   |  960  |  321  | -1.0904e+03 | 3.10e-03 | 1.08e+06 | 0.00e+00 |
|  89   |  968  |  325  | -1.0904e+03 | 3.10e-03 | 6.13e+01 | 0.00e+00 |
|  90   |  976  |  329  | -1.0904e+03 | 1.55e-03 | 6.13e+01 | 0.00e+00 |
|  91   |  992  |  333  | -1.0904e+03 | 7.28e-04 | 6.13e+01 | 0.00e+00 |
|  92   | 1000  |  337  | -1.0904e+03 | 5.09e-03 | 6.13e+01 | 0.00e+00 |
|  93   | 1016  |  341  | -1.0904e+03 | 2.11e-03 | 6.13e+01 | 0.00e+00 |
|  94   | 1024  |  345  | -1.0904e+03 | 1.06e-03 | 6.13e+01 | 0.00e+00 |
|  95   | 1032  |  349  | -1.0904e+03 | 2.78e-04 | 6.13e+01 | 0.00e+00 |
|  96   | 1040  |  353  | -1.0904e+03 | 1.95e-03 | 6.13e+01 | 0.00e+00 |
|  97   | 1056  |  357  | -1.0904e+03 | 9.43e-04 | 6.13e+01 | 0.00e+00 |
|  98   | 1072  |  361  | -1.0904e+03 | 2.22e-04 | 6.13e+01 | 0.00e+00 |
|  99   | 1080  |  365  | -1.0904e+03 | 1.55e-03 | 6.13e+01 | 0.00e+00 |
|  100  | 1096  |  369  | -1.0904e+03 | 6.00e-04 | 6.13e+01 | 0.00e+00 |
|  101  | 1112  |  373  | -1.0904e+03 | 7.86e-05 | 6.13e+01 | 0.00e+00 |
|  102  | 1120  |  377  | -1.0904e+03 | 5.50e-04 | 6.13e+01 | 0.00e+00 |
|  103  | 1136  |  381  | -1.0904e+03 | 6.63e-05 | 6.13e+01 | 0.00e+00 |
|  104  | 1152  |  385  | -1.0904e+03 | 6.63e-06 | 6.13e+01 | 0.00e+00 |
|  105  | 1160  |  389  | -1.0904e+03 | 4.64e-05 | 6.13e+01 | 0.00e+00 |
|  106  | 1168  |  393  | -1.0904e+03 | 4.64e-06 | 6.13e+01 | 0.00e+00 |
|  107  | 1176  |  397  | -1.0904e+03 | 3.25e-05 | 6.13e+01 | 0.00e+00 |
|  108  | 1184  |  401  | -1.0904e+03 | 3.25e-06 | 6.13e+01 | 0.00e+00 |
|  109  | 1192  |  405  | -1.0904e+03 | 2.27e-05 | 6.13e+01 | 0.00e+00 |
|  110  | 1200  |  409  | -1.0904e+03 | 1.59e-04 | 6.13e+01 | 0.00e+00 |
|  111  | 1208  |  413  | -1.0904e+03 | 1.59e-05 | 6.13e+01 | 0.00e+00 |
|  112  | 1216  |  417  | -1.0904e+03 | 1.59e-06 | 6.13e+01 | 0.00e+00 |
|  113  | 1224  |  421  | -1.0904e+03 | 1.11e-05 | 1.13e+06 | 0.00e+00 |
|  114  | 1240  |  424  | -1.0904e+03 | 5.57e-06 | 1.13e+06 | 0.00e+00 |
|  115  | 1256  |  427  | -1.0904e+03 | 2.78e-06 | 1.13e+06 | 0.00e+00 |
|  116  | 1264  |  430  | -1.0904e+03 | 1.39e-06 | 1.13e+06 | 0.00e+00 |
|  117  | 1280  |  433  | -1.0904e+03 | 6.96e-07 | 1.13e+06 | 0.00e+00 |
|  118  | 1296  |  435  | -1.0904e+03 | 3.48e-07 | 1.13e+06 | 0.00e+00 |
|  119  | 1312  |  437  | -1.0904e+03 | 1.74e-07 | 1.13e+06 | 0.00e+00 |
|  120  | 1320  |  439  | -1.0904e+03 | 8.70e-08 | 1.13e+06 | 0.00e+00 |
|  121  | 1328  |  441  | -1.0904e+03 | 4.35e-08 | 1.13e+06 | 0.00e+00 |
|  122  | 1344  |  442  | -1.0904e+03 | 2.18e-08 | 1.13e+06 | 0.00e+00 |
|  123  | 1360  |  444  | -1.0904e+03 | 1.09e-08 | 1.13e+06 | 0.00e+00 |
|  124  | 1376  |  445  | -1.0904e+03 | 5.44e-09 | 1.13e+06 | 0.00e+00 |
|  125  | 1392  |  446  | -1.0904e+03 | 2.72e-09 | 1.13e+06 | 0.00e+00 |
|  126  | 1400  |  447  | -1.0904e+03 | 1.36e-09 | 1.13e+06 | 0.00e+00 |
|  127  | 1416  |  448  | -1.0904e+03 | 6.80e-10 | 1.13e+06 | 0.00e+00 |
|  128  | 1432  |  450  | -1.0904e+03 | 3.40e-10 | 1.13e+06 | 0.00e+00 |
|  129  | 1448  |  452  | -1.0904e+03 | 1.70e-10 | 1.13e+06 | 0.00e+00 |
|  130  | 1464  |  454  | -1.0904e+03 | 8.50e-11 | 1.13e+06 | 0.00e+00 |
|  131  | 1472  |  455  | -1.0904e+03 | 4.25e-11 | 1.13e+06 | 0.00e+00 |
|  132  | 1488  |  456  | -1.0904e+03 | 2.12e-11 | 1.13e+06 | 0.00e+00 |
|  133  | 1504  |  457  | -1.0904e+03 | 1.06e-11 | 1.13e+06 | 0.00e+00 |
|  134  | 1520  |  458  | -1.0904e+03 | 5.31e-12 | 1.13e+06 | 0.00e+00 |
|  135  | 1528  |  459  | -1.0904e+03 | 5.31e-12 | 1.13e+06 | 0.00e+00 |
|  136  | 1536  |  460  | -1.0904e+03 | 2.66e-12 | 1.13e+06 | 0.00e+00 |
|  137  | 1544  |  461  | -1.0904e+03 | 1.33e-12 | 1.13e+06 | 0.00e+00 |
|  138  | 1560  |  462  | -1.0904e+03 | 6.64e-13 | 1.13e+06 | 0.00e+00 |
|  139  | 1568  |  463  | -1.0904e+03 | 6.64e-13 | 1.13e+06 | 0.00e+00 |
|  140  | 1576  |  464  | -1.0904e+03 | 3.32e-13 | 1.13e+06 | 0.00e+00 |
|  141  | 1584  |  465  | -1.0904e+03 | 1.66e-13 | 1.13e+06 | 0.00e+00 |
|  142  | 1592  |  466  | -1.0904e+03 | 8.30e-14 | 1.13e+06 | 0.00e+00 |
