writing to logs/AEJ_data/2/trust-constr/China/2021_8_11_13_17
| niter |f evals|CG iter|  obj func   |tr radius |   opt    |  c viol  |
|-------|-------|-------|-------------|----------|----------|----------|
|   1   |   8   |   0   | +1.3301e+02 | 1.00e+00 | 1.84e+06 | 0.00e+00 |
|   2   |  16   |   1   | -5.9113e+02 | 1.00e+00 | 2.19e+02 | 2.73e-01 |
|   3   |  24   |   8   | -5.9117e+02 | 6.47e+00 | 1.85e+02 | 2.73e-01 |
|   4   |  32   |  15   | -5.8137e+02 | 9.12e+00 | 1.56e+02 | 2.54e-01 |
|   5   |  40   |  22   | -6.2302e+02 | 1.01e+01 | 1.38e+02 | 1.38e-01 |
|   6   |  48   |  28   | -7.0332e+02 | 1.01e+01 | 1.26e+02 | 6.14e-02 |
|   7   |  56   |  34   | -7.8575e+02 | 1.01e+01 | 1.18e+02 | 1.86e-02 |
|   8   |  64   |  38   | -8.3947e+02 | 1.01e+01 | 1.15e+02 | 0.00e+00 |
|   9   |  80   |  42   | -8.3947e+02 | 1.01e+00 | 1.15e+02 | 0.00e+00 |
|  10   |  96   |  48   | -8.3947e+02 | 5.05e-01 | 1.15e+02 | 0.00e+00 |
|  11   |  104  |  52   | -8.4317e+02 | 5.05e-01 | 1.13e+02 | 0.00e+00 |
|  12   |  120  |  58   | -8.4317e+02 | 2.53e-01 | 1.13e+02 | 0.00e+00 |
|  13   |  128  |  64   | -8.4322e+02 | 2.53e-01 | 1.07e+02 | 0.00e+00 |
|  14   |  144  |  71   | -8.4322e+02 | 1.26e-01 | 1.07e+02 | 0.00e+00 |
|  15   |  152  |  76   | -8.4327e+02 | 1.26e-01 | 1.04e+02 | 0.00e+00 |
|  16   |  168  |  80   | -8.4327e+02 | 6.31e-02 | 1.04e+02 | 0.00e+00 |
|  17   |  184  |  84   | -8.4327e+02 | 3.16e-02 | 1.04e+02 | 0.00e+00 |
|  18   |  192  |  88   | -8.4330e+02 | 3.16e-02 | 1.03e+02 | 0.00e+00 |
|  19   |  208  |  92   | -8.4330e+02 | 1.58e-02 | 1.03e+02 | 0.00e+00 |
|  20   |  224  |  96   | -8.4330e+02 | 7.89e-03 | 1.03e+02 | 0.00e+00 |
|  21   |  240  |  100  | -8.4330e+02 | 3.95e-03 | 1.03e+02 | 0.00e+00 |
|  22   |  248  |  104  | -8.4333e+02 | 3.95e-03 | 1.03e+02 | 0.00e+00 |
|  23   |  264  |  108  | -8.4333e+02 | 1.97e-03 | 1.03e+02 | 0.00e+00 |
|  24   |  280  |  111  | -8.4333e+02 | 9.87e-04 | 1.03e+02 | 0.00e+00 |
|  25   |  296  |  114  | -8.4333e+02 | 4.93e-04 | 1.03e+02 | 0.00e+00 |
|  26   |  312  |  117  | -8.4333e+02 | 2.47e-04 | 1.03e+02 | 0.00e+00 |
|  27   |  320  |  119  | -8.4339e+02 | 1.73e-03 | 1.03e+02 | 0.00e+00 |
|  28   |  336  |  121  | -8.4339e+02 | 8.63e-04 | 1.03e+02 | 0.00e+00 |
|  29   |  352  |  123  | -8.4339e+02 | 4.32e-04 | 1.03e+02 | 0.00e+00 |
|  30   |  368  |  125  | -8.4339e+02 | 2.16e-04 | 1.03e+02 | 0.00e+00 |
|  31   |  384  |  127  | -8.4339e+02 | 7.15e-05 | 1.03e+02 | 0.00e+00 |
|  32   |  400  |  129  | -8.4339e+02 | 2.35e-05 | 1.03e+02 | 0.00e+00 |
|  33   |  408  |  131  | -8.4339e+02 | 1.65e-04 | 1.03e+02 | 0.00e+00 |
|  34   |  424  |  133  | -8.4339e+02 | 4.17e-05 | 1.03e+02 | 0.00e+00 |
|  35   |  440  |  135  | -8.4339e+02 | 5.69e-06 | 1.03e+02 | 0.00e+00 |
|  36   |  448  |  137  | -8.4339e+02 | 3.98e-05 | 1.03e+02 | 0.00e+00 |
|  37   |  464  |  139  | -8.4339e+02 | 5.30e-06 | 1.03e+02 | 0.00e+00 |
|  38   |  472  |  141  | -8.4339e+02 | 3.71e-05 | 1.03e+02 | 0.00e+00 |
|  39   |  488  |  143  | -8.4339e+02 | 4.62e-06 | 1.03e+02 | 0.00e+00 |
|  40   |  504  |  144  | -8.4339e+02 | 4.62e-07 | 1.03e+02 | 0.00e+00 |
|  41   |  512  |  146  | -8.4339e+02 | 3.24e-06 | 1.03e+02 | 0.00e+00 |
|  42   |  520  |  148  | -8.4339e+02 | 2.27e-05 | 1.03e+02 | 0.00e+00 |
|  43   |  536  |  150  | -8.4339e+02 | 2.27e-06 | 1.03e+02 | 0.00e+00 |
|  44   |  552  |  152  | -8.4339e+02 | 2.27e-07 | 1.03e+02 | 0.00e+00 |
|  45   |  560  |  154  | -8.4339e+02 | 1.59e-06 | 1.03e+02 | 0.00e+00 |
|  46   |  576  |  155  | -8.4339e+02 | 1.59e-07 | 1.03e+02 | 0.00e+00 |
|  47   |  584  |  157  | -8.4339e+02 | 1.11e-06 | 1.03e+02 | 0.00e+00 |
|  48   |  600  |  159  | -8.4339e+02 | 1.11e-07 | 1.03e+02 | 0.00e+00 |
|  49   |  608  |  161  | -8.4339e+02 | 7.77e-07 | 1.03e+02 | 0.00e+00 |
|  50   |  616  |  163  | -8.4339e+02 | 5.44e-06 | 1.03e+02 | 0.00e+00 |
|  51   |  632  |  165  | -8.4339e+02 | 5.44e-07 | 1.03e+02 | 0.00e+00 |
|  52   |  648  |  167  | -8.4339e+02 | 5.44e-08 | 1.03e+02 | 0.00e+00 |
|  53   |  656  |  169  | -8.4339e+02 | 3.81e-07 | 2.91e+06 | 0.00e+00 |
|  54   |  672  |  171  | -8.4339e+02 | 1.90e-07 | 2.91e+06 | 0.00e+00 |
|  55   |  680  |  172  | -8.4339e+02 | 9.52e-08 | 2.91e+06 | 0.00e+00 |
|  56   |  688  |  173  | -8.4339e+02 | 4.76e-08 | 2.91e+06 | 0.00e+00 |
|  57   |  696  |  174  | -8.4339e+02 | 2.38e-08 | 2.91e+06 | 0.00e+00 |
|  58   |  712  |  175  | -8.4339e+02 | 1.19e-08 | 2.91e+06 | 0.00e+00 |
|  59   |  728  |  176  | -8.4339e+02 | 5.95e-09 | 2.91e+06 | 0.00e+00 |
|  60   |  736  |  177  | -8.4339e+02 | 2.98e-09 | 2.91e+06 | 0.00e+00 |
|  61   |  744  |  178  | -8.4339e+02 | 1.49e-09 | 2.91e+06 | 0.00e+00 |
|  62   |  752  |  179  | -8.4339e+02 | 7.44e-10 | 2.91e+06 | 0.00e+00 |
|  63   |  760  |  180  | -8.4339e+02 | 3.72e-10 | 2.91e+06 | 0.00e+00 |
|  64   |  776  |  181  | -8.4339e+02 | 1.86e-10 | 2.91e+06 | 0.00e+00 |
|  65   |  792  |  182  | -8.4339e+02 | 9.30e-11 | 2.91e+06 | 0.00e+00 |
|  66   |  800  |  183  | -8.4339e+02 | 4.65e-11 | 2.91e+06 | 0.00e+00 |
|  67   |  808  |  184  | -8.4339e+02 | 2.32e-11 | 2.91e+06 | 0.00e+00 |
|  68   |  816  |  185  | -8.4339e+02 | 1.16e-11 | 2.91e+06 | 0.00e+00 |
|  69   |  824  |  186  | -8.4339e+02 | 5.81e-12 | 2.91e+06 | 0.00e+00 |
|  70   |  840  |  187  | -8.4339e+02 | 5.81e-12 | 2.91e+06 | 0.00e+00 |
|  71   |  856  |  188  | -8.4339e+02 | 2.91e-12 | 2.91e+06 | 0.00e+00 |
|  72   |  872  |  189  | -8.4339e+02 | 1.45e-12 | 2.91e+06 | 0.00e+00 |
|  73   |  880  |  190  | -8.4339e+02 | 7.26e-13 | 2.91e+06 | 0.00e+00 |
|  74   |  888  |  190  | -8.4339e+02 | 1.00e+00 | 2.91e+06 | 0.00e+00 |
|  75   |  904  |  193  | -8.4339e+02 | 5.00e-01 | 2.91e+06 | 0.00e+00 |
|  76   |  920  |  197  | -8.4339e+02 | 2.50e-01 | 2.91e+06 | 0.00e+00 |
|  77   |  928  |  199  | -8.4424e+02 | 2.50e-01 | 1.26e+02 | 0.00e+00 |
|  78   |  944  |  203  | -8.4424e+02 | 1.25e-01 | 1.26e+02 | 0.00e+00 |
|  79   |  960  |  208  | -8.4424e+02 | 6.25e-02 | 1.26e+02 | 0.00e+00 |
|  80   |  976  |  213  | -8.4424e+02 | 3.12e-02 | 1.26e+02 | 0.00e+00 |
|  81   |  992  |  215  | -8.4424e+02 | 1.56e-02 | 1.26e+02 | 0.00e+00 |
|  82   | 1008  |  217  | -8.4424e+02 | 7.81e-03 | 1.26e+02 | 0.00e+00 |
|  83   | 1024  |  219  | -8.4424e+02 | 3.91e-03 | 1.26e+02 | 0.00e+00 |
