writing to logs/2/trust-constr/Colombia/2021_8_4_19_24
| niter |f evals|CG iter|  obj func   |tr radius |   opt    |  c viol  |
|-------|-------|-------|-------------|----------|----------|----------|
|   1   |   8   |   0   | +5.2489e+03 | 1.00e+00 | 6.76e+05 | 0.00e+00 |
|   2   |  16   |   1   | -6.1368e+02 | 1.00e+00 | 1.10e+03 | 3.06e-01 |
|   3   |  24   |   8   | -6.1808e+02 | 6.77e+00 | 8.55e+02 | 3.06e-01 |
|   4   |  32   |  15   | -6.1808e+02 | 6.77e-01 | 8.55e+02 | 3.06e-01 |
|   5   |  40   |  19   | -6.4794e+02 | 4.74e+00 | 9.48e+02 | 2.32e-01 |
|   6   |  48   |  26   | -6.4794e+02 | 4.74e-01 | 9.48e+02 | 2.32e-01 |
|   7   |  56   |  31   | +2.5019e+02 | 3.32e+00 | 5.85e+04 | 1.87e-01 |
|   8   |  64   |  38   | -4.8143e+02 | 3.32e+00 | 1.00e+03 | 1.16e-01 |
|   9   |  72   |  45   | -5.0090e+02 | 7.86e+00 | 8.87e+02 | 1.20e-01 |
|  10   |  80   |  51   | -5.6934e+02 | 8.51e+00 | 9.69e+02 | 4.32e-02 |
|  11   |  88   |  57   | -5.7991e+02 | 8.51e+00 | 1.07e+03 | 5.00e-03 |
|  12   |  96   |  62   | -5.7238e+02 | 8.51e+00 | 1.08e+03 | 0.00e+00 |
|  13   |  112  |  67   | -5.7238e+02 | 8.51e-01 | 1.08e+03 | 0.00e+00 |
|  14   |  120  |  72   | -5.8191e+02 | 8.51e-01 | 9.77e+02 | 0.00e+00 |
|  15   |  136  |  76   | -5.8191e+02 | 4.26e-01 | 9.77e+02 | 0.00e+00 |
|  16   |  152  |  80   | -5.8191e+02 | 2.13e-01 | 9.77e+02 | 0.00e+00 |
|  17   |  168  |  84   | -5.8191e+02 | 1.06e-01 | 9.77e+02 | 0.00e+00 |
|  18   |  176  |  90   | -5.8221e+02 | 1.06e-01 | 9.94e+02 | 0.00e+00 |
|  19   |  184  |  92   | -5.9078e+02 | 1.06e-01 | 7.97e+02 | 0.00e+00 |
|  20   |  200  |  95   | -5.9078e+02 | 5.32e-02 | 7.97e+02 | 0.00e+00 |
|  21   |  216  |  97   | -5.9078e+02 | 2.66e-02 | 7.97e+02 | 0.00e+00 |
|  22   |  224  |  103  | -5.9138e+02 | 2.66e-02 | 8.09e+02 | 0.00e+00 |
|  23   |  240  |  110  | -5.9138e+02 | 1.33e-02 | 8.09e+02 | 0.00e+00 |
|  24   |  256  |  116  | -5.9138e+02 | 6.65e-03 | 8.09e+02 | 0.00e+00 |
|  25   |  272  |  122  | -5.9138e+02 | 3.33e-03 | 8.09e+02 | 0.00e+00 |
|  26   |  288  |  125  | -5.9138e+02 | 1.66e-03 | 8.09e+02 | 0.00e+00 |
|  27   |  304  |  128  | -5.9138e+02 | 8.31e-04 | 8.09e+02 | 0.00e+00 |
|  28   |  320  |  131  | -5.9138e+02 | 3.95e-04 | 8.09e+02 | 0.00e+00 |
|  29   |  328  |  133  | -5.9184e+02 | 2.77e-03 | 8.12e+02 | 0.00e+00 |
|  30   |  336  |  136  | -5.9184e+02 | 1.32e-03 | 8.12e+02 | 0.00e+00 |
