writing to logs/2/trust-constr/Philippines/2021_8_4_19_24
| niter |f evals|CG iter|  obj func   |tr radius |   opt    |  c viol  |
|-------|-------|-------|-------------|----------|----------|----------|
|   1   |   8   |   0   | -9.8257e+02 | 1.00e+00 | 4.23e+03 | 0.00e+00 |
|   2   |  16   |   1   | -9.8257e+02 | 5.00e-01 | 4.23e+03 | 0.00e+00 |
|   3   |  24   |   2   | -9.8257e+02 | 2.50e-01 | 4.23e+03 | 0.00e+00 |
|   4   |  32   |   3   | -9.8257e+02 | 1.25e-01 | 4.23e+03 | 0.00e+00 |
|   5   |  40   |   4   | -9.8257e+02 | 6.25e-02 | 4.23e+03 | 0.00e+00 |
|   6   |  48   |   5   | -9.8257e+02 | 3.12e-02 | 4.23e+03 | 0.00e+00 |
|   7   |  56   |   6   | -9.8257e+02 | 1.56e-02 | 4.23e+03 | 0.00e+00 |
|   8   |  64   |   7   | -9.8257e+02 | 7.81e-03 | 4.23e+03 | 0.00e+00 |
|   9   |  72   |   8   | -9.9007e+02 | 7.81e-03 | 1.20e+03 | 0.00e+00 |
|  10   |  80   |   9   | -9.9007e+02 | 3.91e-03 | 1.20e+03 | 0.00e+00 |
|  11   |  88   |  11   | -9.9424e+02 | 2.73e-02 | 7.72e+02 | 0.00e+00 |
|  12   |  96   |  13   | -1.0038e+03 | 5.47e-02 | 2.12e+03 | 0.00e+00 |
|  13   |  104  |  16   | -1.0038e+03 | 5.47e-03 | 2.12e+03 | 0.00e+00 |
|  14   |  112  |  19   | -1.0076e+03 | 1.09e-02 | 1.70e+03 | 0.00e+00 |
|  15   |  120  |  22   | -1.0076e+03 | 5.47e-03 | 1.70e+03 | 0.00e+00 |
|  16   |  128  |  25   | -1.0092e+03 | 1.09e-02 | 1.84e+03 | 0.00e+00 |
|  17   |  136  |  28   | -1.0128e+03 | 2.19e-02 | 2.11e+03 | 0.00e+00 |
|  18   |  144  |  31   | -1.0159e+03 | 4.38e-02 | 2.51e+03 | 0.00e+00 |
|  19   |  152  |  34   | -1.0173e+03 | 4.38e-02 | 2.86e+03 | 0.00e+00 |
|  20   |  160  |  38   | -1.0173e+03 | 2.19e-02 | 2.86e+03 | 0.00e+00 |
|  21   |  168  |  41   | -1.0173e+03 | 1.09e-02 | 2.86e+03 | 0.00e+00 |
