writing to logs/2/trust-constr/Poland/2021_8_4_19_24
| niter |f evals|CG iter|  obj func   |tr radius |   opt    |  c viol  |
|-------|-------|-------|-------------|----------|----------|----------|
|   1   |   8   |   0   | +6.5632e+11 | 1.00e+00 | 1.34e+12 | 6.10e-04 |
|   2   |  16   |   1   | -9.9476e+02 | 2.00e+00 | 1.45e+04 | 0.00e+00 |
|   3   |  24   |   7   | -9.9476e+02 | 7.76e+00 | 4.34e+03 | 0.00e+00 |
|   4   |  32   |  14   | -1.0476e+03 | 7.76e+00 | 5.47e+02 | 0.00e+00 |
|   5   |  40   |  21   | -1.0683e+03 | 7.76e+00 | 8.67e+01 | 0.00e+00 |
|   6   |  48   |  27   | -1.0391e+03 | 7.76e+00 | 7.24e+01 | 0.00e+00 |
|   7   |  56   |  33   | -1.0397e+03 | 7.76e+00 | 3.78e+01 | 0.00e+00 |
|   8   |  64   |  39   | -1.0885e+03 | 7.76e+00 | 3.62e+01 | 0.00e+00 |
|   9   |  72   |  46   | -1.0924e+03 | 7.76e+00 | 3.39e+01 | 0.00e+00 |
|  10   |  80   |  53   | -1.0943e+03 | 7.76e+00 | 2.97e+01 | 0.00e+00 |
|  11   |  88   |  60   | -1.0943e+03 | 7.76e+00 | 2.93e+01 | 0.00e+00 |
|  12   |  96   |  63   | -1.0943e+03 | 7.76e+00 | 2.93e+01 | 0.00e+00 |
|  13   |  104  |  68   | -1.0943e+03 | 7.76e+00 | 2.93e+01 | 0.00e+00 |
|  14   |  112  |  73   | -1.0943e+03 | 7.76e+00 | 2.93e+01 | 0.00e+00 |
|  15   |  120  |  80   | -1.0943e+03 | 7.76e-01 | 2.93e+01 | 0.00e+00 |
|  16   |  128  |  87   | -1.0943e+03 | 8.77e-02 | 2.93e+01 | 0.00e+00 |
|  17   |  144  |  92   | -1.0943e+03 | 3.25e-02 | 2.93e+01 | 0.00e+00 |
|  18   |  160  |  97   | -1.0943e+03 | 1.22e-02 | 2.93e+01 | 0.00e+00 |
|  19   |  168  |  102  | -1.0943e+03 | 6.09e-03 | 2.93e+01 | 0.00e+00 |
|  20   |  176  |  107  | -1.0943e+03 | 3.04e-03 | 2.93e+01 | 0.00e+00 |
|  21   |  192  |  112  | -1.0943e+03 | 1.52e-03 | 2.93e+01 | 0.00e+00 |
|  22   |  200  |  117  | -1.0943e+03 | 7.61e-04 | 2.93e+01 | 0.00e+00 |
