writing to logs/2/trust-constr/Thailand/2021_8_4_19_24
| niter |f evals|CG iter|  obj func   |tr radius |   opt    |  c viol  |
|-------|-------|-------|-------------|----------|----------|----------|
|   1   |   8   |   0   | +4.2557e+11 | 1.00e+00 | 9.21e+11 | 1.10e-04 |
|   2   |  16   |   1   | -9.1958e+02 | 2.00e+00 | 1.62e+04 | 0.00e+00 |
|   3   |  24   |   7   | -9.1958e+02 | 7.75e+00 | 4.83e+03 | 0.00e+00 |
|   4   |  32   |  14   | -9.8372e+02 | 7.75e+00 | 6.19e+02 | 0.00e+00 |
|   5   |  40   |  21   | -1.0093e+03 | 7.75e+00 | 1.00e+02 | 0.00e+00 |
|   6   |  48   |  27   | -1.0247e+03 | 7.75e+00 | 3.30e+01 | 0.00e+00 |
|   7   |  56   |  33   | -1.0191e+03 | 7.75e+00 | 3.30e+01 | 0.00e+00 |
|   8   |  64   |  39   | -1.0353e+03 | 7.75e+00 | 3.21e+01 | 0.00e+00 |
|   9   |  72   |  46   | -1.0443e+03 | 7.75e+00 | 2.56e+01 | 0.00e+00 |
|  10   |  80   |  53   | -1.0451e+03 | 7.75e+00 | 2.25e+01 | 0.00e+00 |
|  11   |  88   |  60   | -1.0451e+03 | 7.75e+00 | 2.31e+01 | 0.00e+00 |
|  12   |  96   |  66   | -1.0451e+03 | 7.75e+00 | 2.31e+01 | 0.00e+00 |
|  13   |  104  |  73   | -1.0453e+03 | 7.75e+00 | 2.22e+01 | 0.00e+00 |
|  14   |  112  |  79   | -1.0453e+03 | 7.75e+00 | 2.21e+01 | 0.00e+00 |
|  15   |  120  |  83   | -1.0453e+03 | 7.75e+00 | 2.21e+01 | 0.00e+00 |
|  16   |  128  |  87   | -1.0453e+03 | 7.75e+00 | 2.21e+01 | 0.00e+00 |
|  17   |  136  |  92   | -1.0453e+03 | 7.75e+00 | 2.21e+01 | 0.00e+00 |
|  18   |  144  |  97   | -1.0453e+03 | 7.75e+00 | 2.21e+01 | 0.00e+00 |
|  19   |  160  |  104  | -1.0453e+03 | 7.75e-01 | 2.21e+01 | 0.00e+00 |
|  20   |  176  |  111  | -1.0453e+03 | 3.88e-01 | 2.21e+01 | 0.00e+00 |
|  21   |  192  |  116  | -1.0453e+03 | 1.94e-01 | 2.21e+01 | 0.00e+00 |
|  22   |  200  |  121  | -1.0453e+03 | 9.69e-02 | 2.21e+01 | 0.00e+00 |
|  23   |  216  |  126  | -1.0453e+03 | 4.85e-02 | 2.21e+01 | 0.00e+00 |
|  24   |  224  |  131  | -1.0453e+03 | 2.01e-02 | 2.21e+01 | 0.00e+00 |
|  25   |  240  |  135  | -1.0453e+03 | 9.82e-03 | 2.21e+01 | 0.00e+00 |
|  26   |  256  |  140  | -1.0453e+03 | 4.91e-03 | 2.21e+01 | 0.00e+00 |
|  27   |  264  |  145  | -1.0455e+03 | 9.82e-03 | 2.20e+01 | 0.00e+00 |
|  28   |  280  |  150  | -1.0455e+03 | 4.91e-03 | 2.20e+01 | 0.00e+00 |
|  29   |  296  |  155  | -1.0455e+03 | 2.46e-03 | 2.20e+01 | 0.00e+00 |
|  30   |  304  |  160  | -1.0455e+03 | 2.46e-04 | 2.20e+01 | 0.00e+00 |
|  31   |  312  |  165  | -1.0455e+03 | 1.72e-03 | 2.20e+01 | 0.00e+00 |
|  32   |  328  |  170  | -1.0455e+03 | 1.72e-04 | 2.20e+01 | 0.00e+00 |
|  33   |  336  |  175  | -1.0455e+03 | 1.20e-03 | 2.20e+01 | 0.00e+00 |
|  34   |  344  |  180  | -1.0455e+03 | 1.37e-04 | 2.20e+01 | 0.00e+00 |
|  35   |  360  |  185  | -1.0455e+03 | 1.40e-05 | 2.20e+01 | 0.00e+00 |
|  36   |  368  |  190  | -1.0455e+03 | 9.82e-05 | 2.20e+01 | 0.00e+00 |
|  37   |  384  |  195  | -1.0455e+03 | 9.82e-06 | 2.20e+01 | 0.00e+00 |
|  38   |  392  |  200  | -1.0455e+03 | 6.87e-05 | 2.20e+01 | 0.00e+00 |
|  39   |  408  |  205  | -1.0455e+03 | 6.87e-06 | 2.20e+01 | 0.00e+00 |
|  40   |  416  |  210  | -1.0455e+03 | 4.81e-05 | 2.20e+01 | 0.00e+00 |
|  41   |  432  |  215  | -1.0455e+03 | 4.81e-06 | 2.20e+01 | 0.00e+00 |
|  42   |  440  |  220  | -1.0455e+03 | 3.37e-05 | 2.20e+01 | 0.00e+00 |
|  43   |  448  |  225  | -1.0455e+03 | 2.36e-04 | 2.20e+01 | 0.00e+00 |
|  44   |  464  |  230  | -1.0455e+03 | 2.36e-05 | 2.20e+01 | 0.00e+00 |
|  45   |  480  |  235  | -1.0455e+03 | 2.36e-06 | 2.20e+01 | 0.00e+00 |
|  46   |  488  |  239  | -1.0455e+03 | 1.65e-05 | 2.20e+01 | 0.00e+00 |
|  47   |  504  |  244  | -1.0455e+03 | 1.65e-06 | 2.20e+01 | 0.00e+00 |
|  48   |  512  |  248  | -1.0455e+03 | 1.16e-05 | 2.20e+01 | 0.00e+00 |
|  49   |  528  |  253  | -1.0455e+03 | 1.16e-06 | 2.20e+01 | 0.00e+00 |
|  50   |  544  |  258  | -1.0455e+03 | 1.16e-07 | 2.20e+01 | 0.00e+00 |
|  51   |  552  |  263  | -1.0455e+03 | 8.09e-07 | 2.20e+01 | 0.00e+00 |
|  52   |  568  |  268  | -1.0455e+03 | 8.09e-08 | 2.20e+01 | 0.00e+00 |
|  53   |  576  |  273  | -1.0455e+03 | 5.66e-07 | 2.20e+01 | 0.00e+00 |
|  54   |  584  |  278  | -1.0455e+03 | 3.96e-06 | 2.20e+01 | 0.00e+00 |
|  55   |  592  |  283  | -1.0455e+03 | 2.77e-05 | 2.20e+01 | 0.00e+00 |
|  56   |  600  |  288  | -1.0455e+03 | 2.77e-06 | 2.20e+01 | 0.00e+00 |
|  57   |  608  |  293  | -1.0455e+03 | 2.77e-07 | 2.20e+01 | 0.00e+00 |
|  58   |  616  |  297  | -1.0455e+03 | 1.94e-06 | 2.20e+01 | 0.00e+00 |
|  59   |  624  |  302  | -1.0455e+03 | 1.94e-07 | 2.20e+01 | 0.00e+00 |
