writing to logs/3/trust-constr/Brazil/2021_8_4_19_27
| niter |f evals|CG iter|  obj func   |tr radius |   opt    |  c viol  |
|-------|-------|-------|-------------|----------|----------|----------|
|   1   |   8   |   0   | +9.3542e+03 | 1.00e+00 | 1.47e+06 | 0.00e+00 |
|   2   |  16   |   1   | -3.1805e+02 | 1.00e+00 | 4.96e+02 | 3.05e-01 |
|   3   |  24   |   8   | -3.1844e+02 | 6.68e+00 | 2.24e+02 | 3.05e-01 |
|   4   |  32   |  15   | -3.1844e+02 | 6.68e-01 | 2.24e+02 | 3.05e-01 |
|   5   |  40   |  19   | -3.4542e+02 | 3.80e+00 | 1.42e+02 | 1.90e-01 |
|   6   |  48   |  23   | -3.8743e+02 | 5.78e+00 | 5.02e+01 | 6.17e-02 |
|   7   |  56   |  27   | -3.8694e+02 | 5.78e+00 | 8.48e+01 | 3.14e-03 |
|   8   |  64   |  31   | -2.8399e+02 | 5.84e+00 | 1.98e+02 | 0.00e+00 |
|   9   |  72   |  35   | -1.9715e+02 | 6.41e+00 | 2.76e+02 | 0.00e+00 |
|  10   |  80   |  39   | -1.9125e+02 | 6.41e+00 | 2.83e+02 | 0.00e+00 |
|  11   |  88   |  46   | -2.0271e+02 | 6.41e+00 | 2.94e+02 | 0.00e+00 |
|  12   |  96   |  53   | -2.8943e+02 | 6.41e+00 | 1.98e+02 | 0.00e+00 |
|  13   |  104  |  60   | -3.3325e+02 | 6.41e+00 | 1.46e+02 | 0.00e+00 |
|  14   |  112  |  67   | -3.6824e+02 | 6.41e+00 | 1.24e+02 | 0.00e+00 |
|  15   |  120  |  74   | -3.7159e+02 | 6.41e+00 | 1.29e+02 | 0.00e+00 |
|  16   |  136  |  81   | -3.7159e+02 | 6.41e-01 | 1.29e+02 | 0.00e+00 |
|  17   |  144  |  88   | -3.7159e+02 | 6.41e-01 | 1.29e+02 | 0.00e+00 |
|  18   |  152  |  95   | -3.8440e+02 | 3.32e+00 | 1.00e+02 | 0.00e+00 |
|  19   |  160  |  102  | -3.8711e+02 | 3.32e+00 | 9.00e+01 | 0.00e+00 |
|  20   |  168  |  109  | -3.8774e+02 | 3.32e+00 | 8.73e+01 | 0.00e+00 |
|  21   |  176  |  116  | -3.8944e+02 | 3.32e+00 | 9.63e+01 | 0.00e+00 |
|  22   |  184  |  123  | -3.9022e+02 | 3.32e+00 | 9.10e+01 | 0.00e+00 |
|  23   |  192  |  130  | -3.9063e+02 | 3.32e+00 | 8.37e+01 | 0.00e+00 |
|  24   |  200  |  137  | -3.9085e+02 | 3.32e+00 | 9.00e+01 | 0.00e+00 |
