writing to logs/AEJ_data/3/trust-constr/Bulgaria/2021_8_11_13_17
| niter |f evals|CG iter|  obj func   |tr radius |   opt    |  c viol  |
|-------|-------|-------|-------------|----------|----------|----------|
|   1   |   8   |   0   | +7.9998e+01 | 1.00e+00 | 2.53e+05 | 0.00e+00 |
|   2   |  16   |   1   | -5.3792e+01 | 1.00e+00 | 8.39e+01 | 2.46e-01 |
|   3   |  24   |   8   | -5.3892e+01 | 6.43e+00 | 3.37e+01 | 2.46e-01 |
|   4   |  32   |  15   | -5.3994e+01 | 8.91e+00 | 2.71e+01 | 2.46e-01 |
|   5   |  40   |  22   | -9.6198e+01 | 8.91e+00 | 2.60e+01 | 1.44e-01 |
|   6   |  48   |  29   | -1.4286e+02 | 9.09e+00 | 2.51e+01 | 1.28e-01 |
|   7   |  56   |  35   | -2.2990e+02 | 9.09e+00 | 2.39e+01 | 4.70e-02 |
|   8   |  64   |  39   | -3.0136e+02 | 9.09e+00 | 2.29e+01 | 6.78e-03 |
|   9   |  72   |  43   | -3.1751e+02 | 9.09e+00 | 2.25e+01 | 0.00e+00 |
|  10   |  80   |  47   | -3.1752e+02 | 9.09e+00 | 2.25e+01 | 0.00e+00 |
|  11   |  88   |  51   | -3.1752e+02 | 9.09e+00 | 2.25e+01 | 0.00e+00 |
|  12   |  96   |  56   | -3.2420e+02 | 9.09e+00 | 2.33e+01 | 0.00e+00 |
|  13   |  104  |  61   | -3.3139e+02 | 9.09e+00 | 2.34e+01 | 0.00e+00 |
|  14   |  112  |  66   | -3.8305e+02 | 1.12e+01 | 2.19e+01 | 0.00e+00 |
|  15   |  128  |  71   | -3.8305e+02 | 1.12e+00 | 2.19e+01 | 0.00e+00 |
|  16   |  136  |  75   | -3.8306e+02 | 1.12e+00 | 2.19e+01 | 0.00e+00 |
|  17   |  144  |  79   | -3.8306e+02 | 1.12e+00 | 2.19e+01 | 0.00e+00 |
|  18   |  152  |  84   | -3.8489e+02 | 1.12e+00 | 2.34e+01 | 0.00e+00 |
|  19   |  160  |  89   | -3.8642e+02 | 1.12e+00 | 2.55e+01 | 0.00e+00 |
|  20   |  168  |  94   | -3.8752e+02 | 1.12e+00 | 3.13e+01 | 0.00e+00 |
|  21   |  176  |  99   | -3.8804e+02 | 1.12e+00 | 2.86e+01 | 0.00e+00 |
|  22   |  184  |  104  | -3.8813e+02 | 1.12e+00 | 2.81e+01 | 0.00e+00 |
|  23   |  192  |  107  | -3.8813e+02 | 1.12e+00 | 2.81e+01 | 0.00e+00 |
|  24   |  200  |  112  | -3.9522e+02 | 4.62e+00 | 2.73e+01 | 0.00e+00 |
|  25   |  208  |  117  | -3.9543e+02 | 4.62e+00 | 2.68e+01 | 0.00e+00 |
|  26   |  216  |  122  | -3.9661e+02 | 4.62e+00 | 2.13e+01 | 0.00e+00 |
|  27   |  224  |  126  | -3.9670e+02 | 4.62e+00 | 2.22e+01 | 0.00e+00 |
|  28   |  232  |  130  | -3.9670e+02 | 4.62e+00 | 2.25e+01 | 0.00e+00 |
|  29   |  240  |  132  | -3.9670e+02 | 4.62e+00 | 2.24e+01 | 0.00e+00 |
|  30   |  248  |  134  | -3.9670e+02 | 4.62e+00 | 2.23e+01 | 0.00e+00 |
|  31   |  256  |  139  | -4.0260e+02 | 4.62e+00 | 2.66e+01 | 0.00e+00 |
|  32   |  264  |  143  | -4.0274e+02 | 4.62e+00 | 2.65e+01 | 0.00e+00 |
|  33   |  272  |  148  | -4.0646e+02 | 4.62e+00 | 2.51e+01 | 0.00e+00 |
|  34   |  280  |  153  | -4.1061e+02 | 4.62e+00 | 3.76e+01 | 0.00e+00 |
|  35   |  288  |  158  | -4.2098e+02 | 4.62e+00 | 3.71e+01 | 0.00e+00 |
