writing to logs/AEJ_data/3/trust-constr/Croatia/2021_8_11_13_17
| niter |f evals|CG iter|  obj func   |tr radius |   opt    |  c viol  |
|-------|-------|-------|-------------|----------|----------|----------|
|   1   |   8   |   0   | +7.7909e+02 | 1.00e+00 | 9.49e+05 | 0.00e+00 |
|   2   |  16   |   1   | -7.8557e+01 | 1.00e+00 | 1.09e+02 | 2.71e-01 |
|   3   |  24   |   8   | -7.8598e+01 | 6.52e+00 | 4.61e+01 | 2.71e-01 |
|   4   |  32   |  15   | -7.0968e+01 | 9.15e+00 | 2.81e+01 | 2.39e-01 |
|   5   |  40   |  22   | -1.1255e+02 | 9.15e+00 | 2.69e+01 | 1.30e-01 |
|   6   |  48   |  28   | -2.0582e+02 | 9.78e+00 | 2.57e+01 | 5.33e-02 |
|   7   |  56   |  34   | -2.8476e+02 | 9.78e+00 | 2.48e+01 | 1.46e-02 |
|   8   |  64   |  39   | -3.2744e+02 | 9.78e+00 | 2.41e+01 | 0.00e+00 |
|   9   |  72   |  42   | -3.2744e+02 | 9.78e+00 | 2.41e+01 | 0.00e+00 |
|  10   |  80   |  47   | -3.2744e+02 | 9.78e-01 | 2.41e+01 | 0.00e+00 |
|  11   |  88   |  50   | -3.2744e+02 | 9.78e-01 | 2.41e+01 | 0.00e+00 |
|  12   |  96   |  53   | -3.2744e+02 | 9.78e-01 | 2.41e+01 | 0.00e+00 |
|  13   |  104  |  58   | -3.3161e+02 | 3.99e+00 | 2.61e+01 | 0.00e+00 |
|  14   |  112  |  63   | -3.3231e+02 | 3.99e+00 | 2.64e+01 | 0.00e+00 |
|  15   |  120  |  68   | -3.3276e+02 | 3.99e+00 | 2.83e+01 | 0.00e+00 |
|  16   |  128  |  73   | -3.3432e+02 | 3.99e+00 | 2.87e+01 | 0.00e+00 |
|  17   |  136  |  78   | -3.3463e+02 | 3.99e+00 | 3.05e+01 | 0.00e+00 |
|  18   |  144  |  83   | -3.3575e+02 | 3.99e+00 | 2.92e+01 | 0.00e+00 |
|  19   |  152  |  88   | -3.3581e+02 | 3.99e+00 | 2.98e+01 | 0.00e+00 |
|  20   |  160  |  93   | -3.3581e+02 | 3.99e+00 | 2.96e+01 | 0.00e+00 |
|  21   |  168  |  96   | -3.3581e+02 | 3.99e+00 | 2.96e+01 | 0.00e+00 |
|  22   |  176  |  101  | -3.3730e+02 | 3.99e+00 | 3.03e+01 | 0.00e+00 |
|  23   |  184  |  106  | -3.3981e+02 | 3.99e+00 | 3.24e+01 | 0.00e+00 |
|  24   |  192  |  111  | -3.4376e+02 | 3.99e+00 | 3.23e+01 | 0.00e+00 |
|  25   |  208  |  116  | -3.4376e+02 | 8.54e-01 | 3.23e+01 | 0.00e+00 |
|  26   |  216  |  121  | -3.4691e+02 | 1.79e+00 | 3.11e+01 | 0.00e+00 |
|  27   |  224  |  126  | -3.4904e+02 | 1.79e+00 | 3.06e+01 | 0.00e+00 |
|  28   |  232  |  131  | -3.5094e+02 | 1.79e+00 | 2.91e+01 | 0.00e+00 |
|  29   |  240  |  136  | -3.5333e+02 | 3.71e+00 | 2.90e+01 | 0.00e+00 |
|  30   |  248  |  141  | -3.5343e+02 | 3.71e+00 | 2.78e+01 | 0.00e+00 |
|  31   |  256  |  146  | -3.5352e+02 | 3.71e+00 | 2.77e+01 | 0.00e+00 |
|  32   |  264  |  151  | -3.5384e+02 | 3.71e+00 | 2.91e+01 | 0.00e+00 |
|  33   |  272  |  155  | -3.5394e+02 | 3.71e+00 | 3.09e+01 | 0.00e+00 |
|  34   |  280  |  159  | -3.5396e+02 | 3.71e+00 | 3.19e+01 | 0.00e+00 |
|  35   |  288  |  162  | -3.5396e+02 | 3.71e+00 | 3.19e+01 | 0.00e+00 |
|  36   |  296  |  165  | -3.5396e+02 | 3.71e+00 | 3.19e+01 | 0.00e+00 |
|  37   |  304  |  168  | -3.5396e+02 | 3.71e+00 | 3.19e+01 | 0.00e+00 |
|  38   |  320  |  172  | -3.5396e+02 | 3.71e-01 | 3.19e+01 | 0.00e+00 |
|  39   |  328  |  177  | -3.6788e+02 | 2.60e+00 | 2.75e+01 | 0.00e+00 |
|  40   |  344  |  182  | -3.6788e+02 | 1.27e+00 | 2.75e+01 | 0.00e+00 |
|  41   |  352  |  189  | -3.7801e+02 | 3.61e+00 | 3.17e+01 | 0.00e+00 |
|  42   |  360  |  196  | -3.7898e+02 | 3.61e+00 | 3.09e+01 | 0.00e+00 |
|  43   |  368  |  203  | -3.7907e+02 | 3.61e+00 | 3.07e+01 | 0.00e+00 |
|  44   |  376  |  210  | -3.7924e+02 | 3.61e+00 | 3.04e+01 | 0.00e+00 |
|  45   |  384  |  217  | -3.7972e+02 | 3.61e+00 | 3.01e+01 | 0.00e+00 |
|  46   |  392  |  224  | -3.8052e+02 | 3.61e+00 | 3.02e+01 | 0.00e+00 |
|  47   |  400  |  231  | -3.8124e+02 | 3.61e+00 | 3.15e+01 | 0.00e+00 |
|  48   |  408  |  238  | -3.8148e+02 | 3.61e+00 | 3.26e+01 | 0.00e+00 |
|  49   |  416  |  245  | -3.8152e+02 | 3.61e+00 | 3.28e+01 | 0.00e+00 |
|  50   |  424  |  250  | -3.8153e+02 | 3.61e+00 | 3.30e+01 | 0.00e+00 |
|  51   |  432  |  254  | -3.8154e+02 | 3.61e+00 | 3.30e+01 | 0.00e+00 |
|  52   |  440  |  261  | -4.1131e+02 | 6.71e+00 | 5.52e+01 | 0.00e+00 |
|  53   |  448  |  268  | -4.1505e+02 | 6.71e+00 | 3.61e+01 | 0.00e+00 |
|  54   |  456  |  275  | -4.2448e+02 | 6.71e+00 | 1.10e+01 | 0.00e+00 |
|  55   |  472  |  282  | -4.2448e+02 | 6.71e-01 | 1.10e+01 | 0.00e+00 |
|  56   |  480  |  289  | -4.2646e+02 | 7.36e-01 | 6.26e+00 | 0.00e+00 |
|  57   |  488  |  296  | -4.2674e+02 | 7.36e-01 | 5.52e+00 | 0.00e+00 |
|  58   |  504  |  303  | -4.2674e+02 | 1.05e-01 | 5.52e+00 | 0.00e+00 |
