writing to logs/3/trust-constr/Mexico/2021_8_4_19_27
| niter |f evals|CG iter|  obj func   |tr radius |   opt    |  c viol  |
|-------|-------|-------|-------------|----------|----------|----------|
|   1   |   8   |   0   | -3.6025e+02 | 1.00e+00 | 5.78e+05 | 0.00e+00 |
|   2   |  16   |   1   | -3.6025e+02 | 5.00e-01 | 5.78e+05 | 0.00e+00 |
|   3   |  24   |   2   | -4.3653e+02 | 5.00e-01 | 1.45e+04 | 1.23e-01 |
|   4   |  32   |   9   | -4.3653e+02 | 2.50e-01 | 1.45e+04 | 1.23e-01 |
|   5   |  40   |  16   | -4.3653e+02 | 1.25e-01 | 1.45e+04 | 1.23e-01 |
|   6   |  48   |  22   | -4.3653e+02 | 6.25e-02 | 1.45e+04 | 1.23e-01 |
|   7   |  56   |  28   | -4.3653e+02 | 3.12e-02 | 1.45e+04 | 1.23e-01 |
|   8   |  64   |  29   | -4.3653e+02 | 1.56e-02 | 1.45e+04 | 1.23e-01 |
|   9   |  72   |  30   | -4.3653e+02 | 7.81e-03 | 1.45e+04 | 1.23e-01 |
|  10   |  80   |  31   | -4.3653e+02 | 3.91e-03 | 1.45e+04 | 1.23e-01 |
|  11   |  88   |  32   | -4.3653e+02 | 1.95e-03 | 1.45e+04 | 1.23e-01 |
|  12   |  96   |  33   | -4.4327e+02 | 1.95e-03 | 2.81e+03 | 1.23e-01 |
|  13   |  104  |  34   | -4.4327e+02 | 7.36e-04 | 2.81e+03 | 1.23e-01 |
|  14   |  112  |  36   | -4.4453e+02 | 5.16e-03 | 1.59e+03 | 1.23e-01 |
|  15   |  120  |  40   | -4.4829e+02 | 3.61e-02 | 1.12e+03 | 1.23e-01 |
|  16   |  128  |  45   | -4.6849e+02 | 2.53e-01 | 1.18e+04 | 1.21e-01 |
|  17   |  136  |  52   | -5.1103e+02 | 1.77e+00 | 2.57e+04 | 3.89e-02 |
|  18   |  144  |  59   | -5.1103e+02 | 1.77e-01 | 2.57e+04 | 3.89e-02 |
|  19   |  152  |  63   | -5.2388e+02 | 9.94e-01 | 1.14e+03 | 3.86e-02 |
|  20   |  160  |  67   | -5.3108e+02 | 5.70e+00 | 8.69e+03 | 2.41e-02 |
|  21   |  168  |  71   | -5.7740e+02 | 7.15e+00 | 3.43e+03 | 0.00e+00 |
|  22   |  176  |  73   | -6.0433e+02 | 7.15e+00 | 6.71e+02 | 0.00e+00 |
|  23   |  184  |  75   | -6.0232e+02 | 7.15e+00 | 5.60e+02 | 0.00e+00 |
|  24   |  192  |  77   | -5.9483e+02 | 7.15e+00 | 4.53e+02 | 0.00e+00 |
|  25   |  200  |  81   | -5.5722e+02 | 7.15e+00 | 1.83e+02 | 0.00e+00 |
|  26   |  208  |  85   | -5.5722e+02 | 7.15e-01 | 1.83e+02 | 0.00e+00 |
|  27   |  208  |  89   | -5.5722e+02 | 7.15e-02 | 1.83e+02 | 0.00e+00 |
|  28   |  216  |  90   | -5.4715e+02 | 4.01e-01 | 1.27e+02 | 0.00e+00 |
|  29   |  224  |  92   | +1.1656e+02 | 2.81e+00 | 7.79e+02 | 0.00e+00 |
|  30   |  232  |  96   | +6.2311e+02 | 2.81e+00 | 1.30e+03 | 0.00e+00 |
|  31   |  240  |  103  | +5.2067e+02 | 2.81e+00 | 1.02e+03 | 0.00e+00 |
|  32   |  248  |  110  | -4.5220e+02 | 7.68e+00 | 1.68e+01 | 0.00e+00 |
|  33   |  256  |  117  | -4.6587e+02 | 7.68e+00 | 1.69e+01 | 0.00e+00 |
|  34   |  264  |  124  | -4.8269e+02 | 7.68e+00 | 1.61e+01 | 0.00e+00 |
|  35   |  272  |  131  | -5.0420e+02 | 7.68e+00 | 1.50e+01 | 0.00e+00 |
|  36   |  280  |  138  | -5.3291e+02 | 7.68e+00 | 1.29e+01 | 0.00e+00 |
|  37   |  288  |  145  | -5.7272e+02 | 7.68e+00 | 9.41e+00 | 0.00e+00 |
|  38   |  296  |  152  | -6.3881e+02 | 7.68e+00 | 2.74e+01 | 0.00e+00 |
|  39   |  304  |  159  | -7.0250e+02 | 7.68e+00 | 1.35e+02 | 0.00e+00 |
|  40   |  312  |  166  | -7.3392e+02 | 7.68e+00 | 6.23e+02 | 0.00e+00 |
