writing to logs/AEJ_data/3/trust-constr/Russia/2021_8_10_23_30
| niter |f evals|CG iter|  obj func   |tr radius |   opt    |  c viol  |
|-------|-------|-------|-------------|----------|----------|----------|
|   1   |   8   |   0   | -2.6618e+02 | 1.00e+00 | 7.23e+04 | 0.00e+00 |
|   2   |  16   |   1   | -2.6618e+02 | 5.00e-01 | 7.23e+04 | 0.00e+00 |
|   3   |  24   |   2   | -2.6618e+02 | 2.50e-01 | 7.23e+04 | 0.00e+00 |
|   4   |  32   |   3   | -2.6618e+02 | 1.25e-01 | 7.23e+04 | 0.00e+00 |
|   5   |  40   |   4   | -3.6413e+02 | 1.25e-01 | 9.22e+02 | 0.00e+00 |
|   6   |  48   |   9   | -3.8125e+02 | 7.03e-01 | 1.03e+03 | 0.00e+00 |
|   7   |  56   |  14   | -4.0157e+02 | 3.97e+00 | 9.88e+02 | 0.00e+00 |
|   8   |  64   |  19   | -4.2412e+02 | 8.44e+00 | 3.80e+02 | 0.00e+00 |
|   9   |  72   |  26   | -4.5212e+02 | 8.44e+00 | 1.29e+02 | 0.00e+00 |
|  10   |  80   |  33   | -4.8926e+02 | 8.44e+00 | 4.18e+01 | 0.00e+00 |
|  11   |  88   |  40   | -5.2508e+02 | 8.44e+00 | 1.36e+02 | 0.00e+00 |
|  12   |  96   |  47   | -5.5070e+02 | 8.44e+00 | 1.46e+02 | 0.00e+00 |
|  13   |  104  |  54   | -5.7702e+02 | 8.44e+00 | 2.66e+02 | 0.00e+00 |
|  14   |  112  |  60   | -5.7702e+02 | 8.44e-01 | 2.66e+02 | 0.00e+00 |
|  15   |  128  |  67   | -5.7702e+02 | 4.22e-01 | 2.66e+02 | 0.00e+00 |
|  16   |  136  |  74   | -5.8033e+02 | 4.86e-01 | 2.15e+02 | 0.00e+00 |
|  17   |  144  |  81   | -5.8034e+02 | 4.86e-01 | 2.16e+02 | 0.00e+00 |
|  18   |  152  |  88   | -5.8083e+02 | 4.86e-01 | 2.14e+02 | 0.00e+00 |
|  19   |  160  |  94   | -6.0096e+02 | 3.40e+00 | 1.58e+02 | 0.00e+00 |
|  20   |  168  |  101  | -6.2279e+02 | 4.21e+00 | 1.98e+02 | 0.00e+00 |
|  21   |  176  |  108  | -6.3255e+02 | 4.21e+00 | 1.15e+02 | 0.00e+00 |
|  22   |  184  |  115  | -6.3984e+02 | 4.21e+00 | 1.94e+02 | 0.00e+00 |
|  23   |  200  |  122  | -6.3984e+02 | 4.21e-01 | 1.94e+02 | 0.00e+00 |
|  24   |  208  |  128  | -6.3984e+02 | 4.21e-02 | 1.94e+02 | 0.00e+00 |
|  25   |  216  |  134  | -6.4201e+02 | 2.94e-01 | 1.65e+02 | 0.00e+00 |
|  26   |  224  |  140  | -6.4511e+02 | 5.89e-01 | 2.25e+01 | 0.00e+00 |
|  27   |  232  |  147  | -6.4579e+02 | 5.89e-01 | 4.65e+01 | 0.00e+00 |
|  28   |  240  |  154  | -6.4588e+02 | 5.89e-01 | 6.26e+01 | 0.00e+00 |
|  29   |  248  |  159  | -6.4588e+02 | 5.89e-01 | 6.26e+01 | 0.00e+00 |
|  30   |  264  |  166  | -6.4588e+02 | 5.89e-02 | 6.26e+01 | 0.00e+00 |
|  31   |  272  |  171  | -6.4659e+02 | 4.12e-01 | 6.03e+01 | 0.00e+00 |
|  32   |  280  |  178  | -6.4809e+02 | 1.77e+00 | 3.47e+01 | 0.00e+00 |
|  33   |  288  |  185  | -6.4857e+02 | 1.77e+00 | 7.22e+01 | 0.00e+00 |
|  34   |  296  |  192  | -6.4867e+02 | 1.77e+00 | 6.69e+01 | 0.00e+00 |
|  35   |  304  |  199  | -6.4875e+02 | 1.77e+00 | 7.06e+01 | 0.00e+00 |
|  36   |  312  |  206  | -6.4878e+02 | 1.77e+00 | 6.54e+01 | 0.00e+00 |
|  37   |  320  |  213  | -6.4879e+02 | 1.77e+00 | 7.10e+01 | 0.00e+00 |
|  38   |  328  |  220  | -6.4880e+02 | 1.77e+00 | 6.62e+01 | 0.00e+00 |
|  39   |  336  |  223  | -6.4880e+02 | 1.77e+00 | 6.62e+01 | 0.00e+00 |
