writing to logs/3/trust-constr/Russia/2021_8_4_19_27
| niter |f evals|CG iter|  obj func   |tr radius |   opt    |  c viol  |
|-------|-------|-------|-------------|----------|----------|----------|
|   1   |   8   |   0   | -2.7762e+02 | 1.00e+00 | 2.17e+05 | 0.00e+00 |
|   2   |  16   |   1   | -2.7255e+02 | 1.00e+00 | 1.01e+03 | 3.02e-01 |
|   3   |  24   |   8   | -2.7300e+02 | 6.62e+00 | 9.23e+02 | 3.01e-01 |
|   4   |  32   |  15   | -2.7300e+02 | 6.62e-01 | 9.23e+02 | 3.01e-01 |
|   5   |  40   |  16   | -2.7702e+02 | 3.86e+00 | 4.19e+02 | 1.88e-01 |
|   6   |  48   |  17   | -3.0602e+02 | 6.14e+00 | 9.89e+01 | 5.44e-02 |
|   7   |  56   |  18   | -3.6127e+02 | 6.14e+00 | 3.01e+01 | 0.00e+00 |
|   8   |  64   |  19   | -3.9875e+02 | 6.19e+00 | 1.72e+01 | 0.00e+00 |
|   9   |  72   |  20   | -4.0635e+02 | 6.70e+00 | 1.70e+01 | 0.00e+00 |
|  10   |  80   |  21   | -4.0572e+02 | 6.70e+00 | 1.74e+01 | 0.00e+00 |
|  11   |  88   |  28   | -4.2155e+02 | 6.70e+00 | 1.68e+01 | 0.00e+00 |
|  12   |  96   |  35   | -4.4030e+02 | 6.70e+00 | 1.66e+01 | 0.00e+00 |
|  13   |  104  |  42   | -4.6297e+02 | 6.70e+00 | 1.58e+01 | 0.00e+00 |
|  14   |  112  |  49   | -4.9095e+02 | 6.70e+00 | 1.49e+01 | 0.00e+00 |
|  15   |  120  |  56   | -5.2636e+02 | 6.70e+00 | 1.32e+01 | 0.00e+00 |
|  16   |  128  |  63   | -5.7144e+02 | 6.70e+00 | 2.00e+01 | 0.00e+00 |
|  17   |  136  |  70   | -6.2615e+02 | 6.70e+00 | 3.24e+01 | 0.00e+00 |
|  18   |  144  |  77   | -6.7977e+02 | 6.70e+00 | 1.63e+01 | 0.00e+00 |
|  19   |  152  |  84   | -7.1078e+02 | 6.70e+00 | 1.41e+02 | 0.00e+00 |
|  20   |  168  |  91   | -7.1078e+02 | 6.70e-01 | 1.41e+02 | 0.00e+00 |
|  21   |  184  |  98   | -7.1078e+02 | 7.44e-02 | 1.41e+02 | 0.00e+00 |
|  22   |  192  |  103  | -7.1674e+02 | 1.49e-01 | 9.02e+01 | 0.00e+00 |
|  23   |  208  |  110  | -7.1674e+02 | 1.49e-02 | 9.02e+01 | 0.00e+00 |
|  24   |  216  |  117  | -7.1692e+02 | 3.10e-02 | 7.61e+01 | 0.00e+00 |
|  25   |  224  |  124  | -7.1699e+02 | 3.10e-02 | 6.68e+01 | 0.00e+00 |
|  26   |  232  |  131  | -7.1715e+02 | 9.10e-02 | 3.59e+01 | 0.00e+00 |
|  27   |  240  |  138  | -7.1727e+02 | 9.10e-02 | 6.65e+01 | 0.00e+00 |
