writing to logs/AEJ_data/3/trust-constr/Turkey/2021_8_11_13_17
| niter |f evals|CG iter|  obj func   |tr radius |   opt    |  c viol  |
|-------|-------|-------|-------------|----------|----------|----------|
|   1   |   8   |   0   | +1.8201e+02 | 1.00e+00 | 1.58e+05 | 0.00e+00 |
|   2   |  16   |   1   | -1.3101e+02 | 1.00e+00 | 2.70e+02 | 2.98e-01 |
|   3   |  24   |   7   | -1.3200e+02 | 6.54e+00 | 1.36e+02 | 2.98e-01 |
|   4   |  32   |  14   | -1.1836e+02 | 9.02e+00 | 3.14e+01 | 2.57e-01 |
|   5   |  40   |  21   | -1.6149e+02 | 9.23e+00 | 2.95e+01 | 1.37e-01 |
|   6   |  48   |  27   | -1.9964e+02 | 9.23e+00 | 2.90e+01 | 6.99e-02 |
|   7   |  56   |  33   | -2.3852e+02 | 9.23e+00 | 2.82e+01 | 2.96e-02 |
|   8   |  64   |  38   | -3.0475e+02 | 9.23e+00 | 2.49e+01 | 2.62e-03 |
|   9   |  72   |  43   | -3.1267e+02 | 9.23e+00 | 2.43e+01 | 0.00e+00 |
|  10   |  80   |  48   | -3.1267e+02 | 9.23e+00 | 2.43e+01 | 0.00e+00 |
|  11   |  88   |  53   | -3.1841e+02 | 9.23e+00 | 2.77e+01 | 0.00e+00 |
|  12   |  96   |  58   | -3.1841e+02 | 9.23e-01 | 2.77e+01 | 0.00e+00 |
|  13   |  104  |  63   | -3.1869e+02 | 9.23e-01 | 2.82e+01 | 0.00e+00 |
|  14   |  112  |  68   | -3.1879e+02 | 9.23e-01 | 2.86e+01 | 0.00e+00 |
|  15   |  120  |  73   | -3.1885e+02 | 9.23e-01 | 2.92e+01 | 0.00e+00 |
|  16   |  128  |  78   | -3.1886e+02 | 9.23e-01 | 2.88e+01 | 0.00e+00 |
|  17   |  136  |  82   | -3.1886e+02 | 9.23e-01 | 2.88e+01 | 0.00e+00 |
|  18   |  144  |  87   | -3.3633e+02 | 5.53e+00 | 1.42e+01 | 0.00e+00 |
|  19   |  160  |  92   | -3.3633e+02 | 5.53e-01 | 1.42e+01 | 0.00e+00 |
|  20   |  168  |  97   | -3.3838e+02 | 8.74e-01 | 1.10e+01 | 0.00e+00 |
|  21   |  176  |  102  | -3.3924e+02 | 8.74e-01 | 1.35e+01 | 0.00e+00 |
|  22   |  184  |  107  | -3.4095e+02 | 1.65e+00 | 9.75e+00 | 0.00e+00 |
|  23   |  200  |  112  | -3.4095e+02 | 1.65e-01 | 9.75e+00 | 0.00e+00 |
|  24   |  208  |  117  | -3.4169e+02 | 5.77e-01 | 1.28e+01 | 0.00e+00 |
|  25   |  216  |  122  | -3.4192e+02 | 5.77e-01 | 1.60e+01 | 0.00e+00 |
|  26   |  224  |  127  | -3.4201e+02 | 5.77e-01 | 1.78e+01 | 0.00e+00 |
|  27   |  232  |  132  | -3.4203e+02 | 5.77e-01 | 1.33e+01 | 0.00e+00 |
|  28   |  240  |  137  | -3.4228e+02 | 5.77e-01 | 1.95e+01 | 0.00e+00 |
|  29   |  248  |  142  | -3.4232e+02 | 5.77e-01 | 1.80e+01 | 0.00e+00 |
|  30   |  256  |  147  | -3.4234e+02 | 5.77e-01 | 1.80e+01 | 0.00e+00 |
|  31   |  264  |  151  | -3.4234e+02 | 5.77e-01 | 1.85e+01 | 0.00e+00 |
|  32   |  272  |  155  | -3.4235e+02 | 5.77e-01 | 1.87e+01 | 0.00e+00 |
|  33   |  280  |  158  | -3.4235e+02 | 5.77e-01 | 1.87e+01 | 0.00e+00 |
|  34   |  288  |  161  | -3.4235e+02 | 5.77e-01 | 1.87e+01 | 0.00e+00 |
|  35   |  296  |  165  | -3.4744e+02 | 4.04e+00 | 1.56e+01 | 0.00e+00 |
|  36   |  304  |  170  | -3.4912e+02 | 4.04e+00 | 9.80e+00 | 0.00e+00 |
|  37   |  312  |  175  | -3.5049e+02 | 4.04e+00 | 1.91e+01 | 0.00e+00 |
|  38   |  320  |  180  | -3.5057e+02 | 4.04e+00 | 2.06e+01 | 0.00e+00 |
|  39   |  328  |  185  | -3.5059e+02 | 4.04e+00 | 2.08e+01 | 0.00e+00 |
|  40   |  336  |  188  | -3.5060e+02 | 4.04e+00 | 2.05e+01 | 0.00e+00 |
|  41   |  344  |  190  | -3.5060e+02 | 4.04e+00 | 2.05e+01 | 0.00e+00 |
|  42   |  352  |  195  | -3.5060e+02 | 4.04e-01 | 2.05e+01 | 0.00e+00 |
|  43   |  360  |  198  | -3.5874e+02 | 2.83e+00 | 1.32e+01 | 0.00e+00 |
|  44   |  368  |  204  | -3.9737e+02 | 1.29e+01 | 2.87e+01 | 0.00e+00 |
|  45   |  376  |  210  | -4.1907e+02 | 1.29e+01 | 1.71e+02 | 0.00e+00 |
|  46   |  384  |  216  | -4.5456e+02 | 1.29e+01 | 3.36e+01 | 0.00e+00 |
|  47   |  392  |  222  | -5.0113e+02 | 1.33e+01 | 1.20e+01 | 0.00e+00 |
|  48   |  408  |  228  | -5.0113e+02 | 1.33e+00 | 1.20e+01 | 0.00e+00 |
|  49   |  416  |  235  | -5.0937e+02 | 2.42e+00 | 1.08e+01 | 0.00e+00 |
|  50   |  424  |  242  | -5.1445e+02 | 2.42e+00 | 3.45e+01 | 0.00e+00 |
|  51   |  432  |  249  | -5.1838e+02 | 2.42e+00 | 1.86e+02 | 0.00e+00 |
|  52   |  440  |  255  | -5.3204e+02 | 2.42e+00 | 3.52e+01 | 0.00e+00 |
|  53   |  456  |  262  | -5.3204e+02 | 4.78e-01 | 3.52e+01 | 0.00e+00 |
|  54   |  464  |  269  | -5.3370e+02 | 3.35e+00 | 1.99e+01 | 0.00e+00 |
|  55   |  472  |  276  | -5.3408e+02 | 3.35e+00 | 4.95e+01 | 0.00e+00 |
|  56   |  488  |  283  | -5.3408e+02 | 3.35e-01 | 4.95e+01 | 0.00e+00 |
|  57   |  496  |  290  | -5.3408e+02 | 1.29e-01 | 4.95e+01 | 0.00e+00 |
|  58   |  512  |  295  | -5.3408e+02 | 6.44e-02 | 4.95e+01 | 0.00e+00 |
