writing to logs/AEJ_data/4/trust-constr/Chile/2021_8_11_13_17
| niter |f evals|CG iter|  obj func   |tr radius |   opt    |  c viol  |
|-------|-------|-------|-------------|----------|----------|----------|
|   1   |   8   |   0   | -2.9317e+02 | 1.00e+00 | 4.23e+05 | 0.00e+00 |
|   2   |  16   |   1   | -2.9317e+02 | 5.00e-01 | 4.23e+05 | 0.00e+00 |
|   3   |  24   |   2   | -2.9317e+02 | 2.50e-01 | 4.23e+05 | 0.00e+00 |
|   4   |  32   |   3   | -3.0779e+02 | 2.50e-01 | 6.23e+02 | 2.50e-02 |
|   5   |  40   |   8   | -3.0894e+02 | 1.40e+00 | 6.27e+02 | 2.48e-02 |
|   6   |  48   |  13   | -3.0997e+02 | 8.06e+00 | 2.31e+02 | 2.45e-02 |
|   7   |  56   |  19   | -3.1102e+02 | 8.06e+00 | 7.32e+01 | 2.43e-02 |
|   8   |  64   |  26   | -3.1204e+02 | 8.06e+00 | 2.91e+01 | 2.41e-02 |
|   9   |  72   |  33   | -3.1312e+02 | 8.06e+00 | 2.86e+01 | 2.38e-02 |
|  10   |  80   |  40   | -3.1426e+02 | 8.06e+00 | 2.83e+01 | 2.36e-02 |
|  11   |  88   |  47   | -3.3578e+02 | 8.92e+00 | 2.80e+01 | 6.67e-03 |
|  12   |  96   |  53   | -3.4740e+02 | 8.92e+00 | 2.79e+01 | 0.00e+00 |
|  13   |  104  |  59   | -3.4836e+02 | 8.92e+00 | 2.79e+01 | 0.00e+00 |
|  14   |  112  |  65   | -3.4934e+02 | 8.92e+00 | 2.79e+01 | 0.00e+00 |
|  15   |  120  |  71   | -3.5035e+02 | 8.92e+00 | 2.79e+01 | 0.00e+00 |
|  16   |  128  |  77   | -3.5138e+02 | 8.92e+00 | 2.79e+01 | 0.00e+00 |
|  17   |  136  |  83   | -3.5244e+02 | 8.92e+00 | 2.78e+01 | 0.00e+00 |
|  18   |  144  |  89   | -3.5352e+02 | 8.92e+00 | 2.78e+01 | 0.00e+00 |
|  19   |  152  |  95   | -3.5463e+02 | 8.92e+00 | 2.78e+01 | 0.00e+00 |
|  20   |  160  |  101  | -3.5577e+02 | 8.92e+00 | 2.78e+01 | 0.00e+00 |
|  21   |  168  |  107  | -3.5694e+02 | 8.92e+00 | 2.78e+01 | 0.00e+00 |
|  22   |  176  |  113  | -3.5814e+02 | 8.92e+00 | 2.78e+01 | 0.00e+00 |
|  23   |  184  |  119  | -3.5937e+02 | 8.92e+00 | 2.78e+01 | 0.00e+00 |
|  24   |  192  |  125  | -3.6064e+02 | 8.92e+00 | 2.78e+01 | 0.00e+00 |
|  25   |  200  |  131  | -3.6195e+02 | 8.92e+00 | 2.78e+01 | 0.00e+00 |
|  26   |  208  |  137  | -3.6330e+02 | 8.92e+00 | 2.78e+01 | 0.00e+00 |
|  27   |  216  |  143  | -3.6470e+02 | 8.92e+00 | 2.77e+01 | 0.00e+00 |
|  28   |  224  |  149  | -3.6614e+02 | 8.92e+00 | 2.77e+01 | 0.00e+00 |
|  29   |  232  |  155  | -3.6763e+02 | 8.92e+00 | 2.77e+01 | 0.00e+00 |
|  30   |  240  |  161  | -3.6917e+02 | 8.92e+00 | 2.77e+01 | 0.00e+00 |
|  31   |  248  |  167  | -3.7076e+02 | 8.92e+00 | 2.77e+01 | 0.00e+00 |
|  32   |  256  |  173  | -3.7242e+02 | 8.92e+00 | 2.77e+01 | 0.00e+00 |
|  33   |  264  |  179  | -3.7415e+02 | 8.92e+00 | 2.77e+01 | 0.00e+00 |
|  34   |  272  |  185  | -3.7594e+02 | 8.92e+00 | 2.77e+01 | 0.00e+00 |
|  35   |  280  |  191  | -3.7781e+02 | 8.92e+00 | 2.77e+01 | 0.00e+00 |
|  36   |  288  |  197  | -3.7976e+02 | 8.92e+00 | 2.76e+01 | 0.00e+00 |
|  37   |  296  |  203  | -3.8181e+02 | 8.92e+00 | 2.76e+01 | 0.00e+00 |
|  38   |  304  |  209  | -3.8395e+02 | 8.92e+00 | 2.76e+01 | 0.00e+00 |
|  39   |  312  |  215  | -3.8620e+02 | 8.92e+00 | 2.76e+01 | 0.00e+00 |
|  40   |  320  |  221  | -3.8857e+02 | 8.92e+00 | 2.76e+01 | 0.00e+00 |
|  41   |  328  |  227  | -3.9108e+02 | 8.92e+00 | 2.76e+01 | 0.00e+00 |
|  42   |  336  |  233  | -3.9373e+02 | 8.92e+00 | 2.76e+01 | 0.00e+00 |
|  43   |  344  |  239  | -3.9655e+02 | 8.92e+00 | 2.76e+01 | 0.00e+00 |
|  44   |  352  |  245  | -3.9955e+02 | 8.92e+00 | 2.76e+01 | 0.00e+00 |
|  45   |  360  |  251  | -4.0278e+02 | 8.92e+00 | 2.75e+01 | 0.00e+00 |
|  46   |  368  |  257  | -4.0624e+02 | 8.92e+00 | 2.75e+01 | 0.00e+00 |
|  47   |  376  |  263  | -4.0999e+02 | 8.92e+00 | 2.75e+01 | 0.00e+00 |
|  48   |  384  |  269  | -4.1407e+02 | 8.92e+00 | 2.74e+01 | 0.00e+00 |
|  49   |  392  |  275  | -4.1855e+02 | 8.92e+00 | 2.74e+01 | 0.00e+00 |
|  50   |  400  |  281  | -4.2350e+02 | 8.92e+00 | 2.73e+01 | 0.00e+00 |
|  51   |  408  |  287  | -4.2903e+02 | 8.92e+00 | 2.72e+01 | 0.00e+00 |
|  52   |  416  |  293  | -4.3527e+02 | 8.92e+00 | 2.71e+01 | 0.00e+00 |
|  53   |  424  |  299  | -4.4244e+02 | 8.92e+00 | 2.70e+01 | 0.00e+00 |
|  54   |  432  |  305  | -4.5080e+02 | 8.92e+00 | 2.68e+01 | 0.00e+00 |
|  55   |  440  |  311  | -4.6080e+02 | 8.92e+00 | 2.65e+01 | 0.00e+00 |
|  56   |  448  |  317  | -4.7311e+02 | 8.92e+00 | 2.60e+01 | 0.00e+00 |
|  57   |  456  |  323  | -4.8879e+02 | 8.92e+00 | 2.51e+01 | 0.00e+00 |
|  58   |  464  |  329  | -5.0957e+02 | 8.92e+00 | 2.31e+01 | 0.00e+00 |
|  59   |  472  |  335  | -5.3693e+02 | 8.92e+00 | 3.97e+01 | 0.00e+00 |
|  60   |  480  |  341  | -5.5582e+02 | 8.92e+00 | 1.46e+02 | 0.00e+00 |
|  61   |  496  |  347  | -5.5582e+02 | 8.92e-01 | 1.46e+02 | 0.00e+00 |
|  62   |  504  |  353  | -5.5633e+02 | 8.92e-01 | 1.14e+02 | 0.00e+00 |
|  63   |  512  |  359  | -5.5651e+02 | 8.92e-01 | 1.30e+02 | 0.00e+00 |
|  64   |  520  |  365  | -5.5661e+02 | 8.92e-01 | 1.25e+02 | 0.00e+00 |
|  65   |  528  |  371  | -5.5681e+02 | 8.92e-01 | 1.21e+02 | 0.00e+00 |
|  66   |  536  |  377  | -5.5765e+02 | 8.92e-01 | 1.12e+02 | 0.00e+00 |
|  67   |  544  |  383  | -5.5960e+02 | 8.92e-01 | 1.00e+02 | 0.00e+00 |
|  68   |  552  |  389  | -5.6477e+02 | 8.92e-01 | 8.35e+01 | 0.00e+00 |
|  69   |  560  |  395  | -5.7531e+02 | 8.92e-01 | 4.43e+01 | 0.00e+00 |
|  70   |  568  |  401  | -5.8234e+02 | 9.52e-01 | 2.96e+01 | 0.00e+00 |
|  71   |  576  |  407  | -5.9367e+02 | 9.70e-01 | 2.80e+01 | 0.00e+00 |
|  72   |  584  |  413  | -6.0701e+02 | 1.26e+00 | 3.48e+01 | 0.00e+00 |
|  73   |  592  |  419  | -6.2191e+02 | 1.49e+00 | 2.39e+01 | 0.00e+00 |
|  74   |  600  |  425  | -6.3354e+02 | 2.07e+00 | 7.70e+01 | 0.00e+00 |
|  75   |  616  |  431  | -6.3354e+02 | 2.07e-01 | 7.70e+01 | 0.00e+00 |
|  76   |  624  |  437  | -6.3354e+02 | 3.82e-02 | 7.70e+01 | 0.00e+00 |
|  77   |  632  |  443  | -6.3427e+02 | 3.82e-02 | 8.07e+01 | 0.00e+00 |
|  78   |  640  |  449  | -6.3499e+02 | 6.10e-02 | 3.18e+01 | 0.00e+00 |
|  79   |  648  |  455  | -6.3517e+02 | 6.27e-02 | 1.63e+01 | 0.00e+00 |
|  80   |  656  |  461  | -6.3520e+02 | 6.27e-02 | 1.58e+01 | 0.00e+00 |
|  81   |  664  |  467  | -6.3623e+02 | 4.39e-01 | 2.46e+01 | 0.00e+00 |
|  82   |  672  |  473  | -6.3661e+02 | 4.39e-01 | 3.61e+01 | 0.00e+00 |
|  83   |  680  |  479  | -6.3665e+02 | 4.39e-01 | 3.21e+01 | 0.00e+00 |
|  84   |  688  |  485  | -6.3665e+02 | 4.39e-01 | 3.24e+01 | 0.00e+00 |
|  85   |  696  |  488  | -6.3666e+02 | 4.39e-01 | 3.24e+01 | 0.00e+00 |
|  86   |  704  |  494  | -6.3944e+02 | 1.15e+00 | 6.27e+01 | 0.00e+00 |
|  87   |  712  |  500  | -6.4224e+02 | 1.41e+00 | 1.17e+02 | 0.00e+00 |
|  88   |  720  |  506  | -6.4619e+02 | 2.08e+00 | 1.28e+02 | 0.00e+00 |
|  89   |  728  |  511  | -6.4850e+02 | 2.08e+00 | 5.97e+01 | 0.00e+00 |
|  90   |  736  |  517  | -6.4896e+02 | 2.08e+00 | 2.15e+01 | 0.00e+00 |
|  91   |  744  |  521  | -6.4897e+02 | 2.08e+00 | 2.02e+01 | 0.00e+00 |
|  92   |  752  |  524  | -6.4897e+02 | 2.08e+00 | 2.02e+01 | 0.00e+00 |
|  93   |  768  |  531  | -6.4897e+02 | 3.60e-01 | 2.02e+01 | 0.00e+00 |
|  94   |  776  |  538  | -6.5439e+02 | 2.07e+00 | 1.65e+01 | 0.00e+00 |
|  95   |  784  |  545  | -6.5640e+02 | 2.07e+00 | 9.04e+00 | 0.00e+00 |
|  96   |  792  |  552  | -6.5718e+02 | 2.07e+00 | 1.38e+01 | 0.00e+00 |
|  97   |  800  |  558  | -6.5738e+02 | 2.07e+00 | 8.23e+00 | 0.00e+00 |
|  98   |  808  |  563  | -6.5739e+02 | 2.07e+00 | 9.67e+00 | 0.00e+00 |
|  99   |  816  |  566  | -6.5739e+02 | 2.07e+00 | 1.11e+01 | 0.00e+00 |
|  100  |  824  |  569  | -6.5739e+02 | 2.07e+00 | 1.16e+01 | 0.00e+00 |
|  101  |  832  |  572  | -6.5739e+02 | 2.07e+00 | 1.40e+01 | 0.00e+00 |
|  102  |  840  |  575  | -6.5739e+02 | 2.07e+00 | 1.56e+01 | 0.00e+00 |
|  103  |  848  |  578  | -6.5740e+02 | 2.07e+00 | 2.05e+01 | 0.00e+00 |
|  104  |  856  |  581  | -6.5742e+02 | 2.07e+00 | 2.66e+01 | 0.00e+00 |
|  105  |  864  |  584  | -6.5746e+02 | 2.07e+00 | 3.56e+01 | 0.00e+00 |
|  106  |  872  |  587  | -6.5757e+02 | 2.07e+00 | 4.99e+01 | 0.00e+00 |
|  107  |  880  |  590  | -6.5777e+02 | 2.07e+00 | 6.29e+01 | 0.00e+00 |
|  108  |  888  |  594  | -6.5815e+02 | 2.07e+00 | 6.91e+01 | 0.00e+00 |
|  109  |  896  |  598  | -6.5856e+02 | 2.07e+00 | 4.51e+01 | 0.00e+00 |
|  110  |  904  |  602  | -6.5874e+02 | 2.07e+00 | 1.24e+01 | 0.00e+00 |
|  111  |  912  |  605  | -6.5876e+02 | 2.07e+00 | 6.76e-01 | 0.00e+00 |
|  112  |  920  |  612  | -6.5876e+02 | 2.07e+00 | 7.62e-01 | 0.00e+00 |
|  113  |  928  |  619  | -6.5878e+02 | 2.07e+00 | 8.11e-01 | 0.00e+00 |
|  114  |  936  |  626  | -6.5879e+02 | 3.32e+00 | 7.38e-01 | 0.00e+00 |
|  115  |  944  |  633  | -6.5883e+02 | 3.32e+00 | 1.86e+00 | 0.00e+00 |
|  116  |  952  |  640  | -6.5903e+02 | 1.09e+01 | 9.43e-01 | 0.00e+00 |
