writing to logs/4/trust-constr/China/2021_8_4_19_28
| niter |f evals|CG iter|  obj func   |tr radius |   opt    |  c viol  |
|-------|-------|-------|-------------|----------|----------|----------|
|   1   |   8   |   0   | +7.7449e+11 | 1.00e+00 | 1.82e+12 | 6.10e-04 |
|   2   |  16   |   1   | -5.5768e+02 | 2.00e+00 | 1.79e+04 | 0.00e+00 |
|   3   |  24   |   7   | -5.5768e+02 | 8.08e+00 | 5.45e+03 | 0.00e+00 |
|   4   |  32   |  14   | -6.0673e+02 | 8.08e+00 | 6.84e+02 | 0.00e+00 |
|   5   |  40   |  21   | -6.2596e+02 | 8.08e+00 | 1.23e+02 | 0.00e+00 |
|   6   |  48   |  27   | -5.9506e+02 | 8.08e+00 | 8.32e+01 | 0.00e+00 |
|   7   |  56   |  33   | -5.8275e+02 | 8.08e+00 | 6.40e+01 | 0.00e+00 |
|   8   |  64   |  39   | -6.3810e+02 | 8.08e+00 | 3.59e+01 | 0.00e+00 |
|   9   |  72   |  46   | -6.4426e+02 | 8.08e+00 | 3.49e+01 | 0.00e+00 |
|  10   |  80   |  53   | -6.5134e+02 | 8.08e+00 | 3.99e+01 | 0.00e+00 |
|  11   |  88   |  60   | -6.5221e+02 | 8.08e+00 | 4.56e+01 | 0.00e+00 |
|  12   |  96   |  66   | -6.5221e+02 | 8.08e+00 | 4.56e+01 | 0.00e+00 |
|  13   |  104  |  73   | -6.5542e+02 | 8.08e+00 | 6.39e+01 | 0.00e+00 |
|  14   |  112  |  79   | -6.5551e+02 | 8.08e+00 | 5.92e+01 | 0.00e+00 |
|  15   |  120  |  85   | -6.5554e+02 | 8.08e+00 | 6.05e+01 | 0.00e+00 |
|  16   |  128  |  89   | -6.5554e+02 | 8.08e+00 | 6.05e+01 | 0.00e+00 |
|  17   |  136  |  93   | -6.5554e+02 | 8.08e+00 | 6.05e+01 | 0.00e+00 |
|  18   |  144  |  97   | -6.5554e+02 | 8.08e+00 | 6.05e+01 | 0.00e+00 |
|  19   |  152  |  101  | -6.5554e+02 | 8.08e+00 | 6.05e+01 | 0.00e+00 |
|  20   |  160  |  106  | -6.5554e+02 | 8.08e+00 | 6.05e+01 | 0.00e+00 |
|  21   |  168  |  113  | -6.5766e+02 | 8.08e+00 | 6.25e+01 | 0.00e+00 |
|  22   |  176  |  120  | -6.5990e+02 | 8.08e+00 | 6.28e+01 | 0.00e+00 |
|  23   |  184  |  127  | -6.6237e+02 | 8.08e+00 | 6.60e+01 | 0.00e+00 |
|  24   |  192  |  134  | -6.6508e+02 | 8.08e+00 | 6.78e+01 | 0.00e+00 |
|  25   |  200  |  141  | -6.6807e+02 | 8.08e+00 | 7.05e+01 | 0.00e+00 |
|  26   |  208  |  148  | -6.7144e+02 | 8.08e+00 | 7.36e+01 | 0.00e+00 |
|  27   |  216  |  155  | -6.7524e+02 | 8.08e+00 | 7.77e+01 | 0.00e+00 |
|  28   |  224  |  162  | -6.7949e+02 | 8.08e+00 | 8.14e+01 | 0.00e+00 |
|  29   |  232  |  169  | -6.8461e+02 | 8.08e+00 | 9.21e+01 | 0.00e+00 |
|  30   |  240  |  176  | -6.9071e+02 | 8.08e+00 | 9.75e+01 | 0.00e+00 |
|  31   |  248  |  183  | -6.9824e+02 | 8.08e+00 | 1.12e+02 | 0.00e+00 |
|  32   |  256  |  190  | -7.0706e+02 | 8.08e+00 | 1.12e+02 | 0.00e+00 |
|  33   |  264  |  197  | -7.1956e+02 | 8.08e+00 | 1.62e+02 | 0.00e+00 |
|  34   |  280  |  204  | -7.1956e+02 | 8.08e-01 | 1.62e+02 | 0.00e+00 |
|  35   |  288  |  211  | -7.5690e+02 | 9.30e-01 | 1.38e+02 | 0.00e+00 |
|  36   |  296  |  218  | -7.8214e+02 | 9.30e-01 | 9.85e+01 | 0.00e+00 |
|  37   |  312  |  225  | -7.8214e+02 | 9.30e-02 | 9.85e+01 | 0.00e+00 |
|  38   |  320  |  232  | -7.8610e+02 | 1.84e-01 | 9.11e+01 | 0.00e+00 |
|  39   |  328  |  239  | -7.8700e+02 | 1.84e-01 | 8.78e+01 | 0.00e+00 |
|  40   |  336  |  246  | -7.9631e+02 | 8.72e-01 | 1.80e+01 | 0.00e+00 |
|  41   |  344  |  253  | -8.0489e+02 | 1.36e+00 | 6.77e+01 | 0.00e+00 |
|  42   |  352  |  260  | -8.0781e+02 | 1.36e+00 | 4.35e+01 | 0.00e+00 |
|  43   |  360  |  267  | -8.1199e+02 | 1.36e+00 | 3.96e+01 | 0.00e+00 |
|  44   |  368  |  274  | -8.1552e+02 | 1.36e+00 | 4.49e+01 | 0.00e+00 |
|  45   |  376  |  281  | -8.1919e+02 | 1.36e+00 | 3.60e+01 | 0.00e+00 |
|  46   |  384  |  288  | -8.2299e+02 | 1.36e+00 | 5.86e+01 | 0.00e+00 |
|  47   |  392  |  295  | -8.2618e+02 | 1.36e+00 | 3.30e+01 | 0.00e+00 |
|  48   |  400  |  302  | -8.3145e+02 | 1.36e+00 | 8.85e+01 | 0.00e+00 |
|  49   |  408  |  309  | -8.3517e+02 | 1.36e+00 | 2.72e+01 | 0.00e+00 |
|  50   |  416  |  316  | -8.5440e+02 | 2.70e+00 | 2.28e+02 | 0.00e+00 |
|  51   |  424  |  323  | -8.6177e+02 | 2.70e+00 | 4.10e+01 | 0.00e+00 |
|  52   |  432  |  330  | -8.6308e+02 | 2.70e+00 | 8.53e+01 | 0.00e+00 |
|  53   |  440  |  337  | -8.6418e+02 | 2.70e+00 | 3.79e+01 | 0.00e+00 |
|  54   |  448  |  344  | -8.6813e+02 | 2.70e+00 | 1.99e+02 | 0.00e+00 |
|  55   |  456  |  351  | -8.7131e+02 | 2.70e+00 | 6.94e+01 | 0.00e+00 |
|  56   |  464  |  358  | -8.7200e+02 | 2.70e+00 | 3.43e+01 | 0.00e+00 |
|  57   |  472  |  365  | -8.7256e+02 | 2.70e+00 | 3.83e+01 | 0.00e+00 |
|  58   |  480  |  372  | -8.7435e+02 | 2.70e+00 | 8.24e+01 | 0.00e+00 |
|  59   |  488  |  379  | -8.7707e+02 | 2.70e+00 | 9.32e+01 | 0.00e+00 |
|  60   |  496  |  386  | -8.8257e+02 | 2.70e+00 | 5.79e+01 | 0.00e+00 |
|  61   |  504  |  393  | -9.9375e+02 | 6.86e+00 | 1.14e+03 | 0.00e+00 |
|  62   |  520  |  400  | -9.9375e+02 | 6.86e-01 | 1.14e+03 | 0.00e+00 |
|  63   |  528  |  406  | -1.0085e+03 | 6.86e-01 | 4.84e+02 | 0.00e+00 |
|  64   |  536  |  413  | -1.0142e+03 | 6.86e-01 | 2.02e+02 | 0.00e+00 |
