writing to logs/AEJ_data/4/trust-constr/Malaysia/2021_8_11_13_17
| niter |f evals|CG iter|  obj func   |tr radius |   opt    |  c viol  |
|-------|-------|-------|-------------|----------|----------|----------|
|   1   |   8   |   0   | +1.6093e+02 | 1.00e+00 | 5.00e+05 | 0.00e+00 |
|   2   |  16   |   1   | -7.2926e+01 | 1.00e+00 | 6.94e+01 | 2.16e-01 |
|   3   |  24   |   8   | -7.2966e+01 | 6.41e+00 | 2.97e+01 | 2.16e-01 |
|   4   |  32   |  15   | -7.3006e+01 | 8.56e+00 | 2.79e+01 | 2.16e-01 |
|   5   |  40   |  22   | -1.2695e+02 | 9.66e+00 | 2.62e+01 | 1.39e-01 |
|   6   |  48   |  29   | -1.7153e+02 | 9.66e+00 | 2.51e+01 | 1.22e-01 |
|   7   |  56   |  35   | -2.5785e+02 | 9.66e+00 | 2.40e+01 | 4.47e-02 |
|   8   |  64   |  40   | -3.2844e+02 | 9.66e+00 | 2.33e+01 | 6.18e-03 |
|   9   |  72   |  45   | -3.4357e+02 | 9.66e+00 | 2.31e+01 | 0.00e+00 |
|  10   |  80   |  50   | -3.4357e+02 | 9.66e+00 | 2.31e+01 | 0.00e+00 |
|  11   |  88   |  55   | -3.5671e+02 | 9.66e+00 | 2.35e+01 | 0.00e+00 |
|  12   |  96   |  60   | -3.6762e+02 | 9.66e+00 | 2.26e+01 | 0.00e+00 |
|  13   |  112  |  65   | -3.6762e+02 | 9.66e-01 | 2.26e+01 | 0.00e+00 |
|  14   |  120  |  72   | -3.6762e+02 | 9.66e-01 | 2.26e+01 | 0.00e+00 |
|  15   |  128  |  79   | -3.6762e+02 | 9.66e-01 | 2.26e+01 | 0.00e+00 |
|  16   |  136  |  86   | -3.6791e+02 | 9.66e-01 | 2.25e+01 | 0.00e+00 |
|  17   |  144  |  93   | -3.6819e+02 | 9.66e-01 | 2.24e+01 | 0.00e+00 |
|  18   |  152  |  100  | -3.6848e+02 | 9.66e-01 | 2.23e+01 | 0.00e+00 |
|  19   |  160  |  107  | -3.6878e+02 | 9.66e-01 | 2.22e+01 | 0.00e+00 |
|  20   |  168  |  113  | -4.0517e+02 | 6.76e+00 | 3.36e+01 | 0.00e+00 |
|  21   |  176  |  118  | -4.1183e+02 | 6.76e+00 | 2.74e+01 | 0.00e+00 |
|  22   |  192  |  123  | -4.1183e+02 | 6.76e-01 | 2.74e+01 | 0.00e+00 |
|  23   |  200  |  128  | -4.1819e+02 | 1.89e+00 | 3.05e+01 | 0.00e+00 |
|  24   |  208  |  133  | -4.2285e+02 | 1.89e+00 | 3.80e+01 | 0.00e+00 |
|  25   |  216  |  138  | -4.2752e+02 | 1.89e+00 | 3.57e+01 | 0.00e+00 |
|  26   |  224  |  143  | -4.3272e+02 | 1.89e+00 | 6.00e+01 | 0.00e+00 |
|  27   |  232  |  147  | -4.3505e+02 | 1.89e+00 | 3.52e+01 | 0.00e+00 |
|  28   |  240  |  152  | -4.3681e+02 | 1.89e+00 | 1.28e+01 | 0.00e+00 |
|  29   |  248  |  156  | -4.3972e+02 | 1.89e+00 | 3.50e+00 | 0.00e+00 |
|  30   |  256  |  160  | -4.4033e+02 | 1.89e+00 | 4.34e+00 | 0.00e+00 |
|  31   |  264  |  166  | -4.4048e+02 | 1.33e+01 | 6.41e+00 | 0.00e+00 |
|  32   |  272  |  172  | -4.4112e+02 | 2.22e+01 | 2.58e+00 | 0.00e+00 |
|  33   |  280  |  178  | -4.4868e+02 | 6.35e+01 | 3.66e+00 | 0.00e+00 |
|  34   |  288  |  184  | -4.4868e+02 | 6.35e+00 | 3.66e+00 | 0.00e+00 |
|  35   |  296  |  190  | -4.4927e+02 | 6.35e+00 | 2.18e+01 | 0.00e+00 |
|  36   |  304  |  197  | -4.4995e+02 | 6.35e+00 | 5.80e+01 | 0.00e+00 |
|  37   |  320  |  204  | -4.4995e+02 | 6.35e-01 | 5.80e+01 | 0.00e+00 |
|  38   |  336  |  211  | -4.4995e+02 | 2.34e-01 | 5.80e+01 | 0.00e+00 |
|  39   |  344  |  215  | -4.5385e+02 | 4.68e-01 | 5.43e+01 | 0.00e+00 |
|  40   |  352  |  220  | -4.6057e+02 | 6.62e-01 | 2.52e+01 | 0.00e+00 |
|  41   |  360  |  227  | -4.6800e+02 | 2.59e+00 | 2.44e+01 | 0.00e+00 |
|  42   |  368  |  234  | -4.7310e+02 | 2.59e+00 | 2.47e+01 | 0.00e+00 |
|  43   |  376  |  241  | -4.8930e+02 | 1.41e+01 | 6.39e+01 | 0.00e+00 |
|  44   |  384  |  248  | -5.1402e+02 | 1.41e+01 | 8.66e+01 | 0.00e+00 |
|  45   |  392  |  253  | -5.2102e+02 | 1.41e+01 | 3.87e+01 | 0.00e+00 |
|  46   |  400  |  258  | -5.2457e+02 | 1.41e+01 | 1.42e+01 | 0.00e+00 |
