writing to logs/4/trust-constr/Turkey/2021_8_4_19_28
| niter |f evals|CG iter|  obj func   |tr radius |   opt    |  c viol  |
|-------|-------|-------|-------------|----------|----------|----------|
|   1   |   8   |   0   | -4.1481e+02 | 1.00e+00 | 2.04e+04 | 0.00e+00 |
|   2   |  16   |   1   | -4.1481e+02 | 5.00e-01 | 2.04e+04 | 0.00e+00 |
|   3   |  24   |   2   | -4.1481e+02 | 2.50e-01 | 2.04e+04 | 0.00e+00 |
|   4   |  32   |   3   | -4.1481e+02 | 1.25e-01 | 2.04e+04 | 0.00e+00 |
|   5   |  40   |   4   | -4.1481e+02 | 6.25e-02 | 2.04e+04 | 0.00e+00 |
|   6   |  48   |   5   | -4.5275e+02 | 6.25e-02 | 1.61e+03 | 0.00e+00 |
|   7   |  56   |   6   | -4.5275e+02 | 6.25e-03 | 1.61e+03 | 0.00e+00 |
|   8   |  64   |   7   | -4.6533e+02 | 4.38e-02 | 1.75e+03 | 0.00e+00 |
|   9   |  72   |   8   | -4.6533e+02 | 4.38e-03 | 1.75e+03 | 0.00e+00 |
|  10   |  80   |   9   | -4.7462e+02 | 3.06e-02 | 1.83e+03 | 0.00e+00 |
|  11   |  88   |  10   | -4.7462e+02 | 1.32e-02 | 1.83e+03 | 0.00e+00 |
|  12   |  96   |  12   | -4.9081e+02 | 9.26e-02 | 1.86e+03 | 0.00e+00 |
|  13   |  104  |  17   | -4.9081e+02 | 9.26e-03 | 1.86e+03 | 0.00e+00 |
|  14   |  112  |  18   | -4.9078e+02 | 5.18e-02 | 1.86e+03 | 0.00e+00 |
|  15   |  120  |  19   | -4.9062e+02 | 2.90e-01 | 1.85e+03 | 0.00e+00 |
|  16   |  128  |  20   | -4.8963e+02 | 1.63e+00 | 1.83e+03 | 0.00e+00 |
|  17   |  136  |  21   | -4.8153e+02 | 8.68e+00 | 6.15e+02 | 0.00e+00 |
|  18   |  144  |  22   | -4.3789e+02 | 8.68e+00 | 1.31e+02 | 0.00e+00 |
|  19   |  152  |  23   | -4.1305e+02 | 8.68e+00 | 2.97e+01 | 0.00e+00 |
