writing to logs/EXT_data/1/trust-constr/Croatia/2021_8_20
| niter |f evals|CG iter|  obj func   |tr radius |   opt    |  c viol  |
|-------|-------|-------|-------------|----------|----------|----------|
|   1   |   8   |   0   | -1.9067e+03 | 1.00e+00 | 6.33e+03 | 0.00e+00 |
|   2   |  16   |   1   | -1.9067e+03 | 1.00e-01 | 6.33e+03 | 0.00e+00 |
|   3   |  24   |   7   | -1.9067e+03 | 5.61e-01 | 6.32e+03 | 0.00e+00 |
|   4   |  32   |  13   | -1.9067e+03 | 3.14e+00 | 6.29e+03 | 0.00e+00 |
|   5   |  40   |  19   | -1.9067e+03 | 3.14e-01 | 6.29e+03 | 0.00e+00 |
|   6   |  48   |  25   | -1.9116e+03 | 1.77e+00 | 3.90e+03 | 0.00e+00 |
|   7   |  56   |  31   | -1.9116e+03 | 1.77e-01 | 3.90e+03 | 0.00e+00 |
|   8   |  64   |  38   | -1.9116e+03 | 9.99e-01 | 3.84e+03 | 0.00e+00 |
|   9   |  72   |  45   | -1.9116e+03 | 5.83e+00 | 2.06e+03 | 0.00e+00 |
|  10   |  80   |  51   | -1.9142e+03 | 7.70e+00 | 5.45e+02 | 0.00e+00 |
|  11   |  88   |  57   | -1.8311e+03 | 7.70e+00 | 7.18e+02 | 0.00e+00 |
|  12   |  96   |  63   | -1.6845e+03 | 7.70e+00 | 1.63e+03 | 0.00e+00 |
|  13   |  104  |  69   | -1.6719e+03 | 7.70e+00 | 1.71e+03 | 0.00e+00 |
|  14   |  112  |  75   | -1.8081e+03 | 7.70e+00 | 8.48e+02 | 0.00e+00 |
|  15   |  120  |  81   | -1.8784e+03 | 7.70e+00 | 4.02e+02 | 0.00e+00 |
|  16   |  128  |  88   | -1.8954e+03 | 7.70e+00 | 3.27e+02 | 0.00e+00 |
|  17   |  136  |  95   | -1.9136e+03 | 7.70e+00 | 3.39e+02 | 0.00e+00 |
|  18   |  144  |  102  | -1.9140e+03 | 7.70e+00 | 3.88e+02 | 0.00e+00 |
|  19   |  152  |  109  | -1.9143e+03 | 7.70e+00 | 3.66e+02 | 0.00e+00 |
|  20   |  160  |  115  | -1.9143e+03 | 7.70e+00 | 3.66e+02 | 0.00e+00 |
|  21   |  176  |  122  | -1.9143e+03 | 7.70e-01 | 3.66e+02 | 0.00e+00 |
|  22   |  184  |  129  | -1.9173e+03 | 7.70e-01 | 4.00e+02 | 0.00e+00 |
|  23   |  192  |  136  | -1.9194e+03 | 7.70e-01 | 4.27e+02 | 0.00e+00 |
|  24   |  200  |  143  | -1.9234e+03 | 7.70e-01 | 6.91e+02 | 0.00e+00 |
|  25   |  208  |  149  | -1.9245e+03 | 7.70e-01 | 5.46e+02 | 0.00e+00 |
|  26   |  216  |  155  | -1.9248e+03 | 7.70e-01 | 5.79e+02 | 0.00e+00 |
|  27   |  224  |  161  | -1.9248e+03 | 7.70e-01 | 5.91e+02 | 0.00e+00 |
|  28   |  232  |  164  | -1.9248e+03 | 7.70e-01 | 5.91e+02 | 0.00e+00 |
|  29   |  240  |  167  | -1.9248e+03 | 7.70e-01 | 5.91e+02 | 0.00e+00 |
|  30   |  248  |  174  | -1.9250e+03 | 7.70e-01 | 5.76e+02 | 0.00e+00 |
|  31   |  256  |  181  | -1.9257e+03 | 7.70e-01 | 5.50e+02 | 0.00e+00 |
|  32   |  264  |  188  | -1.9281e+03 | 7.70e-01 | 5.06e+02 | 0.00e+00 |
|  33   |  272  |  195  | -1.9336e+03 | 7.70e-01 | 4.44e+02 | 0.00e+00 |
|  34   |  280  |  202  | -1.9478e+03 | 7.70e-01 | 3.56e+02 | 0.00e+00 |
|  35   |  296  |  209  | -1.9478e+03 | 7.70e-02 | 3.56e+02 | 0.00e+00 |
|  36   |  304  |  215  | -1.9478e+03 | 7.70e-03 | 3.56e+02 | 0.00e+00 |
|  37   |  320  |  220  | -1.9478e+03 | 7.70e-04 | 3.56e+02 | 0.00e+00 |
|  38   |  328  |  226  | -1.9480e+03 | 5.39e-03 | 3.55e+02 | 0.00e+00 |
|  39   |  336  |  231  | -1.9480e+03 | 5.39e-04 | 3.55e+02 | 0.00e+00 |
|  40   |  352  |  236  | -1.9480e+03 | 5.39e-05 | 3.55e+02 | 0.00e+00 |
|  41   |  360  |  240  | -1.9481e+03 | 3.77e-04 | 3.55e+02 | 0.00e+00 |
|  42   |  368  |  244  | -1.9481e+03 | 3.77e-05 | 3.55e+02 | 0.00e+00 |
|  43   |  376  |  248  | -1.9481e+03 | 2.64e-04 | 3.55e+02 | 0.00e+00 |
|  44   |  384  |  252  | -1.9481e+03 | 2.64e-05 | 3.55e+02 | 0.00e+00 |
|  45   |  392  |  256  | -1.9481e+03 | 1.85e-04 | 3.55e+02 | 0.00e+00 |
|  46   |  400  |  260  | -1.9482e+03 | 1.29e-03 | 3.54e+02 | 0.00e+00 |
|  47   |  408  |  264  | -1.9482e+03 | 1.29e-04 | 3.54e+02 | 0.00e+00 |
|  48   |  424  |  268  | -1.9482e+03 | 1.29e-05 | 3.54e+02 | 0.00e+00 |
|  49   |  432  |  272  | -1.9482e+03 | 1.29e-06 | 3.54e+02 | 0.00e+00 |
|  50   |  440  |  275  | -1.9482e+03 | 9.06e-06 | 3.54e+02 | 0.00e+00 |
|  51   |  448  |  279  | -1.9482e+03 | 6.34e-05 | 3.54e+02 | 0.00e+00 |
|  52   |  456  |  282  | -1.9482e+03 | 6.34e-06 | 3.54e+02 | 0.00e+00 |
|  53   |  472  |  284  | -1.9482e+03 | 6.34e-07 | 3.54e+02 | 0.00e+00 |
|  54   |  480  |  286  | -1.9482e+03 | 4.44e-06 | 3.54e+02 | 0.00e+00 |
|  55   |  496  |  289  | -1.9482e+03 | 4.44e-07 | 3.54e+02 | 0.00e+00 |
|  56   |  504  |  292  | -1.9482e+03 | 3.11e-06 | 3.54e+02 | 0.00e+00 |
|  57   |  520  |  295  | -1.9482e+03 | 3.11e-07 | 3.54e+02 | 0.00e+00 |
|  58   |  536  |  298  | -1.9482e+03 | 3.11e-08 | 3.54e+02 | 0.00e+00 |
|  59   |  544  |  300  | -1.9482e+03 | 2.18e-07 | 6.83e+09 | 0.00e+00 |
|  60   |  560  |  301  | -1.9482e+03 | 1.09e-07 | 6.83e+09 | 0.00e+00 |
|  61   |  576  |  302  | -1.9482e+03 | 5.44e-08 | 6.83e+09 | 0.00e+00 |
|  62   |  584  |  303  | -1.9482e+03 | 2.72e-08 | 6.83e+09 | 0.00e+00 |
|  63   |  592  |  304  | -1.9482e+03 | 1.36e-08 | 6.83e+09 | 0.00e+00 |
|  64   |  608  |  305  | -1.9482e+03 | 6.80e-09 | 6.83e+09 | 0.00e+00 |
|  65   |  616  |  306  | -1.9482e+03 | 3.40e-09 | 6.83e+09 | 0.00e+00 |
|  66   |  624  |  307  | -1.9482e+03 | 1.70e-09 | 6.83e+09 | 0.00e+00 |
|  67   |  640  |  308  | -1.9482e+03 | 8.50e-10 | 6.83e+09 | 0.00e+00 |
|  68   |  648  |  309  | -1.9482e+03 | 4.25e-10 | 6.83e+09 | 0.00e+00 |
|  69   |  656  |  310  | -1.9482e+03 | 2.12e-10 | 6.83e+09 | 0.00e+00 |
|  70   |  664  |  311  | -1.9482e+03 | 1.06e-10 | 6.83e+09 | 0.00e+00 |
|  71   |  672  |  312  | -1.9482e+03 | 5.31e-11 | 6.83e+09 | 0.00e+00 |
|  72   |  680  |  313  | -1.9482e+03 | 2.66e-11 | 6.83e+09 | 0.00e+00 |
|  73   |  688  |  314  | -1.9482e+03 | 1.33e-11 | 6.83e+09 | 0.00e+00 |
|  74   |  696  |  315  | -1.9482e+03 | 6.64e-12 | 6.83e+09 | 0.00e+00 |
|  75   |  704  |  316  | -1.9482e+03 | 3.32e-12 | 6.83e+09 | 0.00e+00 |
|  76   |  720  |  317  | -1.9482e+03 | 1.66e-12 | 6.83e+09 | 0.00e+00 |
|  77   |  728  |  318  | -1.9482e+03 | 8.30e-13 | 6.83e+09 | 0.00e+00 |
|  78   |  736  |  318  | -1.9482e+03 | 1.00e+00 | 6.83e+09 | 0.00e+00 |
|  79   |  752  |  319  | -1.9482e+03 | 5.00e-01 | 6.83e+09 | 0.00e+00 |
|  80   |  760  |  320  | -1.9482e+03 | 2.50e-01 | 6.83e+09 | 0.00e+00 |
|  81   |  768  |  321  | -1.9482e+03 | 1.25e-01 | 6.83e+09 | 0.00e+00 |
|  82   |  776  |  322  | -1.9482e+03 | 6.25e-02 | 6.83e+09 | 0.00e+00 |
|  83   |  784  |  323  | -1.9482e+03 | 3.12e-02 | 6.83e+09 | 0.00e+00 |
|  84   |  792  |  324  | -1.9482e+03 | 1.56e-02 | 6.83e+09 | 0.00e+00 |
|  85   |  800  |  325  | -1.9482e+03 | 7.81e-03 | 6.83e+09 | 0.00e+00 |
|  86   |  808  |  326  | -1.9482e+03 | 3.91e-03 | 6.83e+09 | 0.00e+00 |
|  87   |  816  |  327  | -1.9482e+03 | 1.95e-03 | 6.83e+09 | 0.00e+00 |
|  88   |  832  |  328  | -1.9482e+03 | 9.77e-04 | 6.83e+09 | 0.00e+00 |
|  89   |  840  |  329  | -1.9482e+03 | 4.88e-04 | 6.83e+09 | 0.00e+00 |
|  90   |  848  |  330  | -1.9482e+03 | 2.44e-04 | 6.83e+09 | 0.00e+00 |
|  91   |  856  |  331  | -1.9482e+03 | 1.22e-04 | 6.83e+09 | 0.00e+00 |
|  92   |  864  |  332  | -1.9482e+03 | 6.10e-05 | 6.83e+09 | 0.00e+00 |
|  93   |  880  |  333  | -1.9482e+03 | 3.05e-05 | 6.83e+09 | 0.00e+00 |
|  94   |  896  |  334  | -1.9482e+03 | 1.53e-05 | 6.83e+09 | 0.00e+00 |
|  95   |  904  |  335  | -1.9482e+03 | 7.63e-06 | 6.83e+09 | 0.00e+00 |
|  96   |  912  |  336  | -1.9482e+03 | 3.81e-06 | 6.83e+09 | 0.00e+00 |
|  97   |  928  |  337  | -1.9482e+03 | 1.91e-06 | 6.83e+09 | 0.00e+00 |
|  98   |  944  |  338  | -1.9482e+03 | 9.54e-07 | 6.83e+09 | 0.00e+00 |
|  99   |  952  |  339  | -1.9482e+03 | 4.77e-07 | 6.83e+09 | 0.00e+00 |
|  100  |  960  |  340  | -1.9482e+03 | 2.38e-07 | 6.83e+09 | 0.00e+00 |
|  101  |  968  |  341  | -1.9482e+03 | 1.19e-07 | 6.83e+09 | 0.00e+00 |
|  102  |  976  |  342  | -1.9482e+03 | 5.96e-08 | 6.83e+09 | 0.00e+00 |
|  103  |  984  |  343  | -1.9482e+03 | 2.98e-08 | 6.83e+09 | 0.00e+00 |
|  104  | 1000  |  344  | -1.9482e+03 | 1.49e-08 | 6.83e+09 | 0.00e+00 |
