writing to logs/EXT_data/1/trust-constr/Russia/2021_8_20
| niter |f evals|CG iter|  obj func   |tr radius |   opt    |  c viol  |
|-------|-------|-------|-------------|----------|----------|----------|
|   1   |   8   |   0   | -1.8164e+03 | 1.00e+00 | 8.74e+04 | 0.00e+00 |
|   2   |  16   |   1   | -1.8164e+03 | 1.00e-01 | 8.74e+04 | 0.00e+00 |
|   3   |  24   |   7   | -1.8164e+03 | 5.61e-01 | 8.73e+04 | 0.00e+00 |
|   4   |  32   |  13   | -1.8164e+03 | 3.14e+00 | 8.69e+04 | 0.00e+00 |
|   5   |  40   |  20   | -1.9307e+03 | 8.57e+00 | 1.34e+04 | 0.00e+00 |
|   6   |  48   |  27   | -1.9711e+03 | 8.57e+00 | 2.27e+03 | 0.00e+00 |
|   7   |  56   |  34   | -2.0012e+03 | 8.57e+00 | 3.26e+02 | 0.00e+00 |
|   8   |  64   |  41   | -2.0170e+03 | 8.57e+00 | 1.92e+02 | 0.00e+00 |
|   9   |  72   |  47   | -1.9333e+03 | 8.57e+00 | 9.01e+01 | 0.00e+00 |
|  10   |  80   |  53   | -1.9199e+03 | 8.57e+00 | 8.79e+01 | 0.00e+00 |
|  11   |  88   |  59   | -1.9217e+03 | 8.57e+00 | 8.82e+01 | 0.00e+00 |
|  12   |  96   |  66   | -1.9353e+03 | 8.57e+00 | 9.00e+01 | 0.00e+00 |
|  13   |  104  |  73   | -1.9526e+03 | 8.57e+00 | 9.09e+01 | 0.00e+00 |
|  14   |  112  |  80   | -1.9747e+03 | 8.57e+00 | 9.04e+01 | 0.00e+00 |
|  15   |  120  |  87   | -2.0020e+03 | 8.57e+00 | 8.60e+01 | 0.00e+00 |
|  16   |  128  |  94   | -2.0260e+03 | 8.57e+00 | 7.09e+01 | 0.00e+00 |
|  17   |  144  |  101  | -2.0260e+03 | 8.57e-01 | 7.09e+01 | 0.00e+00 |
|  18   |  152  |  108  | -2.0276e+03 | 8.57e-01 | 6.69e+01 | 0.00e+00 |
|  19   |  160  |  115  | -2.0282e+03 | 8.57e-01 | 6.43e+01 | 0.00e+00 |
|  20   |  168  |  122  | -2.0283e+03 | 8.57e-01 | 7.71e+01 | 0.00e+00 |
|  21   |  176  |  128  | -2.0283e+03 | 8.57e-01 | 7.71e+01 | 0.00e+00 |
|  22   |  184  |  134  | -2.0283e+03 | 8.57e-01 | 7.71e+01 | 0.00e+00 |
|  23   |  192  |  140  | -2.0283e+03 | 8.57e-01 | 7.71e+01 | 0.00e+00 |
|  24   |  200  |  146  | -2.0283e+03 | 8.57e-01 | 7.71e+01 | 0.00e+00 |
|  25   |  208  |  152  | -2.0283e+03 | 8.57e-01 | 7.71e+01 | 0.00e+00 |
|  26   |  216  |  158  | -2.0283e+03 | 8.57e-01 | 7.71e+01 | 0.00e+00 |
|  27   |  224  |  164  | -2.0283e+03 | 8.57e-01 | 7.71e+01 | 0.00e+00 |
|  28   |  232  |  170  | -2.0283e+03 | 8.57e-01 | 7.71e+01 | 0.00e+00 |
|  29   |  240  |  176  | -2.0283e+03 | 8.57e-01 | 7.71e+01 | 0.00e+00 |
|  30   |  248  |  182  | -2.0283e+03 | 8.57e-01 | 7.71e+01 | 0.00e+00 |
|  31   |  256  |  188  | -2.0283e+03 | 8.57e-01 | 7.71e+01 | 0.00e+00 |
|  32   |  264  |  194  | -2.0283e+03 | 8.57e-01 | 7.71e+01 | 0.00e+00 |
|  33   |  272  |  200  | -2.0283e+03 | 8.57e-01 | 7.71e+01 | 0.00e+00 |
|  34   |  280  |  206  | -2.0283e+03 | 8.57e-01 | 7.71e+01 | 0.00e+00 |
|  35   |  288  |  212  | -2.0283e+03 | 8.57e-01 | 7.71e+01 | 0.00e+00 |
|  36   |  296  |  218  | -2.0283e+03 | 8.57e-01 | 7.71e+01 | 0.00e+00 |
|  37   |  304  |  224  | -2.0283e+03 | 8.57e-01 | 7.71e+01 | 0.00e+00 |
|  38   |  312  |  230  | -2.0283e+03 | 8.57e-01 | 7.71e+01 | 0.00e+00 |
|  39   |  320  |  236  | -2.0283e+03 | 8.57e-01 | 7.71e+01 | 0.00e+00 |
|  40   |  328  |  242  | -2.0283e+03 | 8.57e-01 | 7.71e+01 | 0.00e+00 |
|  41   |  336  |  248  | -2.0283e+03 | 8.57e-01 | 7.71e+01 | 0.00e+00 |
|  42   |  344  |  254  | -2.0283e+03 | 8.57e-01 | 7.71e+01 | 0.00e+00 |
|  43   |  352  |  260  | -2.0283e+03 | 8.57e-01 | 7.71e+01 | 0.00e+00 |
|  44   |  360  |  266  | -2.0283e+03 | 8.57e-01 | 7.71e+01 | 0.00e+00 |
|  45   |  368  |  272  | -2.0283e+03 | 8.57e-01 | 7.71e+01 | 0.00e+00 |
|  46   |  376  |  278  | -2.0283e+03 | 8.57e-01 | 7.71e+01 | 0.00e+00 |
|  47   |  384  |  284  | -2.0283e+03 | 8.57e-01 | 7.71e+01 | 0.00e+00 |
|  48   |  392  |  290  | -2.0283e+03 | 8.57e-01 | 7.71e+01 | 0.00e+00 |
|  49   |  400  |  296  | -2.0283e+03 | 8.57e-01 | 7.71e+01 | 0.00e+00 |
|  50   |  408  |  302  | -2.0283e+03 | 8.57e-01 | 7.71e+01 | 0.00e+00 |
|  51   |  416  |  308  | -2.0283e+03 | 8.57e-01 | 7.71e+01 | 0.00e+00 |
|  52   |  424  |  314  | -2.0283e+03 | 8.57e-01 | 7.71e+01 | 0.00e+00 |
|  53   |  432  |  320  | -2.0283e+03 | 8.57e-01 | 7.71e+01 | 0.00e+00 |
|  54   |  440  |  326  | -2.0283e+03 | 8.57e-01 | 7.71e+01 | 0.00e+00 |
|  55   |  448  |  332  | -2.0283e+03 | 8.57e-01 | 7.71e+01 | 0.00e+00 |
|  56   |  456  |  338  | -2.0283e+03 | 8.57e-01 | 7.71e+01 | 0.00e+00 |
|  57   |  464  |  344  | -2.0283e+03 | 8.57e-01 | 7.71e+01 | 0.00e+00 |
|  58   |  472  |  350  | -2.0283e+03 | 8.57e-01 | 7.71e+01 | 0.00e+00 |
|  59   |  480  |  356  | -2.0283e+03 | 8.57e-01 | 7.71e+01 | 0.00e+00 |
|  60   |  488  |  362  | -2.0283e+03 | 8.57e-01 | 7.71e+01 | 0.00e+00 |
|  61   |  496  |  368  | -2.0283e+03 | 8.57e-01 | 7.71e+01 | 0.00e+00 |
|  62   |  504  |  374  | -2.0283e+03 | 8.57e-01 | 7.71e+01 | 0.00e+00 |
