writing to logs/EXT_data/2/trust-constr/Brazil/2021_8_20
| niter |f evals|CG iter|  obj func   |tr radius |   opt    |  c viol  |
|-------|-------|-------|-------------|----------|----------|----------|
|   1   |   8   |   0   | +2.5823e+04 | 1.00e+00 | 5.86e+06 | 0.00e+00 |
|   2   |  16   |   1   | -3.6738e+02 | 1.00e+00 | 8.88e+01 | 3.01e-01 |
|   3   |  24   |   8   | -3.6739e+02 | 6.54e+00 | 7.48e+01 | 3.01e-01 |
|   4   |  32   |  14   | -4.0489e+02 | 6.54e+00 | 1.05e+03 | 1.13e-01 |
|   5   |  40   |  21   | -4.3257e+02 | 8.43e+00 | 2.18e+02 | 1.39e-01 |
|   6   |  48   |  27   | -3.0492e+02 | 8.43e+00 | 3.84e+02 | 5.80e-02 |
|   7   |  56   |  33   | -2.8595e+02 | 8.43e+00 | 5.11e+02 | 1.94e-02 |
|   8   |  64   |  39   | -4.0147e+02 | 8.43e+00 | 4.84e+02 | 1.23e-04 |
|   9   |  72   |  45   | -6.4580e+02 | 8.43e+00 | 2.80e+02 | 0.00e+00 |
|  10   |  80   |  51   | -6.9785e+02 | 8.43e+00 | 2.28e+02 | 0.00e+00 |
|  11   |  88   |  57   | -7.4018e+02 | 8.43e+00 | 1.77e+02 | 0.00e+00 |
|  12   |  96   |  64   | -7.6877e+02 | 5.90e+01 | 1.66e+02 | 0.00e+00 |
|  13   |  112  |  71   | -7.6877e+02 | 5.90e+00 | 1.66e+02 | 0.00e+00 |
|  14   |  120  |  78   | -7.6925e+02 | 5.90e+00 | 1.66e+02 | 0.00e+00 |
|  15   |  128  |  85   | -7.6968e+02 | 5.90e+00 | 1.65e+02 | 0.00e+00 |
|  16   |  136  |  92   | -7.7536e+02 | 5.90e+00 | 1.47e+02 | 0.00e+00 |
|  17   |  144  |  99   | -7.7686e+02 | 5.90e+00 | 1.41e+02 | 0.00e+00 |
|  18   |  152  |  106  | -7.7887e+02 | 5.90e+00 | 1.28e+02 | 0.00e+00 |
|  19   |  160  |  113  | -7.7908e+02 | 5.90e+00 | 1.27e+02 | 0.00e+00 |
|  20   |  168  |  120  | -7.8059e+02 | 5.90e+00 | 1.20e+02 | 0.00e+00 |
|  21   |  176  |  127  | -7.8060e+02 | 5.90e+00 | 1.20e+02 | 0.00e+00 |
|  22   |  184  |  134  | -7.8075e+02 | 5.90e+00 | 1.23e+02 | 0.00e+00 |
|  23   |  192  |  141  | -7.8080e+02 | 5.90e+00 | 1.21e+02 | 0.00e+00 |
|  24   |  200  |  148  | -7.8083e+02 | 5.90e+00 | 1.19e+02 | 0.00e+00 |
|  25   |  208  |  155  | -7.8085e+02 | 5.90e+00 | 1.20e+02 | 0.00e+00 |
|  26   |  216  |  162  | -7.8086e+02 | 5.90e+00 | 1.19e+02 | 0.00e+00 |
|  27   |  224  |  169  | -7.8087e+02 | 5.90e+00 | 1.20e+02 | 0.00e+00 |
|  28   |  232  |  176  | -7.8090e+02 | 5.90e+00 | 1.18e+02 | 0.00e+00 |
|  29   |  240  |  183  | -7.8090e+02 | 5.90e+00 | 1.19e+02 | 0.00e+00 |
|  30   |  248  |  190  | -7.8091e+02 | 5.90e+00 | 1.19e+02 | 0.00e+00 |
|  31   |  256  |  194  | -7.8091e+02 | 5.90e+00 | 1.19e+02 | 0.00e+00 |
|  32   |  272  |  201  | -7.8091e+02 | 5.90e-01 | 1.19e+02 | 0.00e+00 |
|  33   |  280  |  208  | -7.9087e+02 | 1.39e+00 | 1.33e+02 | 0.00e+00 |
|  34   |  288  |  215  | -7.9747e+02 | 1.39e+00 | 1.44e+02 | 0.00e+00 |
|  35   |  296  |  222  | -8.0908e+02 | 1.82e+00 | 1.80e+02 | 0.00e+00 |
|  36   |  304  |  229  | -8.1859e+02 | 1.82e+00 | 1.53e+02 | 0.00e+00 |
|  37   |  312  |  236  | -8.2555e+02 | 1.82e+00 | 1.61e+02 | 0.00e+00 |
|  38   |  320  |  243  | -8.2597e+02 | 1.82e+00 | 1.68e+02 | 0.00e+00 |
|  39   |  328  |  250  | -8.2935e+02 | 1.82e+00 | 1.60e+02 | 0.00e+00 |
|  40   |  336  |  257  | -8.2973e+02 | 1.82e+00 | 1.59e+02 | 0.00e+00 |
|  41   |  344  |  264  | -8.2979e+02 | 1.82e+00 | 1.58e+02 | 0.00e+00 |
|  42   |  352  |  271  | -8.2984e+02 | 1.82e+00 | 1.56e+02 | 0.00e+00 |
|  43   |  360  |  276  | -8.2984e+02 | 1.82e+00 | 1.56e+02 | 0.00e+00 |
|  44   |  368  |  278  | -8.2984e+02 | 1.82e+00 | 1.56e+02 | 0.00e+00 |
|  45   |  384  |  283  | -8.2984e+02 | 1.82e-01 | 1.56e+02 | 0.00e+00 |
|  46   |  392  |  290  | -8.3008e+02 | 6.59e-01 | 1.61e+02 | 0.00e+00 |
|  47   |  400  |  297  | -8.3011e+02 | 6.59e-01 | 1.55e+02 | 0.00e+00 |
|  48   |  408  |  304  | -8.3020e+02 | 6.59e-01 | 1.59e+02 | 0.00e+00 |
|  49   |  416  |  311  | -8.3022e+02 | 6.59e-01 | 1.57e+02 | 0.00e+00 |
|  50   |  424  |  318  | -8.3025e+02 | 6.59e-01 | 1.59e+02 | 0.00e+00 |
|  51   |  432  |  323  | -8.3031e+02 | 6.59e-01 | 1.62e+02 | 0.00e+00 |
|  52   |  440  |  329  | -8.3032e+02 | 6.59e-01 | 1.61e+02 | 0.00e+00 |
|  53   |  448  |  333  | -8.3032e+02 | 6.59e-01 | 1.61e+02 | 0.00e+00 |
|  54   |  456  |  340  | -8.3049e+02 | 6.59e-01 | 1.60e+02 | 0.00e+00 |
|  55   |  464  |  347  | -8.3064e+02 | 6.59e-01 | 1.62e+02 | 0.00e+00 |
|  56   |  472  |  354  | -8.3088e+02 | 1.48e+00 | 1.65e+02 | 0.00e+00 |
|  57   |  480  |  361  | -8.3093e+02 | 1.48e+00 | 1.65e+02 | 0.00e+00 |
|  58   |  488  |  365  | -8.3094e+02 | 1.48e+00 | 1.65e+02 | 0.00e+00 |
|  59   |  496  |  367  | -8.3094e+02 | 1.48e+00 | 1.65e+02 | 0.00e+00 |
|  60   |  504  |  369  | -8.3094e+02 | 1.48e+00 | 1.65e+02 | 0.00e+00 |
|  61   |  520  |  373  | -8.3094e+02 | 1.48e-01 | 1.65e+02 | 0.00e+00 |
|  62   |  528  |  378  | -8.3098e+02 | 1.48e-01 | 1.61e+02 | 0.00e+00 |
|  63   |  544  |  384  | -8.3098e+02 | 7.38e-02 | 1.61e+02 | 0.00e+00 |
|  64   |  552  |  390  | -8.3107e+02 | 5.17e-01 | 1.64e+02 | 0.00e+00 |
|  65   |  560  |  392  | -8.3107e+02 | 5.17e-01 | 1.64e+02 | 0.00e+00 |
|  66   |  568  |  394  | -8.3108e+02 | 5.17e-01 | 1.64e+02 | 0.00e+00 |
|  67   |  576  |  400  | -8.3114e+02 | 5.61e-01 | 1.64e+02 | 0.00e+00 |
|  68   |  584  |  403  | -8.3114e+02 | 5.61e-01 | 1.64e+02 | 0.00e+00 |
|  69   |  592  |  408  | -8.3116e+02 | 5.61e-01 | 1.64e+02 | 0.00e+00 |
|  70   |  600  |  410  | -8.3117e+02 | 5.61e-01 | 1.64e+02 | 0.00e+00 |
|  71   |  608  |  417  | -8.3207e+02 | 1.12e+00 | 1.56e+02 | 0.00e+00 |
|  72   |  616  |  420  | -8.3224e+02 | 1.12e+00 | 1.61e+02 | 0.00e+00 |
|  73   |  624  |  427  | -8.3265e+02 | 4.00e+00 | 1.64e+02 | 0.00e+00 |
|  74   |  632  |  430  | -8.3267e+02 | 4.00e+00 | 1.63e+02 | 0.00e+00 |
|  75   |  640  |  431  | -8.3267e+02 | 4.00e+00 | 1.63e+02 | 0.00e+00 |
|  76   |  648  |  434  | -8.3267e+02 | 4.00e-01 | 1.63e+02 | 0.00e+00 |
|  77   |  656  |  435  | -8.9524e+02 | 2.80e+00 | 1.28e+02 | 0.00e+00 |
|  78   |  672  |  437  | -8.9524e+02 | 2.80e-01 | 1.28e+02 | 0.00e+00 |
|  79   |  680  |  444  | -9.1075e+02 | 1.74e+00 | 1.73e+02 | 0.00e+00 |
|  80   |  696  |  451  | -9.1075e+02 | 7.23e-01 | 1.73e+02 | 0.00e+00 |
|  81   |  704  |  457  | -9.4518e+02 | 5.06e+00 | 2.23e+02 | 0.00e+00 |
