writing to logs/EXT_data/2/trust-constr/China/2021_8_20
| niter |f evals|CG iter|  obj func   |tr radius |   opt    |  c viol  |
|-------|-------|-------|-------------|----------|----------|----------|
|   1   |   8   |   0   | +5.7946e+03 | 1.00e+00 | 1.11e+06 | 0.00e+00 |
|   2   |  16   |   1   | -1.2015e+02 | 1.00e+00 | 2.61e+02 | 2.97e-01 |
|   3   |  24   |   8   | -1.2029e+02 | 6.52e+00 | 1.29e+02 | 2.97e-01 |
|   4   |  32   |  15   | -9.7962e+01 | 9.02e+00 | 2.50e+01 | 2.56e-01 |
|   5   |  40   |  22   | -1.3789e+02 | 9.20e+00 | 1.81e+01 | 1.38e-01 |
|   6   |  48   |  28   | -1.7490e+02 | 9.20e+00 | 1.44e+01 | 7.08e-02 |
|   7   |  56   |  34   | +3.4179e+02 | 9.20e+00 | 3.69e+02 | 2.72e-02 |
|   8   |  64   |  39   | +4.3349e+00 | 9.20e+00 | 1.80e+02 | 1.39e-03 |
|   9   |  72   |  44   | +1.0141e+00 | 9.20e+00 | 1.79e+02 | 0.00e+00 |
|  10   |  80   |  48   | +8.7289e-01 | 9.20e+00 | 1.79e+02 | 0.00e+00 |
|  11   |  88   |  53   | -3.1630e+02 | 9.20e+00 | 1.80e+01 | 0.00e+00 |
|  12   |  96   |  58   | -3.1676e+02 | 9.20e+00 | 1.85e+01 | 0.00e+00 |
|  13   |  104  |  63   | -3.2447e+02 | 9.20e+00 | 2.57e+01 | 0.00e+00 |
|  14   |  112  |  68   | -3.2664e+02 | 9.20e+00 | 2.72e+01 | 0.00e+00 |
|  15   |  120  |  73   | -3.2746e+02 | 9.20e+00 | 2.78e+01 | 0.00e+00 |
|  16   |  128  |  78   | -3.2771e+02 | 9.20e+00 | 2.81e+01 | 0.00e+00 |
|  17   |  136  |  83   | -3.2775e+02 | 9.20e+00 | 2.83e+01 | 0.00e+00 |
|  18   |  144  |  86   | -3.2775e+02 | 9.20e+00 | 2.83e+01 | 0.00e+00 |
|  19   |  152  |  89   | -3.2775e+02 | 9.20e+00 | 2.83e+01 | 0.00e+00 |
|  20   |  160  |  92   | -3.2775e+02 | 9.20e+00 | 2.83e+01 | 0.00e+00 |
|  21   |  168  |  95   | -3.2775e+02 | 9.20e+00 | 2.83e+01 | 0.00e+00 |
|  22   |  176  |  98   | -3.2776e+02 | 9.20e+00 | 2.83e+01 | 0.00e+00 |
|  23   |  184  |  101  | -3.2776e+02 | 9.20e+00 | 2.83e+01 | 0.00e+00 |
|  24   |  192  |  104  | -3.2776e+02 | 9.20e+00 | 2.83e+01 | 0.00e+00 |
|  25   |  200  |  107  | -3.2776e+02 | 9.20e+00 | 2.83e+01 | 0.00e+00 |
|  26   |  208  |  110  | -3.2776e+02 | 9.20e+00 | 2.83e+01 | 0.00e+00 |
|  27   |  216  |  113  | -3.2776e+02 | 9.20e+00 | 2.83e+01 | 0.00e+00 |
|  28   |  224  |  116  | -3.2776e+02 | 9.20e+00 | 2.83e+01 | 0.00e+00 |
|  29   |  232  |  121  | -3.2776e+02 | 9.20e-01 | 2.83e+01 | 0.00e+00 |
|  30   |  240  |  126  | -3.2965e+02 | 3.45e+00 | 2.96e+01 | 0.00e+00 |
|  31   |  248  |  131  | -3.2990e+02 | 3.45e+00 | 3.02e+01 | 0.00e+00 |
|  32   |  256  |  136  | -3.2996e+02 | 3.45e+00 | 3.08e+01 | 0.00e+00 |
|  33   |  264  |  141  | -3.2998e+02 | 3.45e+00 | 3.06e+01 | 0.00e+00 |
|  34   |  272  |  144  | -3.2998e+02 | 3.45e+00 | 3.06e+01 | 0.00e+00 |
|  35   |  280  |  149  | -3.3258e+02 | 4.78e+00 | 3.59e+01 | 0.00e+00 |
|  36   |  288  |  154  | -3.3471e+02 | 4.78e+00 | 3.29e+01 | 0.00e+00 |
|  37   |  296  |  159  | -3.3950e+02 | 4.78e+00 | 3.32e+01 | 0.00e+00 |
|  38   |  312  |  162  | -3.3950e+02 | 4.78e-01 | 3.32e+01 | 0.00e+00 |
|  39   |  320  |  169  | -3.3951e+02 | 4.78e-01 | 3.32e+01 | 0.00e+00 |
|  40   |  328  |  176  | -3.3952e+02 | 4.78e-01 | 3.32e+01 | 0.00e+00 |
|  41   |  336  |  183  | -3.3953e+02 | 4.78e-01 | 3.32e+01 | 0.00e+00 |
|  42   |  344  |  189  | -3.4811e+02 | 3.34e+00 | 3.21e+01 | 0.00e+00 |
|  43   |  352  |  195  | -3.5254e+02 | 3.34e+00 | 2.01e+01 | 0.00e+00 |
|  44   |  360  |  199  | -3.5834e+02 | 3.34e+00 | 1.57e+01 | 0.00e+00 |
|  45   |  376  |  203  | -3.5834e+02 | 6.32e-01 | 1.57e+01 | 0.00e+00 |
|  46   |  384  |  206  | -3.7399e+02 | 4.43e+00 | 1.66e+01 | 0.00e+00 |
|  47   |  392  |  210  | -3.9616e+02 | 6.67e+00 | 1.72e+01 | 0.00e+00 |
|  48   |  408  |  214  | -3.9616e+02 | 6.67e-01 | 1.72e+01 | 0.00e+00 |
|  49   |  416  |  216  | -4.0974e+02 | 4.67e+00 | 1.65e+01 | 0.00e+00 |
|  50   |  432  |  223  | -4.0974e+02 | 4.67e-01 | 1.65e+01 | 0.00e+00 |
|  51   |  440  |  230  | -4.1017e+02 | 5.50e-01 | 1.70e+01 | 0.00e+00 |
|  52   |  448  |  237  | -4.1039e+02 | 5.50e-01 | 1.75e+01 | 0.00e+00 |
|  53   |  456  |  244  | -4.1082e+02 | 6.05e-01 | 1.86e+01 | 0.00e+00 |
|  54   |  464  |  251  | -4.1090e+02 | 6.05e-01 | 1.93e+01 | 0.00e+00 |
|  55   |  472  |  258  | -4.1092e+02 | 6.05e-01 | 1.94e+01 | 0.00e+00 |
|  56   |  480  |  261  | -4.1092e+02 | 6.05e-01 | 1.95e+01 | 0.00e+00 |
|  57   |  496  |  268  | -4.1092e+02 | 6.05e-02 | 1.95e+01 | 0.00e+00 |
|  58   |  504  |  273  | -4.1094e+02 | 6.05e-02 | 1.96e+01 | 0.00e+00 |
|  59   |  512  |  278  | -4.1095e+02 | 6.05e-02 | 1.95e+01 | 0.00e+00 |
|  60   |  520  |  283  | -4.1114e+02 | 2.62e-01 | 1.89e+01 | 0.00e+00 |
|  61   |  528  |  288  | -4.1127e+02 | 4.04e-01 | 1.82e+01 | 0.00e+00 |
|  62   |  536  |  290  | -4.1128e+02 | 4.04e-01 | 1.81e+01 | 0.00e+00 |
|  63   |  544  |  294  | -4.1364e+02 | 4.04e-01 | 4.64e+01 | 0.00e+00 |
|  64   |  552  |  299  | -4.1594e+02 | 5.36e-01 | 1.71e+01 | 0.00e+00 |
|  65   |  560  |  303  | -4.1684e+02 | 5.36e-01 | 2.07e+01 | 0.00e+00 |
|  66   |  568  |  308  | -4.1817e+02 | 1.35e+00 | 2.94e+01 | 0.00e+00 |
|  67   |  576  |  312  | -4.1920e+02 | 1.35e+00 | 2.70e+01 | 0.00e+00 |
|  68   |  584  |  317  | -4.2097e+02 | 1.35e+00 | 1.09e+01 | 0.00e+00 |
|  69   |  592  |  322  | -4.2111e+02 | 1.35e+00 | 1.22e+01 | 0.00e+00 |
|  70   |  600  |  326  | -4.2113e+02 | 1.35e+00 | 1.25e+01 | 0.00e+00 |
|  71   |  616  |  327  | -4.2113e+02 | 1.35e-01 | 1.25e+01 | 0.00e+00 |
|  72   |  632  |  328  | -4.2113e+02 | 1.35e-02 | 1.25e+01 | 0.00e+00 |
|  73   |  648  |  329  | -4.2113e+02 | 1.35e-03 | 1.25e+01 | 0.00e+00 |
|  74   |  664  |  330  | -4.2113e+02 | 1.35e-04 | 1.25e+01 | 0.00e+00 |
|  75   |  680  |  331  | -4.2113e+02 | 1.35e-05 | 1.25e+01 | 0.00e+00 |
|  76   |  696  |  332  | -4.2113e+02 | 1.35e-06 | 1.25e+01 | 0.00e+00 |
|  77   |  712  |  333  | -4.2113e+02 | 1.35e-07 | 1.25e+01 | 0.00e+00 |
|  78   |  728  |  334  | -4.2113e+02 | 1.35e-08 | 1.25e+01 | 0.00e+00 |
|  79   |  744  |  335  | -4.2113e+02 | 1.35e-09 | 1.25e+01 | 0.00e+00 |
|  80   |  760  |  336  | -4.2113e+02 | 1.35e-10 | 1.25e+01 | 0.00e+00 |
|  81   |  776  |  337  | -4.2113e+02 | 1.35e-11 | 1.25e+01 | 0.00e+00 |
|  82   |  792  |  338  | -4.2113e+02 | 1.35e-12 | 1.25e+01 | 0.00e+00 |
|  83   |  808  |  339  | -4.2113e+02 | 1.35e-13 | 1.25e+01 | 0.00e+00 |
|  84   |  816  |  339  | -4.2113e+02 | 1.00e+00 | 1.25e+01 | 0.00e+00 |
|  85   |  832  |  340  | -4.2113e+02 | 1.00e-01 | 1.25e+01 | 0.00e+00 |
|  86   |  848  |  341  | -4.2113e+02 | 1.00e-02 | 1.25e+01 | 0.00e+00 |
|  87   |  864  |  342  | -4.2113e+02 | 1.00e-03 | 1.25e+01 | 0.00e+00 |
|  88   |  880  |  343  | -4.2113e+02 | 1.00e-04 | 1.25e+01 | 0.00e+00 |
|  89   |  896  |  344  | -4.2113e+02 | 1.00e-05 | 1.25e+01 | 0.00e+00 |
|  90   |  912  |  345  | -4.2113e+02 | 1.00e-06 | 1.25e+01 | 0.00e+00 |
|  91   |  928  |  346  | -4.2113e+02 | 1.00e-07 | 1.25e+01 | 0.00e+00 |
|  92   |  944  |  347  | -4.2113e+02 | 1.00e-08 | 1.25e+01 | 0.00e+00 |
|  93   |  960  |  348  | -4.2113e+02 | 1.00e-09 | 1.25e+01 | 0.00e+00 |
|  94   |  976  |  349  | -4.2113e+02 | 1.00e-10 | 1.25e+01 | 0.00e+00 |
|  95   |  992  |  350  | -4.2113e+02 | 1.00e-11 | 1.25e+01 | 0.00e+00 |
|  96   | 1008  |  351  | -4.2113e+02 | 1.00e-12 | 1.25e+01 | 0.00e+00 |
|  97   | 1024  |  352  | -4.2113e+02 | 1.00e-13 | 1.25e+01 | 0.00e+00 |
|  98   | 1032  |  352  | -4.2113e+02 | 1.00e+00 | 1.25e+01 | 0.00e+00 |
|  99   | 1048  |  353  | -4.2113e+02 | 1.00e-01 | 1.25e+01 | 0.00e+00 |
|  100  | 1064  |  354  | -4.2113e+02 | 1.00e-02 | 1.25e+01 | 0.00e+00 |
|  101  | 1080  |  355  | -4.2113e+02 | 1.00e-03 | 1.25e+01 | 0.00e+00 |
|  102  | 1096  |  356  | -4.2113e+02 | 1.00e-04 | 1.25e+01 | 0.00e+00 |
|  103  | 1112  |  357  | -4.2113e+02 | 1.00e-05 | 1.25e+01 | 0.00e+00 |
|  104  | 1128  |  358  | -4.2113e+02 | 1.00e-06 | 1.25e+01 | 0.00e+00 |
|  105  | 1144  |  359  | -4.2113e+02 | 1.00e-07 | 1.25e+01 | 0.00e+00 |
|  106  | 1160  |  360  | -4.2113e+02 | 1.00e-08 | 1.25e+01 | 0.00e+00 |
|  107  | 1176  |  361  | -4.2113e+02 | 1.00e-09 | 1.25e+01 | 0.00e+00 |
|  108  | 1192  |  362  | -4.2113e+02 | 1.00e-10 | 1.25e+01 | 0.00e+00 |
