writing to logs/EXT_data/2/trust-constr/Colombia/2021_8_20
| niter |f evals|CG iter|  obj func   |tr radius |   opt    |  c viol  |
|-------|-------|-------|-------------|----------|----------|----------|
|   1   |   8   |   0   | -1.2839e+03 | 1.00e+00 | 9.06e+04 | 0.00e+00 |
|   2   |  16   |   1   | -1.2839e+03 | 5.00e-01 | 9.06e+04 | 0.00e+00 |
|   3   |  24   |   2   | -1.2839e+03 | 2.50e-01 | 9.06e+04 | 0.00e+00 |
|   4   |  32   |   3   | -1.2839e+03 | 1.25e-01 | 9.06e+04 | 0.00e+00 |
|   5   |  40   |   4   | -1.2839e+03 | 6.25e-02 | 9.06e+04 | 0.00e+00 |
|   6   |  48   |   5   | -1.2839e+03 | 3.12e-02 | 9.06e+04 | 0.00e+00 |
|   7   |  56   |   6   | -1.3904e+03 | 3.12e-02 | 4.66e+03 | 0.00e+00 |
|   8   |  64   |   7   | -1.4540e+03 | 6.25e-02 | 1.35e+04 | 0.00e+00 |
|   9   |  72   |  12   | -1.4540e+03 | 3.12e-02 | 1.35e+04 | 0.00e+00 |
|  10   |  80   |  14   | -1.4540e+03 | 1.22e-02 | 1.35e+04 | 0.00e+00 |
|  11   |  88   |  15   | -1.4540e+03 | 6.12e-03 | 1.35e+04 | 0.00e+00 |
|  12   |  96   |  16   | -1.4760e+03 | 6.12e-03 | 3.36e+03 | 0.00e+00 |
|  13   |  104  |  19   | -1.4760e+03 | 2.50e-03 | 3.36e+03 | 0.00e+00 |
|  14   |  112  |  22   | -1.4853e+03 | 1.75e-02 | 3.23e+03 | 0.00e+00 |
|  15   |  120  |  28   | -1.4949e+03 | 1.01e-01 | 3.07e+03 | 0.00e+00 |
|  16   |  128  |  32   | -1.4949e+03 | 1.01e-02 | 3.07e+03 | 0.00e+00 |
|  17   |  136  |  34   | -1.5017e+03 | 5.72e-02 | 2.75e+03 | 0.00e+00 |
|  18   |  144  |  35   | -1.5013e+03 | 3.20e-01 | 2.75e+03 | 0.00e+00 |
|  19   |  152  |  36   | -1.4990e+03 | 1.79e+00 | 2.76e+03 | 0.00e+00 |
|  20   |  160  |  37   | -1.3756e+03 | 8.48e+00 | 1.82e+03 | 0.00e+00 |
|  21   |  168  |  38   | -1.2038e+03 | 8.48e+00 | 3.45e+02 | 0.00e+00 |
|  22   |  176  |  39   | -1.1325e+03 | 8.48e+00 | 7.69e+01 | 0.00e+00 |
|  23   |  184  |  40   | -1.1043e+03 | 8.48e+00 | 5.61e+01 | 0.00e+00 |
|  24   |  192  |  41   | -1.0916e+03 | 8.48e+00 | 5.55e+01 | 0.00e+00 |
|  25   |  200  |  42   | -1.0888e+03 | 8.48e+00 | 5.60e+01 | 0.00e+00 |
|  26   |  208  |  49   | -1.0888e+03 | 8.48e-01 | 5.60e+01 | 0.00e+00 |
|  27   |  216  |  56   | -1.1320e+03 | 1.77e+00 | 5.73e+01 | 0.00e+00 |
|  28   |  224  |  63   | -1.1782e+03 | 1.79e+00 | 5.55e+01 | 0.00e+00 |
|  29   |  232  |  70   | -1.2248e+03 | 1.79e+00 | 5.16e+01 | 0.00e+00 |
|  30   |  240  |  77   | -1.2724e+03 | 1.86e+00 | 5.78e+01 | 0.00e+00 |
|  31   |  248  |  84   | -1.3229e+03 | 2.44e+00 | 1.50e+02 | 0.00e+00 |
|  32   |  256  |  91   | -1.3278e+03 | 2.44e+00 | 1.59e+02 | 0.00e+00 |
|  33   |  264  |  98   | -1.3321e+03 | 2.44e+00 | 1.66e+02 | 0.00e+00 |
|  34   |  272  |  105  | -1.3359e+03 | 2.44e+00 | 1.71e+02 | 0.00e+00 |
|  35   |  280  |  112  | -1.3395e+03 | 2.44e+00 | 1.77e+02 | 0.00e+00 |
|  36   |  288  |  119  | -1.3429e+03 | 2.44e+00 | 1.82e+02 | 0.00e+00 |
|  37   |  296  |  126  | -1.3462e+03 | 2.44e+00 | 1.85e+02 | 0.00e+00 |
|  38   |  304  |  133  | -1.3494e+03 | 2.44e+00 | 1.89e+02 | 0.00e+00 |
|  39   |  312  |  140  | -1.3525e+03 | 2.44e+00 | 1.92e+02 | 0.00e+00 |
|  40   |  320  |  147  | -1.3556e+03 | 2.44e+00 | 1.96e+02 | 0.00e+00 |
|  41   |  328  |  154  | -1.3586e+03 | 2.44e+00 | 1.99e+02 | 0.00e+00 |
|  42   |  336  |  161  | -1.3617e+03 | 2.44e+00 | 2.01e+02 | 0.00e+00 |
|  43   |  344  |  168  | -1.3647e+03 | 2.44e+00 | 2.03e+02 | 0.00e+00 |
|  44   |  352  |  175  | -1.3677e+03 | 2.44e+00 | 2.05e+02 | 0.00e+00 |
|  45   |  360  |  182  | -1.3707e+03 | 2.44e+00 | 2.06e+02 | 0.00e+00 |
|  46   |  368  |  189  | -1.3737e+03 | 2.44e+00 | 2.09e+02 | 0.00e+00 |
|  47   |  376  |  196  | -1.3767e+03 | 2.44e+00 | 2.10e+02 | 0.00e+00 |
|  48   |  384  |  203  | -1.3797e+03 | 2.44e+00 | 2.11e+02 | 0.00e+00 |
|  49   |  392  |  210  | -1.3827e+03 | 2.44e+00 | 2.13e+02 | 0.00e+00 |
|  50   |  400  |  217  | -1.3857e+03 | 2.44e+00 | 2.13e+02 | 0.00e+00 |
|  51   |  408  |  224  | -1.3888e+03 | 2.44e+00 | 2.14e+02 | 0.00e+00 |
|  52   |  416  |  231  | -1.3919e+03 | 2.44e+00 | 2.15e+02 | 0.00e+00 |
|  53   |  424  |  238  | -1.3949e+03 | 2.44e+00 | 2.15e+02 | 0.00e+00 |
|  54   |  432  |  245  | -1.3980e+03 | 2.44e+00 | 2.15e+02 | 0.00e+00 |
|  55   |  440  |  252  | -1.4012e+03 | 2.44e+00 | 2.14e+02 | 0.00e+00 |
|  56   |  448  |  259  | -1.4043e+03 | 2.44e+00 | 2.15e+02 | 0.00e+00 |
|  57   |  456  |  266  | -1.4074e+03 | 2.44e+00 | 2.14e+02 | 0.00e+00 |
|  58   |  464  |  273  | -1.4106e+03 | 2.44e+00 | 2.13e+02 | 0.00e+00 |
|  59   |  472  |  280  | -1.4137e+03 | 2.44e+00 | 2.12e+02 | 0.00e+00 |
|  60   |  480  |  287  | -1.4169e+03 | 2.44e+00 | 2.11e+02 | 0.00e+00 |
|  61   |  488  |  294  | -1.4200e+03 | 2.44e+00 | 2.09e+02 | 0.00e+00 |
|  62   |  496  |  301  | -1.4232e+03 | 2.44e+00 | 2.06e+02 | 0.00e+00 |
|  63   |  504  |  308  | -1.4263e+03 | 2.44e+00 | 2.05e+02 | 0.00e+00 |
|  64   |  512  |  315  | -1.4294e+03 | 2.44e+00 | 2.01e+02 | 0.00e+00 |
|  65   |  528  |  322  | -1.4294e+03 | 2.44e-01 | 2.01e+02 | 0.00e+00 |
|  66   |  536  |  329  | -1.4408e+03 | 5.30e-01 | 1.66e+02 | 0.00e+00 |
|  67   |  544  |  336  | -1.4495e+03 | 5.30e-01 | 1.36e+02 | 0.00e+00 |
|  68   |  560  |  343  | -1.4495e+03 | 2.65e-01 | 1.36e+02 | 0.00e+00 |
|  69   |  576  |  349  | -1.4495e+03 | 6.91e-02 | 1.36e+02 | 0.00e+00 |
|  70   |  584  |  355  | -1.4542e+03 | 4.84e-01 | 5.93e+01 | 0.00e+00 |
|  71   |  592  |  362  | -1.4562e+03 | 4.84e-01 | 3.67e+02 | 0.00e+00 |
|  72   |  600  |  369  | -1.4652e+03 | 4.84e-01 | 6.59e+01 | 0.00e+00 |
|  73   |  608  |  376  | -1.4677e+03 | 4.84e-01 | 1.24e+02 | 0.00e+00 |
|  74   |  624  |  383  | -1.4677e+03 | 4.84e-02 | 1.24e+02 | 0.00e+00 |
|  75   |  632  |  390  | -1.4679e+03 | 1.03e-01 | 1.07e+02 | 0.00e+00 |
|  76   |  640  |  397  | -1.4680e+03 | 1.03e-01 | 1.27e+02 | 0.00e+00 |
|  77   |  648  |  404  | -1.4681e+03 | 1.03e-01 | 1.12e+02 | 0.00e+00 |
|  78   |  656  |  411  | -1.4686e+03 | 4.93e-01 | 1.14e+02 | 0.00e+00 |
|  79   |  664  |  418  | -1.4689e+03 | 4.93e-01 | 1.22e+02 | 0.00e+00 |
|  80   |  672  |  425  | -1.4691e+03 | 4.93e-01 | 1.20e+02 | 0.00e+00 |
|  81   |  680  |  432  | -1.4693e+03 | 4.93e-01 | 1.16e+02 | 0.00e+00 |
|  82   |  688  |  439  | -1.4695e+03 | 4.93e-01 | 1.19e+02 | 0.00e+00 |
|  83   |  696  |  446  | -1.4696e+03 | 4.93e-01 | 1.17e+02 | 0.00e+00 |
|  84   |  704  |  453  | -1.4697e+03 | 4.93e-01 | 1.19e+02 | 0.00e+00 |
|  85   |  712  |  460  | -1.4697e+03 | 4.93e-01 | 1.17e+02 | 0.00e+00 |
|  86   |  720  |  467  | -1.4698e+03 | 4.93e-01 | 1.21e+02 | 0.00e+00 |
|  87   |  728  |  474  | -1.4698e+03 | 4.93e-01 | 1.14e+02 | 0.00e+00 |
|  88   |  736  |  481  | -1.4699e+03 | 4.93e-01 | 1.22e+02 | 0.00e+00 |
|  89   |  744  |  488  | -1.4700e+03 | 4.93e-01 | 1.05e+02 | 0.00e+00 |
|  90   |  752  |  495  | -1.4700e+03 | 4.93e-01 | 1.21e+02 | 0.00e+00 |
|  91   |  760  |  502  | -1.4701e+03 | 4.93e-01 | 1.24e+02 | 0.00e+00 |
|  92   |  768  |  509  | -1.4701e+03 | 4.93e-01 | 1.24e+02 | 0.00e+00 |
|  93   |  776  |  515  | -1.4789e+03 | 3.45e+00 | 1.94e+02 | 0.00e+00 |
|  94   |  784  |  522  | -1.4813e+03 | 3.45e+00 | 1.70e+02 | 0.00e+00 |
|  95   |  792  |  529  | -1.4867e+03 | 3.45e+00 | 2.38e+02 | 0.00e+00 |
|  96   |  800  |  536  | -1.4877e+03 | 3.45e+00 | 1.98e+02 | 0.00e+00 |
|  97   |  808  |  543  | -1.4879e+03 | 3.45e+00 | 1.70e+02 | 0.00e+00 |
