writing to logs/EXT_data/2/trust-constr/Philippines/2021_8_20
| niter |f evals|CG iter|  obj func   |tr radius |   opt    |  c viol  |
|-------|-------|-------|-------------|----------|----------|----------|
|   1   |   8   |   0   | -2.8062e+02 | 1.00e+00 | 9.12e+04 | 0.00e+00 |
|   2   |  16   |   1   | -2.8062e+02 | 5.00e-01 | 9.12e+04 | 0.00e+00 |
|   3   |  24   |   2   | -2.9930e+02 | 5.00e-01 | 1.20e+03 | 1.25e-01 |
|   4   |  32   |   7   | -3.1668e+02 | 2.80e+00 | 1.24e+03 | 1.24e-01 |
|   5   |  40   |  12   | -3.3064e+02 | 7.98e+00 | 2.92e+02 | 1.24e-01 |
|   6   |  48   |  19   | -2.6675e+02 | 7.98e+00 | 2.36e+03 | 1.22e-01 |
|   7   |  56   |  26   | -3.3370e+02 | 7.98e+00 | 1.26e+02 | 1.23e-01 |
|   8   |  64   |  33   | -3.6965e+02 | 9.09e+00 | 1.42e+02 | 6.68e-02 |
|   9   |  72   |  39   | -4.1002e+02 | 9.09e+00 | 1.46e+02 | 2.65e-02 |
|  10   |  80   |  45   | -4.4054e+02 | 9.09e+00 | 1.48e+02 | 5.14e-03 |
|  11   |  88   |  51   | -4.4989e+02 | 9.09e+00 | 1.46e+02 | 0.00e+00 |
|  12   |  96   |  57   | -4.5010e+02 | 9.09e+00 | 1.45e+02 | 0.00e+00 |
|  13   |  104  |  63   | -4.5676e+02 | 9.09e+00 | 7.28e+01 | 0.00e+00 |
|  14   |  112  |  69   | -4.5825e+02 | 9.09e+00 | 6.30e+01 | 0.00e+00 |
|  15   |  120  |  75   | -4.6493e+02 | 9.09e+00 | 2.03e+01 | 0.00e+00 |
|  16   |  128  |  81   | -4.6768e+02 | 9.09e+00 | 2.12e+01 | 0.00e+00 |
|  17   |  136  |  87   | -4.6867e+02 | 9.09e+00 | 7.05e+01 | 0.00e+00 |
|  18   |  144  |  93   | -4.6968e+02 | 9.09e+00 | 3.65e+01 | 0.00e+00 |
|  19   |  152  |  99   | -4.6981e+02 | 9.09e+00 | 3.60e+01 | 0.00e+00 |
|  20   |  160  |  105  | -4.6982e+02 | 9.09e+00 | 4.28e+01 | 0.00e+00 |
|  21   |  168  |  110  | -4.6983e+02 | 9.09e+00 | 4.08e+01 | 0.00e+00 |
