writing to logs/EXT_data/2/trust-constr/SAfrica/2021_8_20
| niter |f evals|CG iter|  obj func   |tr radius |   opt    |  c viol  |
|-------|-------|-------|-------------|----------|----------|----------|
|   1   |   8   |   0   | -1.4118e+03 | 1.00e+00 | 8.52e+03 | 0.00e+00 |
|   2   |  16   |   1   | -1.4118e+03 | 1.00e-01 | 8.52e+03 | 0.00e+00 |
|   3   |  24   |   7   | -1.4118e+03 | 5.61e-01 | 8.51e+03 | 0.00e+00 |
|   4   |  32   |  13   | -1.4118e+03 | 3.14e+00 | 8.47e+03 | 0.00e+00 |
|   5   |  40   |  19   | -1.4118e+03 | 3.14e-01 | 8.47e+03 | 0.00e+00 |
|   6   |  48   |  25   | -1.4133e+03 | 1.77e+00 | 8.42e+03 | 0.00e+00 |
|   7   |  56   |  31   | -1.4133e+03 | 1.77e-01 | 8.42e+03 | 0.00e+00 |
|   8   |  64   |  37   | -1.4148e+03 | 9.99e-01 | 8.34e+03 | 0.00e+00 |
|   9   |  72   |  43   | -1.4148e+03 | 1.84e-01 | 8.34e+03 | 0.00e+00 |
|  10   |  80   |  49   | -1.4148e+03 | 1.05e+00 | 8.10e+03 | 0.00e+00 |
|  11   |  88   |  56   | -1.4152e+03 | 6.14e+00 | 4.20e+03 | 0.00e+00 |
|  12   |  96   |  62   | -1.4152e+03 | 6.14e-01 | 4.20e+03 | 0.00e+00 |
|  13   |  104  |  68   | -1.0112e+03 | 3.65e+00 | 9.58e+04 | 0.00e+00 |
|  14   |  112  |  74   | -1.0112e+03 | 3.65e-01 | 9.58e+04 | 0.00e+00 |
|  15   |  120  |  81   | -1.0112e+03 | 3.65e-02 | 9.58e+04 | 0.00e+00 |
|  16   |  128  |  88   | -1.0205e+03 | 2.46e-01 | 9.17e+04 | 0.00e+00 |
|  17   |  136  |  95   | -1.0220e+03 | 1.46e+00 | 7.60e+04 | 0.00e+00 |
|  18   |  144  |  101  | +6.8203e+02 | 7.21e+00 | 1.95e+05 | 0.00e+00 |
|  19   |  152  |  108  | -9.8961e+02 | 7.21e+00 | 6.43e+03 | 0.00e+00 |
|  20   |  160  |  114  | -7.4278e+02 | 7.21e+00 | 3.56e+03 | 0.00e+00 |
|  21   |  168  |  120  | -1.2402e+03 | 7.21e+00 | 1.34e+03 | 0.00e+00 |
|  22   |  176  |  126  | -1.4288e+03 | 8.15e+00 | 3.53e+02 | 0.00e+00 |
|  23   |  184  |  133  | -1.4351e+03 | 8.15e+00 | 3.23e+02 | 0.00e+00 |
|  24   |  192  |  140  | -1.4640e+03 | 8.15e+00 | 2.51e+02 | 0.00e+00 |
|  25   |  200  |  147  | -1.4859e+03 | 8.15e+00 | 3.40e+02 | 0.00e+00 |
|  26   |  216  |  154  | -1.4859e+03 | 8.15e-01 | 3.40e+02 | 0.00e+00 |
|  27   |  224  |  161  | -1.4861e+03 | 8.15e-01 | 3.51e+02 | 0.00e+00 |
|  28   |  232  |  167  | -1.4861e+03 | 8.15e-01 | 3.51e+02 | 0.00e+00 |
|  29   |  240  |  174  | -1.4984e+03 | 8.15e-01 | 7.29e+01 | 0.00e+00 |
|  30   |  248  |  181  | -1.4985e+03 | 8.15e-01 | 4.41e+01 | 0.00e+00 |
|  31   |  256  |  188  | -1.4986e+03 | 8.15e-01 | 6.60e+01 | 0.00e+00 |
|  32   |  264  |  195  | -1.4987e+03 | 8.15e-01 | 4.56e+01 | 0.00e+00 |
|  33   |  272  |  202  | -1.4988e+03 | 8.15e-01 | 6.46e+01 | 0.00e+00 |
|  34   |  280  |  209  | -1.4988e+03 | 8.15e-01 | 4.71e+01 | 0.00e+00 |
|  35   |  288  |  216  | -1.4988e+03 | 8.15e-01 | 6.35e+01 | 0.00e+00 |
|  36   |  296  |  223  | -1.4989e+03 | 8.15e-01 | 4.82e+01 | 0.00e+00 |
|  37   |  304  |  230  | -1.4989e+03 | 8.15e-01 | 6.23e+01 | 0.00e+00 |
|  38   |  312  |  237  | -1.4989e+03 | 8.15e-01 | 5.00e+01 | 0.00e+00 |
|  39   |  320  |  244  | -1.4989e+03 | 8.15e-01 | 6.21e+01 | 0.00e+00 |
|  40   |  328  |  251  | -1.4990e+03 | 8.15e-01 | 5.17e+01 | 0.00e+00 |
|  41   |  336  |  258  | -1.4990e+03 | 8.15e-01 | 6.16e+01 | 0.00e+00 |
|  42   |  344  |  265  | -1.4990e+03 | 8.15e-01 | 5.28e+01 | 0.00e+00 |
|  43   |  352  |  272  | -1.4990e+03 | 8.15e-01 | 6.10e+01 | 0.00e+00 |
|  44   |  360  |  279  | -1.4990e+03 | 8.15e-01 | 5.36e+01 | 0.00e+00 |
|  45   |  368  |  286  | -1.4990e+03 | 8.15e-01 | 6.02e+01 | 0.00e+00 |
|  46   |  376  |  293  | -1.4990e+03 | 8.15e-01 | 5.42e+01 | 0.00e+00 |
|  47   |  384  |  300  | -1.4990e+03 | 8.15e-01 | 5.93e+01 | 0.00e+00 |
|  48   |  392  |  307  | -1.4990e+03 | 8.15e-01 | 5.47e+01 | 0.00e+00 |
