writing to logs/EXT_data/2/trust-constr/Turkey/2021_8_20
| niter |f evals|CG iter|  obj func   |tr radius |   opt    |  c viol  |
|-------|-------|-------|-------------|----------|----------|----------|
|   1   |   8   |   0   | -4.2653e+02 | 1.00e+00 | 1.77e+05 | 0.00e+00 |
|   2   |  16   |   1   | -4.2653e+02 | 5.00e-01 | 1.77e+05 | 0.00e+00 |
|   3   |  24   |   2   | -4.9985e+02 | 5.00e-01 | 1.58e+03 | 1.24e-01 |
|   4   |  32   |   7   | -5.1564e+02 | 2.80e+00 | 1.67e+03 | 1.23e-01 |
|   5   |  40   |  12   | -5.3096e+02 | 7.98e+00 | 6.51e+02 | 1.22e-01 |
|   6   |  48   |  19   | -5.4747e+02 | 7.98e+00 | 2.41e+02 | 1.22e-01 |
|   7   |  56   |  26   | -5.6525e+02 | 7.98e+00 | 8.68e+01 | 1.21e-01 |
|   8   |  64   |  33   | -5.6525e+02 | 7.98e-01 | 8.68e+01 | 1.21e-01 |
|   9   |  72   |  34   | -6.2454e+02 | 4.52e+00 | 4.77e+01 | 6.11e-02 |
|  10   |  80   |  35   | -7.1412e+02 | 5.73e+00 | 4.90e+01 | 1.30e-02 |
|  11   |  88   |  36   | -7.9036e+02 | 5.73e+00 | 4.84e+01 | 0.00e+00 |
|  12   |  96   |  37   | -8.2351e+02 | 5.73e+00 | 4.79e+01 | 0.00e+00 |
|  13   |  104  |  44   | -9.6107e+02 | 6.88e+00 | 1.71e+02 | 0.00e+00 |
|  14   |  112  |  51   | -1.0009e+03 | 6.88e+00 | 2.14e+02 | 0.00e+00 |
|  15   |  120  |  58   | -1.1033e+03 | 6.88e+00 | 4.33e+02 | 0.00e+00 |
|  16   |  128  |  65   | -1.1042e+03 | 6.88e+00 | 4.37e+02 | 0.00e+00 |
|  17   |  136  |  72   | -1.1446e+03 | 6.88e+00 | 6.17e+02 | 0.00e+00 |
|  18   |  144  |  79   | -1.1844e+03 | 6.88e+00 | 5.03e+02 | 0.00e+00 |
