writing to logs/trust-constr/Chile/2021_7_19_14_43
| niter |f evals|CG iter|  obj func   |tr radius |   opt    |  c viol  |
|-------|-------|-------|-------------|----------|----------|----------|
|   1   |   8   |   0   | -5.6008e+02 | 1.00e+00 | 9.46e+02 | 0.00e+00 |
|   2   |  16   |   1   | -5.6008e+02 | 1.00e-01 | 9.46e+02 | 0.00e+00 |
|   3   |  24   |   8   | -5.6008e+02 | 5.60e-01 | 9.45e+02 | 0.00e+00 |
|   4   |  32   |  15   | -5.6008e+02 | 3.14e+00 | 9.38e+02 | 0.00e+00 |
|   5   |  40   |  22   | -5.6008e+02 | 8.00e+00 | 3.15e+02 | 0.00e+00 |
|   6   |  48   |  28   | -5.6006e+02 | 8.00e+00 | 2.52e+02 | 0.00e+00 |
|   7   |  56   |  34   | -5.6005e+02 | 8.00e+00 | 2.38e+02 | 0.00e+00 |
|   8   |  64   |  40   | -5.6005e+02 | 8.00e+00 | 2.31e+02 | 0.00e+00 |
|   9   |  72   |  46   | -5.6005e+02 | 8.00e+00 | 2.28e+02 | 0.00e+00 |
|  10   |  80   |  52   | -5.6005e+02 | 8.00e+00 | 2.27e+02 | 0.00e+00 |
|  11   |  88   |  59   | -5.6005e+02 | 8.00e-01 | 2.27e+02 | 0.00e+00 |
|  12   |  96   |  66   | -5.6005e+02 | 8.00e-01 | 2.27e+02 | 0.00e+00 |
|  13   |  104  |  73   | -5.6005e+02 | 8.00e-01 | 2.27e+02 | 0.00e+00 |
|  14   |  112  |  80   | -5.6005e+02 | 8.00e-01 | 2.27e+02 | 0.00e+00 |
|  15   |  120  |  87   | -5.6005e+02 | 8.00e-01 | 2.27e+02 | 0.00e+00 |
|  16   |  128  |  94   | -5.6005e+02 | 8.00e-01 | 2.27e+02 | 0.00e+00 |
|  17   |  136  |  101  | -6.1249e+02 | 4.73e+00 | 2.02e+02 | 0.00e+00 |
|  18   |  144  |  108  | -6.3995e+02 | 4.88e+00 | 1.06e+02 | 0.00e+00 |
|  19   |  160  |  115  | -6.3995e+02 | 4.88e-01 | 1.06e+02 | 0.00e+00 |
|  20   |  168  |  122  | -6.4160e+02 | 4.88e-01 | 1.41e+02 | 0.00e+00 |
|  21   |  176  |  129  | -6.4181e+02 | 4.88e-01 | 1.27e+02 | 0.00e+00 |
|  22   |  184  |  136  | -6.4194e+02 | 4.88e-01 | 1.32e+02 | 0.00e+00 |
|  23   |  192  |  139  | -6.4194e+02 | 4.88e-02 | 1.32e+02 | 0.00e+00 |
|  24   |  192  |  142  | -6.4194e+02 | 4.88e-03 | 1.32e+02 | 0.00e+00 |
|  25   |  192  |  145  | -6.4194e+02 | 4.88e-04 | 1.32e+02 | 0.00e+00 |
|  26   |  192  |  148  | -6.4194e+02 | 4.88e-05 | 1.32e+02 | 0.00e+00 |
|  27   |  192  |  151  | -6.4194e+02 | 4.88e-06 | 1.32e+02 | 0.00e+00 |
|  28   |  192  |  154  | -6.4194e+02 | 4.88e-07 | 1.32e+02 | 0.00e+00 |
|  29   |  192  |  157  | -6.4194e+02 | 4.88e-08 | 1.32e+02 | 0.00e+00 |
|  30   |  192  |  160  | -6.4194e+02 | 4.88e-09 | 1.32e+02 | 0.00e+00 |
|  31   |  200  |  160  | -6.4194e+02 | 1.00e+00 | 1.32e+02 | 0.00e+00 |
|  32   |  208  |  163  | -6.4194e+02 | 1.00e-01 | 1.32e+02 | 0.00e+00 |
|  33   |  208  |  166  | -6.4194e+02 | 1.00e-02 | 1.32e+02 | 0.00e+00 |
|  34   |  208  |  169  | -6.4194e+02 | 1.00e-03 | 1.32e+02 | 0.00e+00 |
|  35   |  208  |  172  | -6.4194e+02 | 1.00e-04 | 1.32e+02 | 0.00e+00 |
|  36   |  208  |  175  | -6.4194e+02 | 1.00e-05 | 1.32e+02 | 0.00e+00 |
|  37   |  208  |  178  | -6.4194e+02 | 1.00e-06 | 1.32e+02 | 0.00e+00 |
|  38   |  208  |  181  | -6.4194e+02 | 1.00e-07 | 1.32e+02 | 0.00e+00 |
|  39   |  208  |  184  | -6.4194e+02 | 1.00e-08 | 1.32e+02 | 0.00e+00 |
|  40   |  208  |  187  | -6.4194e+02 | 1.00e-09 | 1.32e+02 | 0.00e+00 |
|  41   |  216  |  187  | -6.4194e+02 | 1.00e+00 | 1.32e+02 | 0.00e+00 |
|  42   |  224  |  190  | -6.4194e+02 | 1.00e-01 | 1.32e+02 | 0.00e+00 |
|  43   |  224  |  193  | -6.4194e+02 | 1.00e-02 | 1.32e+02 | 0.00e+00 |
|  44   |  224  |  196  | -6.4194e+02 | 1.00e-03 | 1.32e+02 | 0.00e+00 |
|  45   |  224  |  199  | -6.4194e+02 | 1.00e-04 | 1.32e+02 | 0.00e+00 |
|  46   |  224  |  202  | -6.4194e+02 | 1.00e-05 | 1.32e+02 | 0.00e+00 |
|  47   |  224  |  205  | -6.4194e+02 | 1.00e-06 | 1.32e+02 | 0.00e+00 |
|  48   |  224  |  208  | -6.4194e+02 | 1.00e-07 | 1.32e+02 | 0.00e+00 |
|  49   |  224  |  211  | -6.4194e+02 | 1.00e-08 | 1.32e+02 | 0.00e+00 |
|  50   |  224  |  214  | -6.4194e+02 | 1.00e-09 | 1.32e+02 | 0.00e+00 |
|  51   |  232  |  214  | -6.4194e+02 | 1.00e+00 | 1.32e+02 | 0.00e+00 |
|  52   |  240  |  217  | -6.4194e+02 | 1.00e-01 | 1.32e+02 | 0.00e+00 |
|  53   |  240  |  220  | -6.4194e+02 | 1.00e-02 | 1.32e+02 | 0.00e+00 |
|  54   |  240  |  223  | -6.4194e+02 | 1.00e-03 | 1.32e+02 | 0.00e+00 |
|  55   |  240  |  226  | -6.4194e+02 | 1.00e-04 | 1.32e+02 | 0.00e+00 |
|  56   |  240  |  229  | -6.4194e+02 | 1.00e-05 | 1.32e+02 | 0.00e+00 |
|  57   |  240  |  232  | -6.4194e+02 | 1.00e-06 | 1.32e+02 | 0.00e+00 |
|  58   |  240  |  235  | -6.4194e+02 | 1.00e-07 | 1.32e+02 | 0.00e+00 |
|  59   |  240  |  238  | -6.4194e+02 | 1.00e-08 | 1.32e+02 | 0.00e+00 |
|  60   |  240  |  241  | -6.4194e+02 | 1.00e-09 | 1.32e+02 | 0.00e+00 |
|  61   |  248  |  241  | -6.4194e+02 | 1.00e+00 | 1.32e+02 | 0.00e+00 |
|  62   |  256  |  244  | -6.4194e+02 | 1.00e-01 | 1.32e+02 | 0.00e+00 |
|  63   |  256  |  247  | -6.4194e+02 | 1.00e-02 | 1.32e+02 | 0.00e+00 |
|  64   |  256  |  250  | -6.4194e+02 | 1.00e-03 | 1.32e+02 | 0.00e+00 |
|  65   |  256  |  253  | -6.4194e+02 | 1.00e-04 | 1.32e+02 | 0.00e+00 |
|  66   |  256  |  256  | -6.4194e+02 | 1.00e-05 | 1.32e+02 | 0.00e+00 |
|  67   |  256  |  259  | -6.4194e+02 | 1.00e-06 | 1.32e+02 | 0.00e+00 |
|  68   |  256  |  262  | -6.4194e+02 | 1.00e-07 | 1.32e+02 | 0.00e+00 |
|  69   |  256  |  265  | -6.4194e+02 | 1.00e-08 | 1.32e+02 | 0.00e+00 |
|  70   |  256  |  268  | -6.4194e+02 | 1.00e-09 | 1.32e+02 | 0.00e+00 |
|  71   |  264  |  268  | -6.4194e+02 | 1.00e+00 | 1.32e+02 | 0.00e+00 |
|  72   |  272  |  271  | -6.4194e+02 | 1.00e-01 | 1.32e+02 | 0.00e+00 |
|  73   |  272  |  274  | -6.4194e+02 | 1.00e-02 | 1.32e+02 | 0.00e+00 |
|  74   |  272  |  277  | -6.4194e+02 | 1.00e-03 | 1.32e+02 | 0.00e+00 |
|  75   |  272  |  280  | -6.4194e+02 | 1.00e-04 | 1.32e+02 | 0.00e+00 |
|  76   |  272  |  283  | -6.4194e+02 | 1.00e-05 | 1.32e+02 | 0.00e+00 |
|  77   |  272  |  286  | -6.4194e+02 | 1.00e-06 | 1.32e+02 | 0.00e+00 |
|  78   |  272  |  289  | -6.4194e+02 | 1.00e-07 | 1.32e+02 | 0.00e+00 |
|  79   |  272  |  292  | -6.4194e+02 | 1.00e-08 | 1.32e+02 | 0.00e+00 |
|  80   |  272  |  295  | -6.4194e+02 | 1.00e-09 | 1.32e+02 | 0.00e+00 |
|  81   |  280  |  295  | -6.4194e+02 | 1.00e+00 | 1.32e+02 | 0.00e+00 |
|  82   |  288  |  298  | -6.4194e+02 | 1.00e-01 | 1.32e+02 | 0.00e+00 |
|  83   |  288  |  301  | -6.4194e+02 | 1.00e-02 | 1.32e+02 | 0.00e+00 |
|  84   |  288  |  304  | -6.4194e+02 | 1.00e-03 | 1.32e+02 | 0.00e+00 |
|  85   |  288  |  307  | -6.4194e+02 | 1.00e-04 | 1.32e+02 | 0.00e+00 |
|  86   |  288  |  310  | -6.4194e+02 | 1.00e-05 | 1.32e+02 | 0.00e+00 |
|  87   |  288  |  313  | -6.4194e+02 | 1.00e-06 | 1.32e+02 | 0.00e+00 |
|  88   |  288  |  316  | -6.4194e+02 | 1.00e-07 | 1.32e+02 | 0.00e+00 |
|  89   |  288  |  319  | -6.4194e+02 | 1.00e-08 | 1.32e+02 | 0.00e+00 |
|  90   |  288  |  322  | -6.4194e+02 | 1.00e-09 | 1.32e+02 | 0.00e+00 |
|  91   |  296  |  322  | -6.4194e+02 | 1.00e+00 | 1.32e+02 | 0.00e+00 |
|  92   |  304  |  325  | -6.4194e+02 | 1.00e-01 | 1.32e+02 | 0.00e+00 |
|  93   |  304  |  328  | -6.4194e+02 | 1.00e-02 | 1.32e+02 | 0.00e+00 |
|  94   |  304  |  331  | -6.4194e+02 | 1.00e-03 | 1.32e+02 | 0.00e+00 |
|  95   |  304  |  334  | -6.4194e+02 | 1.00e-04 | 1.32e+02 | 0.00e+00 |
|  96   |  304  |  337  | -6.4194e+02 | 1.00e-05 | 1.32e+02 | 0.00e+00 |
|  97   |  304  |  340  | -6.4194e+02 | 1.00e-06 | 1.32e+02 | 0.00e+00 |
|  98   |  304  |  343  | -6.4194e+02 | 1.00e-07 | 1.32e+02 | 0.00e+00 |
|  99   |  304  |  346  | -6.4194e+02 | 1.00e-08 | 1.32e+02 | 0.00e+00 |
|  100  |  304  |  349  | -6.4194e+02 | 1.00e-09 | 1.32e+02 | 0.00e+00 |
|  101  |  312  |  349  | -6.4194e+02 | 1.00e+00 | 1.32e+02 | 0.00e+00 |
|  102  |  320  |  352  | -6.4194e+02 | 1.00e-01 | 1.32e+02 | 0.00e+00 |
|  103  |  320  |  355  | -6.4194e+02 | 1.00e-02 | 1.32e+02 | 0.00e+00 |
