writing to logs/trust-constr/China/2021_7_19_14_43
| niter |f evals|CG iter|  obj func   |tr radius |   opt    |  c viol  |
|-------|-------|-------|-------------|----------|----------|----------|
|   1   |   8   |   0   | -5.5790e+02 | 1.00e+00 | 1.01e+03 | 0.00e+00 |
|   2   |  16   |   1   | -5.5790e+02 | 1.00e-01 | 1.01e+03 | 0.00e+00 |
|   3   |  24   |   8   | -5.5790e+02 | 5.60e-01 | 1.00e+03 | 0.00e+00 |
|   4   |  32   |  15   | -5.5790e+02 | 3.14e+00 | 9.97e+02 | 0.00e+00 |
|   5   |  40   |  21   | -5.5789e+02 | 8.00e+00 | 3.34e+02 | 0.00e+00 |
|   6   |  48   |  27   | -5.5788e+02 | 8.00e+00 | 2.64e+02 | 0.00e+00 |
|   7   |  56   |  33   | -5.5787e+02 | 8.00e+00 | 2.49e+02 | 0.00e+00 |
|   8   |  64   |  39   | -5.5787e+02 | 8.00e+00 | 2.42e+02 | 0.00e+00 |
|   9   |  72   |  45   | -5.5787e+02 | 8.00e+00 | 2.38e+02 | 0.00e+00 |
|  10   |  80   |  51   | -5.5787e+02 | 8.00e+00 | 2.37e+02 | 0.00e+00 |
|  11   |  88   |  58   | -5.5791e+02 | 8.00e+00 | 2.37e+02 | 0.00e+00 |
|  12   |  96   |  65   | -5.5795e+02 | 8.00e+00 | 2.37e+02 | 0.00e+00 |
|  13   |  104  |  72   | -5.5799e+02 | 8.00e+00 | 2.37e+02 | 0.00e+00 |
|  14   |  112  |  79   | -5.5803e+02 | 8.00e+00 | 2.37e+02 | 0.00e+00 |
|  15   |  120  |  86   | -5.5807e+02 | 8.00e+00 | 2.37e+02 | 0.00e+00 |
|  16   |  128  |  93   | -5.5811e+02 | 8.00e+00 | 2.37e+02 | 0.00e+00 |
|  17   |  136  |  100  | -5.5815e+02 | 8.00e+00 | 2.37e+02 | 0.00e+00 |
|  18   |  144  |  107  | -5.5819e+02 | 8.00e+00 | 2.37e+02 | 0.00e+00 |
|  19   |  152  |  114  | -5.5823e+02 | 8.00e+00 | 2.37e+02 | 0.00e+00 |
|  20   |  160  |  121  | -5.5827e+02 | 8.00e+00 | 2.37e+02 | 0.00e+00 |
|  21   |  168  |  128  | -5.5831e+02 | 8.00e+00 | 2.37e+02 | 0.00e+00 |
|  22   |  176  |  135  | -5.5835e+02 | 8.00e+00 | 2.38e+02 | 0.00e+00 |
|  23   |  184  |  142  | -5.5839e+02 | 8.00e+00 | 2.37e+02 | 0.00e+00 |
|  24   |  192  |  149  | -5.5844e+02 | 8.00e+00 | 2.37e+02 | 0.00e+00 |
|  25   |  200  |  156  | -5.5848e+02 | 8.00e+00 | 2.37e+02 | 0.00e+00 |
|  26   |  208  |  163  | -5.5852e+02 | 8.00e+00 | 2.37e+02 | 0.00e+00 |
|  27   |  216  |  170  | -5.5856e+02 | 8.00e+00 | 2.37e+02 | 0.00e+00 |
|  28   |  224  |  177  | -5.5860e+02 | 8.00e+00 | 2.37e+02 | 0.00e+00 |
