writing to logs/trust-constr/Colombia/2021_7_19_14_43
| niter |f evals|CG iter|  obj func   |tr radius |   opt    |  c viol  |
|-------|-------|-------|-------------|----------|----------|----------|
|   1   |   8   |   0   | -5.1567e+02 | 1.00e+00 | 1.01e+03 | 0.00e+00 |
|   2   |  16   |   1   | -5.1567e+02 | 1.00e-01 | 1.01e+03 | 0.00e+00 |
|   3   |  24   |   8   | -5.1567e+02 | 5.60e-01 | 1.01e+03 | 0.00e+00 |
|   4   |  32   |  15   | -5.1567e+02 | 3.14e+00 | 1.00e+03 | 0.00e+00 |
|   5   |  40   |  20   | -5.1567e+02 | 8.00e+00 | 3.37e+02 | 0.00e+00 |
|   6   |  48   |  26   | -5.1568e+02 | 8.00e+00 | 9.94e+01 | 0.00e+00 |
|   7   |  56   |  32   | -5.1568e+02 | 8.00e+00 | 9.39e+01 | 0.00e+00 |
|   8   |  64   |  38   | -5.1568e+02 | 8.00e+00 | 9.11e+01 | 0.00e+00 |
|   9   |  72   |  44   | -5.1568e+02 | 8.00e+00 | 8.98e+01 | 0.00e+00 |
|  10   |  80   |  50   | -5.1568e+02 | 8.00e+00 | 8.95e+01 | 0.00e+00 |
|  11   |  88   |  57   | -5.2722e+02 | 8.00e+00 | 1.02e+02 | 0.00e+00 |
|  12   |  96   |  64   | -5.2842e+02 | 8.00e+00 | 1.03e+02 | 0.00e+00 |
|  13   |  104  |  71   | -5.2879e+02 | 8.00e+00 | 1.04e+02 | 0.00e+00 |
|  14   |  112  |  77   | -5.2879e+02 | 8.00e+00 | 1.04e+02 | 0.00e+00 |
|  15   |  120  |  83   | -5.2879e+02 | 8.00e+00 | 1.04e+02 | 0.00e+00 |
|  16   |  128  |  89   | -5.2880e+02 | 8.00e+00 | 1.04e+02 | 0.00e+00 |
|  17   |  136  |  95   | -5.2891e+02 | 8.00e+00 | 1.01e+02 | 0.00e+00 |
|  18   |  152  |  98   | -5.2891e+02 | 8.00e-01 | 1.01e+02 | 0.00e+00 |
|  19   |  160  |  104  | -5.2891e+02 | 8.00e-01 | 1.01e+02 | 0.00e+00 |
|  20   |  168  |  111  | -5.2902e+02 | 8.00e-01 | 9.72e+01 | 0.00e+00 |
|  21   |  176  |  118  | -5.2905e+02 | 8.00e-01 | 9.82e+01 | 0.00e+00 |
|  22   |  184  |  125  | -5.2905e+02 | 8.00e-02 | 9.82e+01 | 0.00e+00 |
|  23   |  192  |  132  | -5.2905e+02 | 8.00e-03 | 9.82e+01 | 0.00e+00 |
|  24   |  200  |  138  | -5.2907e+02 | 5.60e-02 | 9.78e+01 | 0.00e+00 |
|  25   |  208  |  143  | -5.2907e+02 | 5.60e-02 | 9.77e+01 | 0.00e+00 |
|  26   |  216  |  150  | -5.2920e+02 | 3.51e-01 | 1.00e+02 | 0.00e+00 |
|  27   |  224  |  157  | -5.2926e+02 | 3.51e-01 | 1.01e+02 | 0.00e+00 |
|  28   |  232  |  162  | -5.2926e+02 | 3.51e-01 | 1.01e+02 | 0.00e+00 |
|  29   |  240  |  169  | -5.2992e+02 | 3.51e-01 | 9.98e+01 | 0.00e+00 |
|  30   |  256  |  176  | -5.2992e+02 | 1.02e-01 | 9.98e+01 | 0.00e+00 |
|  31   |  264  |  181  | -5.2992e+02 | 5.09e-02 | 9.98e+01 | 0.00e+00 |
|  32   |  272  |  186  | -5.3124e+02 | 5.09e-02 | 8.61e+01 | 0.00e+00 |
|  33   |  288  |  191  | -5.3124e+02 | 1.80e-02 | 8.61e+01 | 0.00e+00 |
|  34   |  304  |  196  | -5.3124e+02 | 9.00e-03 | 8.61e+01 | 0.00e+00 |
|  35   |  312  |  201  | -5.3213e+02 | 1.80e-02 | 8.35e+01 | 0.00e+00 |
|  36   |  328  |  206  | -5.3213e+02 | 4.65e-03 | 8.35e+01 | 0.00e+00 |
|  37   |  336  |  211  | -5.3275e+02 | 3.25e-02 | 8.23e+01 | 0.00e+00 |
|  38   |  352  |  216  | -5.3275e+02 | 7.53e-03 | 8.23e+01 | 0.00e+00 |
|  39   |  368  |  221  | -5.3275e+02 | 7.53e-04 | 8.23e+01 | 0.00e+00 |
|  40   |  384  |  226  | -5.3275e+02 | 3.77e-04 | 8.23e+01 | 0.00e+00 |
|  41   |  392  |  231  | -5.3275e+02 | 1.61e-04 | 8.23e+01 | 0.00e+00 |
|  42   |  400  |  236  | -5.3276e+02 | 1.12e-03 | 8.22e+01 | 0.00e+00 |
|  43   |  408  |  241  | -5.3277e+02 | 1.12e-03 | 8.21e+01 | 0.00e+00 |
|  44   |  424  |  246  | -5.3277e+02 | 1.12e-04 | 8.21e+01 | 0.00e+00 |
|  45   |  440  |  251  | -5.3277e+02 | 1.81e-05 | 8.21e+01 | 0.00e+00 |
|  46   |  448  |  256  | -5.3277e+02 | 1.27e-04 | 8.20e+01 | 0.00e+00 |
|  47   |  464  |  261  | -5.3277e+02 | 2.31e-05 | 8.20e+01 | 0.00e+00 |
|  48   |  472  |  266  | -5.3277e+02 | 1.61e-04 | 8.21e+01 | 0.00e+00 |
|  49   |  488  |  271  | -5.3277e+02 | 3.74e-05 | 8.21e+01 | 0.00e+00 |
|  50   |  504  |  276  | -5.3277e+02 | 3.74e-06 | 8.21e+01 | 0.00e+00 |
|  51   |  512  |  281  | -5.3277e+02 | 2.62e-05 | 8.21e+01 | 0.00e+00 |
|  52   |  520  |  286  | -5.3277e+02 | 2.62e-06 | 8.21e+01 | 0.00e+00 |
|  53   |  528  |  291  | -5.3277e+02 | 1.83e-05 | 8.21e+01 | 0.00e+00 |
|  54   |  536  |  296  | -5.3277e+02 | 1.28e-04 | 8.21e+01 | 0.00e+00 |
|  55   |  552  |  301  | -5.3277e+02 | 2.36e-05 | 8.21e+01 | 0.00e+00 |
|  56   |  568  |  306  | -5.3277e+02 | 2.36e-06 | 8.21e+01 | 0.00e+00 |
|  57   |  576  |  311  | -5.3277e+02 | 1.65e-05 | 8.20e+01 | 0.00e+00 |
|  58   |  584  |  316  | -5.3277e+02 | 1.16e-04 | 8.20e+01 | 0.00e+00 |
|  59   |  600  |  321  | -5.3277e+02 | 1.95e-05 | 8.20e+01 | 0.00e+00 |
|  60   |  616  |  326  | -5.3277e+02 | 1.95e-06 | 8.20e+01 | 0.00e+00 |
|  61   |  624  |  331  | -5.3277e+02 | 1.37e-05 | 8.21e+01 | 0.00e+00 |
|  62   |  632  |  336  | -5.3277e+02 | 1.37e-06 | 8.21e+01 | 0.00e+00 |
|  63   |  648  |  341  | -5.3277e+02 | 1.37e-07 | 8.21e+01 | 0.00e+00 |
|  64   |  664  |  346  | -5.3277e+02 | 1.37e-08 | 8.21e+01 | 0.00e+00 |
|  65   |  672  |  351  | -5.3277e+02 | 9.56e-08 | 8.21e+01 | 0.00e+00 |
|  66   |  688  |  356  | -5.3277e+02 | 9.56e-09 | 8.21e+01 | 0.00e+00 |
|  67   |  696  |  356  | -5.3277e+02 | 1.00e+00 | 8.21e+01 | 0.00e+00 |
|  68   |  704  |  363  | -5.3277e+02 | 1.00e-01 | 8.21e+01 | 0.00e+00 |
|  69   |  720  |  368  | -5.3277e+02 | 2.48e-02 | 8.21e+01 | 0.00e+00 |
|  70   |  728  |  373  | -5.3277e+02 | 7.05e-03 | 8.21e+01 | 0.00e+00 |
|  71   |  744  |  378  | -5.3277e+02 | 1.18e-03 | 8.21e+01 | 0.00e+00 |
|  72   |  752  |  383  | -5.3277e+02 | 1.18e-04 | 8.21e+01 | 0.00e+00 |
|  73   |  768  |  388  | -5.3277e+02 | 5.71e-05 | 8.21e+01 | 0.00e+00 |
|  74   |  784  |  393  | -5.3277e+02 | 1.34e-05 | 8.21e+01 | 0.00e+00 |
|  75   |  800  |  398  | -5.3277e+02 | 1.34e-06 | 8.21e+01 | 0.00e+00 |
|  76   |  816  |  403  | -5.3277e+02 | 1.34e-07 | 8.21e+01 | 0.00e+00 |
|  77   |  832  |  408  | -5.3277e+02 | 1.34e-08 | 8.21e+01 | 0.00e+00 |
|  78   |  840  |  412  | -5.3277e+02 | 9.40e-08 | 7.84e+05 | 0.00e+00 |
|  79   |  856  |  414  | -5.3277e+02 | 4.70e-08 | 7.84e+05 | 0.00e+00 |
|  80   |  872  |  416  | -5.3277e+02 | 2.35e-08 | 7.84e+05 | 0.00e+00 |
|  81   |  888  |  418  | -5.3277e+02 | 1.18e-08 | 7.84e+05 | 0.00e+00 |
|  82   |  904  |  419  | -5.3277e+02 | 5.88e-09 | 7.84e+05 | 0.00e+00 |
|  83   |  912  |  419  | -5.3277e+02 | 1.00e+00 | 7.84e+05 | 0.00e+00 |
|  84   |  928  |  420  | -5.3277e+02 | 1.00e-01 | 7.84e+05 | 0.00e+00 |
|  85   |  944  |  426  | -5.3277e+02 | 5.00e-02 | 7.84e+05 | 0.00e+00 |
|  86   |  960  |  430  | -5.3277e+02 | 2.50e-02 | 7.84e+05 | 0.00e+00 |
|  87   |  976  |  432  | -5.3277e+02 | 1.25e-02 | 7.84e+05 | 0.00e+00 |
|  88   |  992  |  434  | -5.3277e+02 | 6.25e-03 | 7.84e+05 | 0.00e+00 |
|  89   | 1008  |  436  | -5.3277e+02 | 3.13e-03 | 7.84e+05 | 0.00e+00 |
|  90   | 1024  |  438  | -5.3277e+02 | 1.56e-03 | 7.84e+05 | 0.00e+00 |
|  91   | 1032  |  440  | -5.3277e+02 | 7.81e-04 | 7.84e+05 | 0.00e+00 |
|  92   | 1040  |  442  | -5.3277e+02 | 3.91e-04 | 7.84e+05 | 0.00e+00 |
|  93   | 1056  |  444  | -5.3277e+02 | 1.95e-04 | 7.84e+05 | 0.00e+00 |
|  94   | 1064  |  447  | -5.3277e+02 | 9.77e-05 | 7.84e+05 | 0.00e+00 |
|  95   | 1080  |  450  | -5.3277e+02 | 4.88e-05 | 7.84e+05 | 0.00e+00 |
|  96   | 1096  |  452  | -5.3277e+02 | 2.44e-05 | 7.84e+05 | 0.00e+00 |
|  97   | 1112  |  454  | -5.3277e+02 | 1.22e-05 | 7.84e+05 | 0.00e+00 |
|  98   | 1120  |  456  | -5.3277e+02 | 6.10e-06 | 7.84e+05 | 0.00e+00 |
|  99   | 1136  |  458  | -5.3277e+02 | 3.05e-06 | 7.84e+05 | 0.00e+00 |
|  100  | 1144  |  459  | -5.3277e+02 | 1.53e-06 | 7.84e+05 | 0.00e+00 |
|  101  | 1152  |  460  | -5.3277e+02 | 7.63e-07 | 7.84e+05 | 0.00e+00 |
|  102  | 1168  |  461  | -5.3277e+02 | 3.81e-07 | 7.84e+05 | 0.00e+00 |
|  103  | 1184  |  462  | -5.3277e+02 | 1.91e-07 | 7.84e+05 | 0.00e+00 |
|  104  | 1200  |  463  | -5.3277e+02 | 9.54e-08 | 7.84e+05 | 0.00e+00 |
|  105  | 1216  |  464  | -5.3277e+02 | 4.77e-08 | 7.84e+05 | 0.00e+00 |
|  106  | 1232  |  466  | -5.3277e+02 | 2.38e-08 | 7.84e+05 | 0.00e+00 |
|  107  | 1240  |  468  | -5.3277e+02 | 1.19e-08 | 7.84e+05 | 0.00e+00 |
|  108  | 1248  |  470  | -5.3277e+02 | 5.96e-09 | 7.84e+05 | 0.00e+00 |
