writing to logs/trust-constr/Croatia/2021_7_19_14_43
| niter |f evals|CG iter|  obj func   |tr radius |   opt    |  c viol  |
|-------|-------|-------|-------------|----------|----------|----------|
|   1   |   8   |   0   | -5.6295e+02 | 1.00e+00 | 8.84e+02 | 0.00e+00 |
|   2   |  16   |   1   | -5.6295e+02 | 1.00e-01 | 8.84e+02 | 0.00e+00 |
|   3   |  24   |   8   | -5.6295e+02 | 5.60e-01 | 8.83e+02 | 0.00e+00 |
|   4   |  32   |  15   | -5.6295e+02 | 3.14e+00 | 8.76e+02 | 0.00e+00 |
|   5   |  40   |  21   | -5.6294e+02 | 8.00e+00 | 2.94e+02 | 0.00e+00 |
|   6   |  48   |  27   | -5.6294e+02 | 8.00e+00 | 2.06e+02 | 0.00e+00 |
|   7   |  56   |  33   | -5.6293e+02 | 8.00e+00 | 1.94e+02 | 0.00e+00 |
|   8   |  64   |  39   | -5.6293e+02 | 8.00e+00 | 1.89e+02 | 0.00e+00 |
|   9   |  72   |  45   | -5.6293e+02 | 8.00e+00 | 1.86e+02 | 0.00e+00 |
|  10   |  80   |  51   | -5.6293e+02 | 8.00e+00 | 1.85e+02 | 0.00e+00 |
|  11   |  96   |  58   | -5.6293e+02 | 8.00e-01 | 1.85e+02 | 0.00e+00 |
|  12   |  104  |  65   | -5.6293e+02 | 8.00e-01 | 1.85e+02 | 0.00e+00 |
|  13   |  112  |  72   | -5.6293e+02 | 8.00e-01 | 1.85e+02 | 0.00e+00 |
|  14   |  120  |  79   | -5.6747e+02 | 8.00e-01 | 1.83e+02 | 0.00e+00 |
|  15   |  128  |  86   | -5.7202e+02 | 8.00e-01 | 1.81e+02 | 0.00e+00 |
|  16   |  136  |  93   | -6.0511e+02 | 1.60e+00 | 1.16e+02 | 0.00e+00 |
|  17   |  144  |  100  | -6.0511e+02 | 1.60e-01 | 1.16e+02 | 0.00e+00 |
|  18   |  152  |  107  | -6.0540e+02 | 4.75e-01 | 1.24e+02 | 0.00e+00 |
|  19   |  160  |  113  | -6.0540e+02 | 4.75e-01 | 1.24e+02 | 0.00e+00 |
|  20   |  168  |  119  | -6.0540e+02 | 4.75e-01 | 1.24e+02 | 0.00e+00 |
|  21   |  176  |  126  | -6.0542e+02 | 4.75e-01 | 1.24e+02 | 0.00e+00 |
|  22   |  184  |  133  | -6.0734e+02 | 1.10e+00 | 1.22e+02 | 0.00e+00 |
|  23   |  192  |  139  | -6.0737e+02 | 1.10e+00 | 1.22e+02 | 0.00e+00 |
|  24   |  200  |  144  | -6.0737e+02 | 1.10e+00 | 1.22e+02 | 0.00e+00 |
|  25   |  208  |  149  | -6.0737e+02 | 1.10e+00 | 1.22e+02 | 0.00e+00 |
|  26   |  216  |  156  | -6.0751e+02 | 1.10e+00 | 1.21e+02 | 0.00e+00 |
|  27   |  224  |  161  | -6.0751e+02 | 1.10e+00 | 1.21e+02 | 0.00e+00 |
|  28   |  232  |  166  | -6.0751e+02 | 1.10e+00 | 1.21e+02 | 0.00e+00 |
|  29   |  240  |  171  | -6.0751e+02 | 1.10e+00 | 1.21e+02 | 0.00e+00 |
|  30   |  248  |  176  | -6.0751e+02 | 1.10e+00 | 1.21e+02 | 0.00e+00 |
|  31   |  256  |  183  | -6.0770e+02 | 1.10e+00 | 1.20e+02 | 0.00e+00 |
|  32   |  264  |  190  | -6.0972e+02 | 1.10e+00 | 1.00e+02 | 0.00e+00 |
|  33   |  280  |  197  | -6.0972e+02 | 4.69e-01 | 1.00e+02 | 0.00e+00 |
|  34   |  288  |  204  | -6.1447e+02 | 4.69e-01 | 6.03e+01 | 0.00e+00 |
|  35   |  296  |  209  | -6.1447e+02 | 2.34e-01 | 6.03e+01 | 0.00e+00 |
|  36   |  304  |  214  | -6.2000e+02 | 4.69e-01 | 5.62e+01 | 0.00e+00 |
|  37   |  320  |  219  | -6.2000e+02 | 2.26e-01 | 5.62e+01 | 0.00e+00 |
|  38   |  328  |  226  | -6.2591e+02 | 4.52e-01 | 6.17e+01 | 0.00e+00 |
|  39   |  336  |  233  | -6.2594e+02 | 4.52e-01 | 6.24e+01 | 0.00e+00 |
|  40   |  344  |  240  | -6.2606e+02 | 4.52e-01 | 6.19e+01 | 0.00e+00 |
|  41   |  352  |  247  | -6.2606e+02 | 4.52e-01 | 6.26e+01 | 0.00e+00 |
|  42   |  360  |  254  | -6.2606e+02 | 4.52e-01 | 6.26e+01 | 0.00e+00 |
|  43   |  368  |  261  | -6.2607e+02 | 4.52e-01 | 6.30e+01 | 0.00e+00 |
|  44   |  376  |  268  | -6.2693e+02 | 4.52e-01 | 6.47e+01 | 0.00e+00 |
|  45   |  384  |  275  | -6.2693e+02 | 4.52e-02 | 6.47e+01 | 0.00e+00 |
|  46   |  392  |  282  | -6.2693e+02 | 4.52e-03 | 6.47e+01 | 0.00e+00 |
|  47   |  400  |  289  | -6.2694e+02 | 2.32e-02 | 6.36e+01 | 0.00e+00 |
|  48   |  416  |  296  | -6.2694e+02 | 2.32e-03 | 6.36e+01 | 0.00e+00 |
|  49   |  424  |  301  | -6.2701e+02 | 1.63e-02 | 6.30e+01 | 0.00e+00 |
|  50   |  432  |  306  | -6.2759e+02 | 1.14e-01 | 6.46e+01 | 0.00e+00 |
|  51   |  440  |  311  | -6.3121e+02 | 7.97e-01 | 6.59e+01 | 0.00e+00 |
|  52   |  448  |  318  | -6.4196e+02 | 2.80e+00 | 6.97e+01 | 0.00e+00 |
|  53   |  456  |  325  | -6.4783e+02 | 2.80e+00 | 6.93e+01 | 0.00e+00 |
|  54   |  464  |  332  | -6.5063e+02 | 2.80e+00 | 8.50e+01 | 0.00e+00 |
|  55   |  472  |  339  | -6.5299e+02 | 2.80e+00 | 7.67e+01 | 0.00e+00 |
|  56   |  480  |  346  | -6.5453e+02 | 2.80e+00 | 9.38e+01 | 0.00e+00 |
|  57   |  488  |  353  | -6.5536e+02 | 2.80e+00 | 9.08e+01 | 0.00e+00 |
|  58   |  496  |  360  | -6.5597e+02 | 2.80e+00 | 9.82e+01 | 0.00e+00 |
|  59   |  504  |  367  | -6.5647e+02 | 2.80e+00 | 9.54e+01 | 0.00e+00 |
|  60   |  512  |  374  | -6.5689e+02 | 2.80e+00 | 1.01e+02 | 0.00e+00 |
|  61   |  520  |  381  | -6.5689e+02 | 2.80e-01 | 1.01e+02 | 0.00e+00 |
|  62   |  536  |  388  | -6.5689e+02 | 2.80e-02 | 1.01e+02 | 0.00e+00 |
|  63   |  552  |  393  | -6.5689e+02 | 2.80e-03 | 1.01e+02 | 0.00e+00 |
|  64   |  560  |  398  | -6.5690e+02 | 1.96e-02 | 1.00e+02 | 0.00e+00 |
|  65   |  568  |  403  | -6.5690e+02 | 1.96e-03 | 1.00e+02 | 0.00e+00 |
|  66   |  576  |  408  | -6.5691e+02 | 1.37e-02 | 1.00e+02 | 0.00e+00 |
|  67   |  584  |  413  | -6.5691e+02 | 1.37e-03 | 1.00e+02 | 0.00e+00 |
|  68   |  592  |  418  | -6.5692e+02 | 9.59e-03 | 1.00e+02 | 0.00e+00 |
|  69   |  600  |  423  | -6.5695e+02 | 6.72e-02 | 1.00e+02 | 0.00e+00 |
|  70   |  616  |  428  | -6.5695e+02 | 6.72e-03 | 1.00e+02 | 0.00e+00 |
|  71   |  624  |  433  | -6.5695e+02 | 1.14e-03 | 1.00e+02 | 0.00e+00 |
|  72   |  632  |  438  | -6.5695e+02 | 1.14e-04 | 1.00e+02 | 0.00e+00 |
|  73   |  640  |  443  | -6.5695e+02 | 1.14e-05 | 1.00e+02 | 0.00e+00 |
|  74   |  648  |  448  | -6.5695e+02 | 7.97e-05 | 1.00e+02 | 0.00e+00 |
|  75   |  656  |  453  | -6.5695e+02 | 7.97e-06 | 1.00e+02 | 0.00e+00 |
|  76   |  664  |  458  | -6.5696e+02 | 5.58e-05 | 1.00e+02 | 0.00e+00 |
|  77   |  680  |  463  | -6.5696e+02 | 5.58e-06 | 1.00e+02 | 0.00e+00 |
|  78   |  688  |  468  | -6.5696e+02 | 3.91e-05 | 1.00e+02 | 0.00e+00 |
|  79   |  704  |  473  | -6.5696e+02 | 3.91e-06 | 1.00e+02 | 0.00e+00 |
|  80   |  712  |  478  | -6.5696e+02 | 3.91e-07 | 1.00e+02 | 0.00e+00 |
|  81   |  720  |  483  | -6.5696e+02 | 2.73e-06 | 1.00e+02 | 0.00e+00 |
|  82   |  736  |  488  | -6.5696e+02 | 2.73e-07 | 1.00e+02 | 0.00e+00 |
|  83   |  744  |  493  | -6.5696e+02 | 1.91e-06 | 1.00e+02 | 0.00e+00 |
|  84   |  752  |  498  | -6.5696e+02 | 1.34e-05 | 1.00e+02 | 0.00e+00 |
|  85   |  768  |  503  | -6.5696e+02 | 1.34e-06 | 1.00e+02 | 0.00e+00 |
|  86   |  776  |  508  | -6.5696e+02 | 9.38e-06 | 1.00e+02 | 0.00e+00 |
|  87   |  784  |  513  | -6.5696e+02 | 9.38e-07 | 1.00e+02 | 0.00e+00 |
|  88   |  792  |  518  | -6.5696e+02 | 9.38e-08 | 1.00e+02 | 0.00e+00 |
|  89   |  800  |  523  | -6.5696e+02 | 6.57e-07 | 1.00e+02 | 0.00e+00 |
|  90   |  816  |  528  | -6.5696e+02 | 6.57e-08 | 1.00e+02 | 0.00e+00 |
|  91   |  824  |  533  | -6.5696e+02 | 4.60e-07 | 1.00e+02 | 0.00e+00 |
|  92   |  840  |  538  | -6.5696e+02 | 4.60e-08 | 1.00e+02 | 0.00e+00 |
|  93   |  848  |  543  | -6.5696e+02 | 3.22e-07 | 1.00e+02 | 0.00e+00 |
