writing to logs/trust-constr/Korea/2021_7_19_14_43
| niter |f evals|CG iter|  obj func   |tr radius |   opt    |  c viol  |
|-------|-------|-------|-------------|----------|----------|----------|
|   1   |   8   |   0   | -5.6473e+02 | 1.00e+00 | 9.37e+02 | 0.00e+00 |
|   2   |  16   |   1   | -5.6473e+02 | 1.00e-01 | 9.37e+02 | 0.00e+00 |
|   3   |  24   |   8   | -5.6473e+02 | 5.60e-01 | 9.36e+02 | 0.00e+00 |
|   4   |  32   |  15   | -5.6473e+02 | 3.14e+00 | 9.29e+02 | 0.00e+00 |
|   5   |  40   |  21   | -5.6472e+02 | 8.00e+00 | 3.12e+02 | 0.00e+00 |
|   6   |  48   |  27   | -5.6471e+02 | 8.00e+00 | 2.30e+02 | 0.00e+00 |
|   7   |  56   |  33   | -5.6470e+02 | 8.00e+00 | 2.17e+02 | 0.00e+00 |
|   8   |  64   |  39   | -5.6470e+02 | 8.00e+00 | 2.11e+02 | 0.00e+00 |
|   9   |  72   |  45   | -5.6470e+02 | 8.00e+00 | 2.08e+02 | 0.00e+00 |
|  10   |  80   |  51   | -5.6470e+02 | 8.00e+00 | 2.07e+02 | 0.00e+00 |
|  11   |  88   |  58   | -5.6483e+02 | 8.00e+00 | 2.07e+02 | 0.00e+00 |
|  12   |  96   |  65   | -5.6496e+02 | 8.00e+00 | 2.07e+02 | 0.00e+00 |
|  13   |  104  |  72   | -5.6509e+02 | 8.00e+00 | 2.07e+02 | 0.00e+00 |
|  14   |  112  |  79   | -5.6522e+02 | 8.00e+00 | 2.07e+02 | 0.00e+00 |
|  15   |  120  |  86   | -5.6535e+02 | 8.00e+00 | 2.07e+02 | 0.00e+00 |
|  16   |  128  |  93   | -5.6548e+02 | 8.00e+00 | 2.07e+02 | 0.00e+00 |
|  17   |  136  |  100  | -5.6561e+02 | 8.00e+00 | 2.07e+02 | 0.00e+00 |
|  18   |  144  |  107  | -5.6574e+02 | 8.00e+00 | 2.07e+02 | 0.00e+00 |
|  19   |  152  |  114  | -5.6587e+02 | 8.00e+00 | 2.07e+02 | 0.00e+00 |
|  20   |  160  |  121  | -5.6601e+02 | 8.00e+00 | 2.07e+02 | 0.00e+00 |
|  21   |  168  |  128  | -5.6614e+02 | 8.00e+00 | 2.07e+02 | 0.00e+00 |
|  22   |  176  |  135  | -5.6627e+02 | 8.00e+00 | 2.06e+02 | 0.00e+00 |
|  23   |  184  |  142  | -5.6640e+02 | 8.00e+00 | 2.07e+02 | 0.00e+00 |
|  24   |  192  |  149  | -5.6653e+02 | 8.00e+00 | 2.06e+02 | 0.00e+00 |
|  25   |  200  |  156  | -5.6666e+02 | 8.00e+00 | 2.06e+02 | 0.00e+00 |
|  26   |  208  |  163  | -5.6679e+02 | 8.00e+00 | 2.06e+02 | 0.00e+00 |
|  27   |  216  |  170  | -5.6693e+02 | 8.00e+00 | 2.06e+02 | 0.00e+00 |
|  28   |  224  |  177  | -5.6706e+02 | 8.00e+00 | 2.06e+02 | 0.00e+00 |
|  29   |  232  |  184  | -5.6719e+02 | 8.00e+00 | 2.06e+02 | 0.00e+00 |
|  30   |  240  |  191  | -5.6732e+02 | 8.00e+00 | 2.06e+02 | 0.00e+00 |
|  31   |  248  |  198  | -5.6746e+02 | 8.00e+00 | 2.06e+02 | 0.00e+00 |
|  32   |  256  |  205  | -5.6759e+02 | 8.00e+00 | 2.06e+02 | 0.00e+00 |
|  33   |  264  |  212  | -5.6772e+02 | 8.00e+00 | 2.06e+02 | 0.00e+00 |
|  34   |  272  |  219  | -5.6785e+02 | 8.00e+00 | 2.06e+02 | 0.00e+00 |
|  35   |  280  |  226  | -5.6799e+02 | 8.00e+00 | 2.06e+02 | 0.00e+00 |
|  36   |  288  |  233  | -5.6812e+02 | 8.00e+00 | 2.06e+02 | 0.00e+00 |
|  37   |  296  |  240  | -5.6825e+02 | 8.00e+00 | 2.06e+02 | 0.00e+00 |
|  38   |  304  |  247  | -5.6839e+02 | 8.00e+00 | 2.06e+02 | 0.00e+00 |
|  39   |  312  |  254  | -5.6852e+02 | 8.00e+00 | 2.06e+02 | 0.00e+00 |
|  40   |  320  |  261  | -5.6865e+02 | 8.00e+00 | 2.06e+02 | 0.00e+00 |
|  41   |  328  |  268  | -5.6879e+02 | 8.00e+00 | 2.06e+02 | 0.00e+00 |
|  42   |  336  |  275  | -5.6892e+02 | 8.00e+00 | 2.06e+02 | 0.00e+00 |
|  43   |  344  |  282  | -5.6905e+02 | 8.00e+00 | 2.05e+02 | 0.00e+00 |
|  44   |  352  |  289  | -5.6919e+02 | 8.00e+00 | 2.05e+02 | 0.00e+00 |
|  45   |  360  |  296  | -5.6932e+02 | 8.00e+00 | 2.05e+02 | 0.00e+00 |
|  46   |  368  |  303  | -5.6945e+02 | 8.00e+00 | 2.05e+02 | 0.00e+00 |
|  47   |  376  |  310  | -5.6959e+02 | 8.00e+00 | 2.05e+02 | 0.00e+00 |
|  48   |  384  |  317  | -5.6972e+02 | 8.00e+00 | 2.05e+02 | 0.00e+00 |
|  49   |  392  |  324  | -5.6986e+02 | 8.00e+00 | 2.05e+02 | 0.00e+00 |
