writing to logs/trust-constr/Poland/2021_7_19_14_43
| niter |f evals|CG iter|  obj func   |tr radius |   opt    |  c viol  |
|-------|-------|-------|-------------|----------|----------|----------|
|   1   |   8   |   0   | -5.5846e+02 | 1.00e+00 | 9.52e+02 | 0.00e+00 |
|   2   |  16   |   1   | -5.5846e+02 | 1.00e-01 | 9.52e+02 | 0.00e+00 |
|   3   |  24   |   8   | -5.5846e+02 | 5.60e-01 | 9.51e+02 | 0.00e+00 |
|   4   |  32   |  15   | -5.5846e+02 | 3.14e+00 | 9.45e+02 | 0.00e+00 |
|   5   |  40   |  21   | -5.5845e+02 | 8.00e+00 | 3.17e+02 | 0.00e+00 |
|   6   |  48   |  27   | -5.5844e+02 | 8.00e+00 | 2.57e+02 | 0.00e+00 |
|   7   |  56   |  33   | -5.5844e+02 | 8.00e+00 | 2.42e+02 | 0.00e+00 |
|   8   |  64   |  39   | -5.5843e+02 | 8.00e+00 | 2.35e+02 | 0.00e+00 |
|   9   |  72   |  45   | -5.5843e+02 | 8.00e+00 | 2.32e+02 | 0.00e+00 |
|  10   |  80   |  51   | -5.5843e+02 | 8.00e+00 | 2.31e+02 | 0.00e+00 |
|  11   |  88   |  58   | -6.3189e+02 | 9.19e+00 | 9.94e+01 | 0.00e+00 |
|  12   |  104  |  65   | -6.3189e+02 | 9.53e-01 | 9.94e+01 | 0.00e+00 |
|  13   |  120  |  72   | -6.3189e+02 | 4.77e-01 | 9.94e+01 | 0.00e+00 |
|  14   |  128  |  79   | -6.3189e+02 | 4.77e-01 | 9.94e+01 | 0.00e+00 |
|  15   |  136  |  86   | -6.3189e+02 | 4.77e-01 | 9.94e+01 | 0.00e+00 |
|  16   |  144  |  93   | -6.3341e+02 | 4.77e-01 | 9.94e+01 | 0.00e+00 |
|  17   |  152  |  100  | -6.3798e+02 | 1.15e+00 | 1.20e+02 | 0.00e+00 |
|  18   |  160  |  107  | -6.3832e+02 | 1.15e+00 | 1.25e+02 | 0.00e+00 |
|  19   |  168  |  114  | -6.3849e+02 | 1.15e+00 | 1.32e+02 | 0.00e+00 |
|  20   |  176  |  119  | -6.3849e+02 | 1.15e+00 | 1.32e+02 | 0.00e+00 |
|  21   |  184  |  124  | -6.3849e+02 | 1.15e+00 | 1.32e+02 | 0.00e+00 |
|  22   |  192  |  131  | -6.3849e+02 | 1.15e+00 | 1.32e+02 | 0.00e+00 |
|  23   |  200  |  138  | -6.3855e+02 | 1.15e+00 | 1.35e+02 | 0.00e+00 |
|  24   |  208  |  143  | -6.3855e+02 | 1.15e+00 | 1.35e+02 | 0.00e+00 |
|  25   |  216  |  150  | -6.3855e+02 | 1.15e+00 | 1.35e+02 | 0.00e+00 |
|  26   |  224  |  157  | -6.3855e+02 | 1.15e-01 | 1.35e+02 | 0.00e+00 |
|  27   |  232  |  164  | -6.3883e+02 | 1.15e-01 | 1.34e+02 | 0.00e+00 |
|  28   |  240  |  169  | -6.3883e+02 | 5.76e-02 | 1.34e+02 | 0.00e+00 |
|  29   |  248  |  174  | -6.4101e+02 | 5.76e-02 | 9.92e+01 | 0.00e+00 |
|  30   |  264  |  179  | -6.4101e+02 | 2.88e-02 | 9.92e+01 | 0.00e+00 |
|  31   |  272  |  184  | -6.4128e+02 | 2.88e-02 | 9.35e+01 | 0.00e+00 |
|  32   |  288  |  189  | -6.4128e+02 | 1.11e-02 | 9.35e+01 | 0.00e+00 |
|  33   |  304  |  194  | -6.4128e+02 | 5.56e-03 | 9.35e+01 | 0.00e+00 |
|  34   |  320  |  199  | -6.4128e+02 | 2.78e-03 | 9.35e+01 | 0.00e+00 |
|  35   |  336  |  204  | -6.4128e+02 | 1.39e-03 | 9.35e+01 | 0.00e+00 |
|  36   |  344  |  209  | -6.4128e+02 | 6.95e-04 | 9.35e+01 | 0.00e+00 |
|  37   |  360  |  214  | -6.4128e+02 | 3.48e-04 | 9.35e+01 | 0.00e+00 |
|  38   |  376  |  219  | -6.4128e+02 | 1.19e-04 | 9.35e+01 | 0.00e+00 |
|  39   |  392  |  224  | -6.4128e+02 | 3.97e-05 | 9.35e+01 | 0.00e+00 |
|  40   |  400  |  229  | -6.4128e+02 | 4.45e-06 | 9.35e+01 | 0.00e+00 |
|  41   |  408  |  234  | -6.4128e+02 | 3.12e-05 | 9.28e+01 | 0.00e+00 |
|  42   |  424  |  239  | -6.4128e+02 | 3.12e-06 | 9.28e+01 | 0.00e+00 |
|  43   |  432  |  244  | -6.4128e+02 | 2.18e-05 | 9.32e+01 | 0.00e+00 |
|  44   |  448  |  249  | -6.4128e+02 | 2.18e-06 | 9.32e+01 | 0.00e+00 |
|  45   |  456  |  254  | -6.4128e+02 | 1.53e-05 | 9.38e+01 | 0.00e+00 |
|  46   |  464  |  259  | -6.4128e+02 | 1.53e-06 | 9.38e+01 | 0.00e+00 |
|  47   |  472  |  264  | -6.4128e+02 | 1.07e-05 | 9.35e+01 | 0.00e+00 |
|  48   |  480  |  269  | -6.4128e+02 | 1.07e-06 | 9.35e+01 | 0.00e+00 |
|  49   |  488  |  274  | -6.4128e+02 | 7.49e-06 | 9.38e+01 | 0.00e+00 |
|  50   |  504  |  279  | -6.4128e+02 | 7.49e-07 | 9.38e+01 | 0.00e+00 |
|  51   |  512  |  284  | -6.4128e+02 | 5.24e-06 | 9.31e+01 | 0.00e+00 |
|  52   |  520  |  291  | -6.4128e+02 | 5.24e-07 | 9.31e+01 | 0.00e+00 |
|  53   |  528  |  296  | -6.4128e+02 | 3.67e-06 | 9.34e+01 | 0.00e+00 |
|  54   |  536  |  301  | -6.4128e+02 | 3.67e-07 | 9.34e+01 | 0.00e+00 |
|  55   |  544  |  306  | -6.4128e+02 | 2.57e-06 | 9.35e+01 | 0.00e+00 |
|  56   |  552  |  311  | -6.4128e+02 | 2.57e-07 | 9.35e+01 | 0.00e+00 |
|  57   |  560  |  316  | -6.4128e+02 | 2.57e-08 | 9.35e+01 | 0.00e+00 |
|  58   |  568  |  321  | -6.4128e+02 | 1.80e-07 | 9.70e+05 | 0.00e+00 |
|  59   |  584  |  323  | -6.4128e+02 | 8.99e-08 | 9.70e+05 | 0.00e+00 |
|  60   |  592  |  325  | -6.4128e+02 | 4.49e-08 | 9.70e+05 | 0.00e+00 |
|  61   |  608  |  327  | -6.4128e+02 | 2.25e-08 | 9.70e+05 | 0.00e+00 |
|  62   |  616  |  329  | -6.4128e+02 | 1.12e-08 | 9.70e+05 | 0.00e+00 |
|  63   |  624  |  331  | -6.4128e+02 | 5.62e-09 | 9.70e+05 | 0.00e+00 |
|  64   |  632  |  331  | -6.4128e+02 | 1.00e+00 | 9.70e+05 | 0.00e+00 |
|  65   |  648  |  333  | -6.4128e+02 | 1.00e-01 | 9.70e+05 | 0.00e+00 |
|  66   |  664  |  335  | -6.4128e+02 | 1.00e-02 | 9.70e+05 | 0.00e+00 |
|  67   |  680  |  337  | -6.4128e+02 | 1.00e-03 | 9.70e+05 | 0.00e+00 |
|  68   |  696  |  339  | -6.4128e+02 | 1.00e-04 | 9.70e+05 | 0.00e+00 |
|  69   |  712  |  341  | -6.4128e+02 | 1.00e-05 | 9.70e+05 | 0.00e+00 |
|  70   |  728  |  343  | -6.4128e+02 | 1.00e-06 | 9.70e+05 | 0.00e+00 |
|  71   |  744  |  345  | -6.4128e+02 | 1.00e-07 | 9.70e+05 | 0.00e+00 |
|  72   |  760  |  347  | -6.4128e+02 | 1.13e-08 | 9.70e+05 | 0.00e+00 |
