writing to logs/trust-constr/Russia/2021_7_19_14_43
| niter |f evals|CG iter|  obj func   |tr radius |   opt    |  c viol  |
|-------|-------|-------|-------------|----------|----------|----------|
|   1   |   8   |   0   | -5.5776e+02 | 1.00e+00 | 5.77e+02 | 0.00e+00 |
|   2   |  16   |   1   | -5.5776e+02 | 1.00e-01 | 5.77e+02 | 0.00e+00 |
|   3   |  24   |   8   | -5.5776e+02 | 5.60e-01 | 5.76e+02 | 0.00e+00 |
|   4   |  32   |  15   | -5.5776e+02 | 3.14e+00 | 5.72e+02 | 0.00e+00 |
|   5   |  40   |  21   | -5.5775e+02 | 8.00e+00 | 1.92e+02 | 0.00e+00 |
|   6   |  48   |  27   | -5.5775e+02 | 8.00e+00 | 1.37e+02 | 0.00e+00 |
|   7   |  56   |  33   | -5.5774e+02 | 8.00e+00 | 1.29e+02 | 0.00e+00 |
|   8   |  64   |  39   | -5.5774e+02 | 8.00e+00 | 1.25e+02 | 0.00e+00 |
|   9   |  72   |  45   | -5.5774e+02 | 8.00e+00 | 1.24e+02 | 0.00e+00 |
|  10   |  80   |  51   | -5.5774e+02 | 8.00e+00 | 1.23e+02 | 0.00e+00 |
|  11   |  88   |  58   | -5.5867e+02 | 8.00e+00 | 6.03e+01 | 0.00e+00 |
|  12   |  96   |  65   | -5.6673e+02 | 8.00e+00 | 1.07e+02 | 0.00e+00 |
|  13   |  104  |  72   | -5.6978e+02 | 8.00e+00 | 9.63e+01 | 0.00e+00 |
|  14   |  112  |  79   | -5.7075e+02 | 8.00e+00 | 7.16e+01 | 0.00e+00 |
|  15   |  120  |  86   | -5.7113e+02 | 8.00e+00 | 8.25e+01 | 0.00e+00 |
|  16   |  128  |  93   | -5.7115e+02 | 8.00e+00 | 8.07e+01 | 0.00e+00 |
|  17   |  136  |  99   | -5.7115e+02 | 8.00e-01 | 8.07e+01 | 0.00e+00 |
|  18   |  136  |  105  | -5.7115e+02 | 8.00e-02 | 8.07e+01 | 0.00e+00 |
|  19   |  136  |  111  | -5.7115e+02 | 8.00e-03 | 8.07e+01 | 0.00e+00 |
|  20   |  136  |  117  | -5.7115e+02 | 8.00e-04 | 8.07e+01 | 0.00e+00 |
|  21   |  136  |  123  | -5.7115e+02 | 8.00e-05 | 8.07e+01 | 0.00e+00 |
|  22   |  136  |  129  | -5.7115e+02 | 8.00e-06 | 8.07e+01 | 0.00e+00 |
|  23   |  136  |  135  | -5.7115e+02 | 8.00e-07 | 8.07e+01 | 0.00e+00 |
|  24   |  136  |  141  | -5.7115e+02 | 8.00e-08 | 8.07e+01 | 0.00e+00 |
|  25   |  136  |  147  | -5.7115e+02 | 8.00e-09 | 8.07e+01 | 0.00e+00 |
|  26   |  144  |  147  | -5.7115e+02 | 1.00e+00 | 8.07e+01 | 0.00e+00 |
|  27   |  152  |  153  | -5.7115e+02 | 1.00e+00 | 8.07e+01 | 0.00e+00 |
|  28   |  160  |  159  | -5.7115e+02 | 1.00e+00 | 8.07e+01 | 0.00e+00 |
|  29   |  168  |  165  | -5.7115e+02 | 1.00e+00 | 8.07e+01 | 0.00e+00 |
|  30   |  176  |  171  | -5.7115e+02 | 1.00e+00 | 8.06e+01 | 0.00e+00 |
|  31   |  184  |  177  | -5.7115e+02 | 1.00e+00 | 8.06e+01 | 0.00e+00 |
|  32   |  192  |  183  | -5.7134e+02 | 1.00e+00 | 8.09e+01 | 0.00e+00 |
|  33   |  200  |  189  | -5.7134e+02 | 1.00e+00 | 8.20e+01 | 0.00e+00 |
|  34   |  208  |  192  | -5.7134e+02 | 1.00e+00 | 8.20e+01 | 0.00e+00 |
|  35   |  224  |  195  | -5.7134e+02 | 1.00e-01 | 8.20e+01 | 0.00e+00 |
|  36   |  232  |  202  | -5.7150e+02 | 3.53e-01 | 8.11e+01 | 0.00e+00 |
|  37   |  240  |  207  | -5.7150e+02 | 3.53e-01 | 8.11e+01 | 0.00e+00 |
|  38   |  248  |  212  | -5.7150e+02 | 3.53e-01 | 8.11e+01 | 0.00e+00 |
|  39   |  256  |  217  | -5.7150e+02 | 3.53e-01 | 8.11e+01 | 0.00e+00 |
|  40   |  264  |  222  | -5.7150e+02 | 3.53e-01 | 8.11e+01 | 0.00e+00 |
|  41   |  272  |  227  | -5.7150e+02 | 3.53e-01 | 8.11e+01 | 0.00e+00 |
|  42   |  280  |  234  | -5.7632e+02 | 3.53e-01 | 5.64e+01 | 0.00e+00 |
|  43   |  296  |  241  | -5.7632e+02 | 1.75e-01 | 5.64e+01 | 0.00e+00 |
|  44   |  312  |  246  | -5.7632e+02 | 8.73e-02 | 5.64e+01 | 0.00e+00 |
|  45   |  320  |  251  | -5.8129e+02 | 6.11e-01 | 5.90e+01 | 0.00e+00 |
|  46   |  328  |  256  | -6.1341e+02 | 4.28e+00 | 6.74e+01 | 0.00e+00 |
|  47   |  336  |  263  | -6.6113e+02 | 6.26e+00 | 4.78e+01 | 0.00e+00 |
|  48   |  344  |  270  | -7.8096e+02 | 1.87e+01 | 5.90e+01 | 0.00e+00 |
|  49   |  352  |  277  | -8.1943e+02 | 1.87e+01 | 9.35e+01 | 0.00e+00 |
|  50   |  360  |  284  | -8.4028e+02 | 1.87e+01 | 1.02e+02 | 0.00e+00 |
|  51   |  368  |  291  | -8.5769e+02 | 1.87e+01 | 1.04e+02 | 0.00e+00 |
|  52   |  384  |  298  | -8.5769e+02 | 1.87e+00 | 1.04e+02 | 0.00e+00 |
|  53   |  392  |  305  | -8.5847e+02 | 1.87e+00 | 1.03e+02 | 0.00e+00 |
|  54   |  400  |  312  | -8.5916e+02 | 1.87e+00 | 1.03e+02 | 0.00e+00 |
|  55   |  408  |  319  | -8.6025e+02 | 1.87e+00 | 1.00e+02 | 0.00e+00 |
|  56   |  416  |  326  | -8.6083e+02 | 1.87e+00 | 1.02e+02 | 0.00e+00 |
|  57   |  424  |  333  | -8.6151e+02 | 1.87e+00 | 1.01e+02 | 0.00e+00 |
|  58   |  432  |  340  | -8.6239e+02 | 1.87e+00 | 1.03e+02 | 0.00e+00 |
|  59   |  440  |  347  | -8.6318e+02 | 1.87e+00 | 1.02e+02 | 0.00e+00 |
|  60   |  448  |  354  | -8.6435e+02 | 1.87e+00 | 1.04e+02 | 0.00e+00 |
|  61   |  456  |  361  | -8.6534e+02 | 1.87e+00 | 1.03e+02 | 0.00e+00 |
|  62   |  464  |  368  | -8.6670e+02 | 1.87e+00 | 1.06e+02 | 0.00e+00 |
|  63   |  472  |  375  | -8.6780e+02 | 1.87e+00 | 1.04e+02 | 0.00e+00 |
|  64   |  480  |  382  | -8.6954e+02 | 1.87e+00 | 1.07e+02 | 0.00e+00 |
|  65   |  488  |  389  | -8.7071e+02 | 1.87e+00 | 1.06e+02 | 0.00e+00 |
|  66   |  496  |  396  | -8.7249e+02 | 1.87e+00 | 1.09e+02 | 0.00e+00 |
|  67   |  504  |  403  | -8.7356e+02 | 1.87e+00 | 1.08e+02 | 0.00e+00 |
|  68   |  512  |  410  | -8.7506e+02 | 1.87e+00 | 1.10e+02 | 0.00e+00 |
|  69   |  520  |  417  | -8.7592e+02 | 1.87e+00 | 1.10e+02 | 0.00e+00 |
|  70   |  528  |  424  | -8.7711e+02 | 1.87e+00 | 1.11e+02 | 0.00e+00 |
|  71   |  536  |  431  | -8.8141e+02 | 1.87e+00 | 1.07e+02 | 0.00e+00 |
|  72   |  544  |  438  | -8.8607e+02 | 1.87e+00 | 1.16e+02 | 0.00e+00 |
|  73   |  552  |  445  | -8.9575e+02 | 1.87e+00 | 1.71e+02 | 0.00e+00 |
|  74   |  560  |  452  | -9.0201e+02 | 1.87e+00 | 1.66e+02 | 0.00e+00 |
|  75   |  568  |  459  | -9.0808e+02 | 1.87e+00 | 1.72e+02 | 0.00e+00 |
|  76   |  576  |  466  | -9.1548e+02 | 1.87e+00 | 1.77e+02 | 0.00e+00 |
|  77   |  584  |  473  | -9.2418e+02 | 1.87e+00 | 1.82e+02 | 0.00e+00 |
|  78   |  592  |  480  | -9.3393e+02 | 1.87e+00 | 1.84e+02 | 0.00e+00 |
|  79   |  600  |  487  | -9.4512e+02 | 1.87e+00 | 1.82e+02 | 0.00e+00 |
|  80   |  608  |  494  | -9.5643e+02 | 1.87e+00 | 1.73e+02 | 0.00e+00 |
|  81   |  616  |  501  | -9.6648e+02 | 1.87e+00 | 1.56e+02 | 0.00e+00 |
|  82   |  632  |  508  | -9.6648e+02 | 1.87e-01 | 1.56e+02 | 0.00e+00 |
|  83   |  640  |  515  | -9.6683e+02 | 1.87e-01 | 1.54e+02 | 0.00e+00 |
|  84   |  648  |  522  | -9.6721e+02 | 1.87e-01 | 1.51e+02 | 0.00e+00 |
|  85   |  656  |  529  | -9.7965e+02 | 3.15e-01 | 1.04e+02 | 0.00e+00 |
|  86   |  672  |  536  | -9.7965e+02 | 3.15e-02 | 1.04e+02 | 0.00e+00 |
|  87   |  680  |  543  | -9.7966e+02 | 3.15e-02 | 1.04e+02 | 0.00e+00 |
|  88   |  688  |  550  | -9.8018e+02 | 8.62e-02 | 1.05e+02 | 0.00e+00 |
|  89   |  696  |  557  | -9.8405e+02 | 6.03e-01 | 1.12e+02 | 0.00e+00 |
|  90   |  704  |  564  | -9.8555e+02 | 6.03e-01 | 1.14e+02 | 0.00e+00 |
|  91   |  712  |  571  | -9.8555e+02 | 6.03e-01 | 1.14e+02 | 0.00e+00 |
|  92   |  720  |  578  | -9.9761e+02 | 1.43e+00 | 1.24e+02 | 0.00e+00 |
|  93   |  736  |  585  | -9.9761e+02 | 1.83e-01 | 1.24e+02 | 0.00e+00 |
|  94   |  744  |  592  | -1.0002e+03 | 3.94e-01 | 1.27e+02 | 0.00e+00 |
|  95   |  752  |  599  | -1.0025e+03 | 3.94e-01 | 1.30e+02 | 0.00e+00 |
|  96   |  760  |  604  | -1.0093e+03 | 7.88e-01 | 1.83e+02 | 0.00e+00 |
|  97   |  768  |  611  | -1.0129e+03 | 7.88e-01 | 1.47e+02 | 0.00e+00 |
|  98   |  776  |  618  | -1.0144e+03 | 7.88e-01 | 1.66e+02 | 0.00e+00 |
|  99   |  784  |  625  | -1.0165e+03 | 1.56e+00 | 2.16e+02 | 0.00e+00 |
|  100  |  792  |  632  | -1.0169e+03 | 1.56e+00 | 1.93e+02 | 0.00e+00 |
|  101  |  800  |  639  | -1.0171e+03 | 1.56e+00 | 2.05e+02 | 0.00e+00 |
|  102  |  808  |  646  | -1.0174e+03 | 1.56e+00 | 1.98e+02 | 0.00e+00 |
|  103  |  816  |  653  | -1.0174e+03 | 1.56e+00 | 2.07e+02 | 0.00e+00 |
|  104  |  824  |  660  | -1.0175e+03 | 1.56e+00 | 2.03e+02 | 0.00e+00 |
|  105  |  832  |  666  | -1.0176e+03 | 1.56e+00 | 2.10e+02 | 0.00e+00 |
|  106  |  840  |  670  | -1.0176e+03 | 1.56e+00 | 2.10e+02 | 0.00e+00 |
|  107  |  848  |  677  | -1.0176e+03 | 1.56e-01 | 2.10e+02 | 0.00e+00 |
|  108  |  856  |  683  | -1.0220e+03 | 3.12e-01 | 1.58e+02 | 0.00e+00 |
