writing to logs/trust-constr/Turkey/2021_7_19_14_43
| niter |f evals|CG iter|  obj func   |tr radius |   opt    |  c viol  |
|-------|-------|-------|-------------|----------|----------|----------|
|   1   |   8   |   0   | -4.8810e+02 | 1.00e+00 | 5.72e+02 | 0.00e+00 |
|   2   |  16   |   1   | -4.8810e+02 | 5.00e-01 | 5.72e+02 | 0.00e+00 |
|   3   |  24   |   2   | -4.8810e+02 | 2.50e-01 | 5.72e+02 | 0.00e+00 |
|   4   |  32   |   3   | -4.8810e+02 | 1.25e-01 | 5.72e+02 | 0.00e+00 |
|   5   |  40   |   4   | -4.8810e+02 | 6.25e-02 | 5.72e+02 | 0.00e+00 |
|   6   |  48   |   5   | -4.8810e+02 | 3.12e-02 | 5.72e+02 | 0.00e+00 |
|   7   |  56   |   6   | -4.9131e+02 | 3.12e-02 | 1.94e+02 | 0.00e+00 |
|   8   |  64   |   7   | -4.9131e+02 | 1.56e-02 | 1.94e+02 | 0.00e+00 |
|   9   |  72   |   9   | -4.9369e+02 | 1.09e-01 | 1.19e+02 | 0.00e+00 |
|  10   |  80   |  13   | -4.9369e+02 | 5.47e-02 | 1.19e+02 | 0.00e+00 |
|  11   |  88   |  15   | -4.9369e+02 | 2.73e-02 | 1.19e+02 | 0.00e+00 |
|  12   |  96   |  17   | -4.9516e+02 | 5.47e-02 | 1.40e+02 | 0.00e+00 |
|  13   |  104  |  19   | -4.9516e+02 | 2.73e-02 | 1.40e+02 | 0.00e+00 |
|  14   |  112  |  22   | -4.9516e+02 | 1.28e-02 | 1.40e+02 | 0.00e+00 |
|  15   |  120  |  24   | -4.9516e+02 | 3.58e-03 | 1.40e+02 | 0.00e+00 |
|  16   |  128  |  25   | -4.9560e+02 | 7.15e-03 | 1.08e+02 | 0.00e+00 |
|  17   |  136  |  26   | -4.9560e+02 | 1.10e-03 | 1.08e+02 | 0.00e+00 |
|  18   |  144  |  27   | -4.9560e+02 | 1.10e-04 | 1.08e+02 | 0.00e+00 |
|  19   |  152  |  28   | -4.9561e+02 | 7.67e-04 | 1.08e+02 | 0.00e+00 |
|  20   |  160  |  29   | -4.9561e+02 | 7.67e-05 | 1.08e+02 | 0.00e+00 |
|  21   |  168  |  30   | -4.9562e+02 | 5.37e-04 | 1.08e+02 | 0.00e+00 |
|  22   |  176  |  31   | -4.9568e+02 | 3.76e-03 | 1.08e+02 | 0.00e+00 |
|  23   |  184  |  32   | -4.9568e+02 | 3.76e-04 | 1.08e+02 | 0.00e+00 |
|  24   |  192  |  33   | -4.9568e+02 | 3.76e-05 | 1.08e+02 | 0.00e+00 |
|  25   |  200  |  34   | -4.9569e+02 | 2.63e-04 | 1.08e+02 | 0.00e+00 |
|  26   |  208  |  35   | -4.9569e+02 | 2.63e-05 | 1.08e+02 | 0.00e+00 |
|  27   |  216  |  36   | -4.9569e+02 | 1.84e-04 | 1.08e+02 | 0.00e+00 |
|  28   |  224  |  37   | -4.9569e+02 | 1.84e-05 | 1.08e+02 | 0.00e+00 |
|  29   |  232  |  38   | -4.9569e+02 | 1.29e-04 | 1.08e+02 | 0.00e+00 |
|  30   |  240  |  39   | -4.9569e+02 | 1.29e-05 | 1.08e+02 | 0.00e+00 |
|  31   |  248  |  40   | -4.9569e+02 | 9.02e-05 | 1.08e+02 | 0.00e+00 |
|  32   |  256  |  41   | -4.9569e+02 | 9.02e-06 | 1.08e+02 | 0.00e+00 |
|  33   |  264  |  42   | -4.9569e+02 | 6.32e-05 | 1.08e+02 | 0.00e+00 |
|  34   |  272  |  43   | -4.9569e+02 | 6.32e-06 | 1.08e+02 | 0.00e+00 |
|  35   |  280  |  44   | -4.9569e+02 | 4.42e-05 | 1.08e+02 | 0.00e+00 |
|  36   |  288  |  45   | -4.9569e+02 | 4.42e-06 | 1.08e+02 | 0.00e+00 |
|  37   |  296  |  46   | -4.9569e+02 | 3.10e-05 | 1.08e+02 | 0.00e+00 |
|  38   |  304  |  47   | -4.9569e+02 | 3.10e-06 | 1.08e+02 | 0.00e+00 |
|  39   |  312  |  48   | -4.9569e+02 | 2.17e-05 | 1.08e+02 | 0.00e+00 |
|  40   |  320  |  49   | -4.9569e+02 | 2.17e-06 | 1.08e+02 | 0.00e+00 |
|  41   |  328  |  50   | -4.9569e+02 | 2.17e-07 | 1.08e+02 | 0.00e+00 |
|  42   |  336  |  51   | -4.9569e+02 | 1.52e-06 | 1.08e+02 | 0.00e+00 |
|  43   |  344  |  52   | -4.9569e+02 | 1.52e-07 | 1.08e+02 | 0.00e+00 |
|  44   |  352  |  53   | -4.9569e+02 | 1.06e-06 | 1.08e+02 | 0.00e+00 |
|  45   |  360  |  54   | -4.9569e+02 | 1.06e-07 | 1.08e+02 | 0.00e+00 |
|  46   |  368  |  55   | -4.9569e+02 | 7.43e-07 | 1.08e+02 | 0.00e+00 |
|  47   |  376  |  56   | -4.9569e+02 | 7.43e-08 | 1.08e+02 | 0.00e+00 |
|  48   |  384  |  57   | -4.9569e+02 | 5.20e-07 | 1.08e+02 | 0.00e+00 |
|  49   |  392  |  58   | -4.9569e+02 | 3.64e-06 | 1.08e+02 | 0.00e+00 |
|  50   |  400  |  59   | -4.9569e+02 | 3.64e-07 | 1.08e+02 | 0.00e+00 |
|  51   |  408  |  60   | -4.9569e+02 | 3.64e-08 | 1.08e+02 | 0.00e+00 |
|  52   |  416  |  61   | -4.9569e+02 | 2.55e-07 | 1.08e+02 | 0.00e+00 |
|  53   |  424  |  62   | -4.9569e+02 | 2.55e-08 | 1.08e+02 | 0.00e+00 |
|  54   |  432  |  63   | -4.9569e+02 | 1.78e-07 | 1.08e+02 | 0.00e+00 |
|  55   |  440  |  64   | -4.9569e+02 | 1.78e-08 | 1.08e+02 | 0.00e+00 |
|  56   |  448  |  65   | -4.9569e+02 | 1.25e-07 | 1.08e+02 | 0.00e+00 |
|  57   |  456  |  66   | -4.9569e+02 | 1.25e-08 | 1.08e+02 | 0.00e+00 |
|  58   |  464  |  67   | -4.9569e+02 | 8.74e-08 | 1.87e+08 | 0.00e+00 |
