,ALP,BET,SIG,ALPH,BETH,SIG1,SIG2,LLK,start,end,# obs
Brazil,0.494,-0.125,0.6890000000000001,-2.006,0.453,0.026,0.009000000000000001,1370.326,2001-11-30,2021-7-1,236
Bulgaria,-0.433,0.101,1.084,-1.672,0.302,0.002,0.001,1328.749,2003-1-31,2014-3-31,134
Chile,-0.98,0.18,1.56,-1.5,0.26,0.006,0.003,1946.725,2003-1-31,2021-7-1,222
China,-0.366,-0.004,1.793,-1.664,0.255,0.005,0.002,774.409,2003-1-31,2010-1-29,84
Colombia,0.635,-0.149,1.039,-7.0,1.359,0.003,0.002,1996.435,2003-1-31,2021-7-1,222
Croatia,0.058,-0.036000000000000004,0.993,-1.887,0.386,0.003,0.002,1406.41,2002-1-31,2014-3-31,146
Korea,-0.091,-0.038,1.052,-2.891,0.449,0.003,0.002,1001.868,2002-2-28,2010-5-31,99
Malaysia,0.389,-0.139,1.05,-2.135,0.49,0.003,0.002,971.944,2002-1-31,2009-11-30,94
Mexico,0.2,-0.068,1.514,-1.894,0.284,0.005,0.003,2094.633,2001-11-30,2021-7-1,236
Philippines,0.405,-0.084,0.805,-4.655,1.057,0.006,0.004,726.1439999999999,2003-1-31,2010-5-31,88
Poland,0.41,-0.146,1.069,-1.6740000000000002,0.433,0.004,0.001,1510.001,2002-3-29,2014-11-28,152
Russia,-0.6990000000000001,0.18,1.042,-2.7460000000000004,0.557,0.003,0.005,1348.787,2001-10-31,2015-7-31,165
SAfrica,-0.273,0.083,0.991,-3.364,0.642,0.002,0.002,1625.813,2001-11-30,2016-3-31,172
Thailand,-0.627,0.154,0.8809999999999999,-3.797,0.65,0.002,0.001,952.524,2003-1-31,2010-5-31,88
Turkey,0.049,0.004,1.008,-4.137,0.908,0.004,0.002,1493.606,2002-3-29,2016-8-31,173
