country,own_LLK,fortran__LLK,table4_LLK
Brazil,998.2932754704742,1005.4804366000001,998.06
Bulgaria,1252.9201362455392,1239.316546,1290.36
Chile,1336.611451735264,1321.0439705000001,1481.87
China,1513.5224777031228,1496.6678033,1567.52
Colombia,976.9816504762836,967.8492853,978.67
Croatia,1323.0560589930533,1306.9281254,1401.06
Korea,1269.1752421853814,1251.4018388,1461.71
Malaysia,1440.192167591898,1424.956716,1450.38
Mexico,1216.1814238397938,1206.0406429000002,1304.45
Philippines,1015.3432017786084,1003.7743436000001,1023.43
Poland,1199.0335784571091,1179.1240112,1600.79
Russia,1124.5371617880494,1113.342786,1161.84
SAfrica,925.4501766642984,911.8084068,1332.3
Thailand,1422.9302159605209,1405.7974933,1429.16
Turkey,1028.7589698082622,1019.5279971000001,1028.71
